,https://roic.ai/company/NINE,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,663191000,478522000,282354000,543660000,827174000,832937000,310851000,- -
2,COGS,434064000,440735000,310452000,510688000,703113000,738890000,351055000,- -
3,Gross Profit,229127000,37787000,-28098000,32972000,124061000,94047000,-40204000,-3594000
4,Gross Profit Ratio,0.3455,0.0790,-0.0995,0.0606,0.1500,0.1129,-0.1293,-Infinity
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,51321000,42862000,39387000,49552000,75993000,81327000,49346000,45301000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",51321000,42862000,39387000,49552000,75993000,81327000,49346000,- -
9,Other Expenses,47533000,- -,- -,- -,- -,- -,- -,298000
10,Operating Expenses,98854000,42862000,39387000,49552000,75993000,81327000,49346000,- -
11,COGS and Expenses,532918000,483597000,349839000,560240000,779106000,820217000,400401000,398314000
12,Interest Income ,- -,- -,- -,- -,- -,860000,615000,-26000
13,Interest Expense (Gain),-9586000,9886000,14185000,15703000,22315000,39770000,36759000,32527000
14,Depreciation and Amortization,- -,67544000,64343000,62221000,63815000,68911000,57795000,- -
15,EBITDA,82894000,23990000,-18669000,5255000,35522000,-112957000,-286852000,- -
16,EBITDA ratio,0.1250,0.0501,-0.0661,0.0097,0.0429,-0.1356,-0.9228,- -
17,Operating Income,130273000,-42619000,-83012000,-56966000,-28293000,-182728000,-383165000,-50015000
18,Operating Income ratio,0.1964,-0.0891,-0.2940,-0.1048,-0.0342,-0.2194,-1.2326,-Infinity
19,Total Other Income Expenses (Gains),-9586000,-9886000,-14185000,-15703000,-22315000,-38910000,1759000,-14585000
20,Income Before Tax,120687000,-52505000,-97197000,-72669000,-50608000,-221638000,-381406000,-64600000
21,Income Before Tax Ratio,0.1820,-0.1097,-0.3442,-0.1337,-0.0612,-0.2661,-1.2270,-Infinity
22,Income Tax expense (Gain),44515000,-14323000,-26286000,-4987000,2375000,-3887000,-2458000,-25000
23,Net Income,47965000,-39117000,-70911000,-67682000,-52983000,-217751000,-378948000,- -
24,Net Income ratio,0.0723,-0.0817,-0.2511,-0.1245,-0.0641,-0.2614,-1.2191,- -
25,EPS,2.06,-1.82,-3.50,-2.92,-2.17,-7.43,-12.74,-2.13
