,https://roic.ai/company/HPTO,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,3600000,7566500,5910700,3535000,4170300,3529800,5180200,5170600,11485600,6708700,8077200,7516500,6584400,6541300,5889000,5553400,4981000,4001300,3889500,3153400,3530100,3644000,3612700
2,COGS,- -,- -,200000,-2160500,2612600,1679900,1371600,903800,503700,534000,2623000,575100,1381100,825900,514900,601500,508600,453400,609400,162600,68300,145800,149800,155000,166500
3,Gross Profit,- -,- -,3400000,9727000,3298100,1855100,2798700,2626000,4676500,4636600,8862600,6133600,6696100,6690600,6069500,5939800,5380400,5100000,4371600,3838700,3821200,3007600,3380300,3489000,3446200
4,Gross Profit Ratio,- -,- -,0.9444,1.2855,0.5580,0.5248,0.6711,0.7440,0.9028,0.8967,0.7716,0.9143,0.8290,0.8901,0.9218,0.9080,0.9136,0.9184,0.8777,0.9594,0.9824,0.9538,0.9576,0.9575,0.9539
5,Research and Development Exp.,- -,- -,2500000,4060000,4134400,2831300,1515000,1500900,1277600,2093700,2162700,2373500,2768600,2466700,2547400,3870900,4999900,4911400,4224000,2187900,1500100,1518700,1533000,1430100,1435400
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3796100,3889600,2889400,3265900,3759000,3083200,3333800,3136600,2759200,1558400,1236900,422300,900500,748800
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1816100,1871500,2170100,2240900,2403400,2441400,2069700,1588200,774400,355300,412300,442400,509300,606600
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5612200,5761100,5059500,5506800,6162400,5524600,5403500,4724800,3533600,1913700,1649200,864700,1409800,1355400
9,Other Expenses,10212,315991,8100000,13607400,15051100,5950100,3098900,2567300,4565100,5626500,6522900,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,442400,- -,- -
10,Operating Expenses,10212,315991,10600000,17667400,19185500,8781400,4613900,4068200,5842700,7720200,8685600,7985700,8529700,7526200,8054200,10033300,10524500,10314900,8948800,5721500,3413800,3167900,2840100,2839900,2790800
11,COGS and Expenses,10212,315991,10800000,15506900,21798100,10461300,5985500,4972000,6346400,8254200,11308600,8560800,9910800,8352100,8569100,10634800,11033100,10768300,9558200,5884100,3482100,3313700,2989900,2994900,2957300
12,Interest Income ,- -,- -,- -,1181400,516100,152500,13000,14700,41700,57000,62700,89100,37800,11200,4700,5300,1900,1100,1400,3700,197000,131500,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,6800,64800,75900,4300,- -,4500,4200,4100,7300,22400,8100,1400,- -,2000,1300,1900,300,500,1700,- -,- -,- -
14,Depreciation and Amortization,- -,- -,2600000,3204200,4109800,2085800,1248400,664700,1068500,1014600,958700,972100,559100,595000,234800,259700,330600,385000,334800,94600,51200,29700,400,- -,1600
15,EBITDA,-10212,-315991,-4400000,-6162900,-11302600,-6630800,-633900,-762800,-56000,-2012000,1198400,-1659100,-1236700,-229400,-1522500,-7913500,-3405600,-3204500,-4050700,-1755200,655600,900,554700,693700,1053800
16,EBITDA ratio,-Infinity,-Infinity,-1.2222,-0.8145,-1.9122,-1.8758,-0.1520,-0.2161,-0.0108,-0.3891,0.1043,-0.2473,-0.1531,-0.0305,-0.2312,-1.2098,-0.5783,-0.5770,-0.8132,-0.4387,0.1686,0.0003,0.1571,0.1904,0.2917
17,Operating Income,10212,-315991,-7200000,-7940400,-15887400,-8869100,2798700,-1442200,-1166200,-3083600,177000,-2720300,-1833600,-835600,-1984700,-4093500,-5144100,-5214900,-4577200,-1882800,407400,-160300,540200,649100,655400
18,Operating Income ratio,Infinity,-Infinity,-2.0000,-1.0494,-2.6879,-2.5089,0.6711,-0.4086,-0.2251,-0.5964,0.0154,-0.4055,-0.2270,-0.1112,-0.3014,-0.6258,-0.8735,-0.9390,-0.9189,-0.4705,0.1047,-0.0508,0.1530,0.1781,0.1814
19,Total Other Income Expenses (Gains),- -,- -,- -,-1433500,410200,76600,-4665300,14700,37200,52800,58600,81800,15400,3100,226000,-3611300,1405900,1624100,189800,32700,196500,129800,14100,44600,396800
20,Income Before Tax,10212,-315991,- -,-9373900,-15477200,-8792500,-1866600,-1427500,-1129000,-3030800,235600,-2638500,-1818200,-832500,-1758700,-7704800,-3738200,-3590800,-4387400,-1850100,603900,-30500,554300,693700,1052200
21,Income Before Tax Ratio,Infinity,-Infinity,- -,-1.2389,-2.6185,-2.4873,-0.4476,-0.4044,-0.2179,-0.5862,0.0205,-0.3933,-0.2251,-0.1108,-0.2671,-1.1779,-0.6348,-0.6466,-0.8808,-0.4624,0.1553,-0.0097,0.1570,0.1904,0.2913
22,Income Tax expense (Gain),3575,- -,- -,800,800,- -,- -,- -,18200,4300,42100,-11700,2000,3200,2400,3500,7800,3100,3700,2800,3300,900,- -,- -,- -
23,Net Income,6637,-315991,-7000000,-9374700,-15478000,-8792500,-1886600,-1427500,-1147200,-3035100,193500,-2626800,-1820200,-835700,-1761100,-8176700,-3746000,-3593900,-4391100,-1852900,600600,-31400,554300,693700,1052200
