,https://roic.ai/company/CGLO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,90000,50000,100000,170000,490000,- -,7403,40000,50000,50000,10000,130000,500000,40000,40000,80000,50000,30000,40000,10000,- -,0
2,COGS,- -,20000,20000,- -,60000,110000,- -,- -,- -,- -,- -,- -,60000,160000,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,70000,30000,90000,110000,380000,- -,7403,- -,50000,- -,10000,70000,340000,40000,40000,70000,40000,30000,- -,- -,- -,0
4,Gross Profit Ratio,- -,0.7778,0.6000,0.9000,0.6471,0.7755,- -,1.0000,- -,1.0000,- -,1.0000,0.5385,0.6800,1.0000,1.0000,0.8750,0.8000,1.0000,- -,- -,- -,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,960000,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1134371,1855825,10981182,962156,- -,- -,- -,- -,- -,- -,4269
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,327572,3531227,1733565,1972229,2139381,1304859,2380126,10981182,962156,650316,810582,448912,479019,2455774,3835548,4269390
9,Other Expenses,- -,100000,410000,540000,1120000,680000,30000,126542,28554,2311349,20240,19975,29911,31069,29731,6362,1752,88597,- -,5614,2063,997620,-4264036
10,Operating Expenses,- -,100000,410000,540000,1120000,680000,30000,454114,3559781,4044914,1992469,2159356,1334770,2411195,11010913,968518,652068,899179,448912,484633,3417837,4833168,5354
