,https://roic.ai/company/RRTS,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,537378000,450351000,632018000,843627000,1073354000,1361410000,1872816000,1995019000,2033200000,2091291000,2216141000,1847862000
2,COGS,432139000,354069000,494045000,620343000,882913000,1111744000,1531163000,1611339000,1688334000,1765050000,1870935000,1619110000
3,Gross Profit,105239000,96282000,137973000,223284000,190441000,249666000,341653000,383680000,344866000,326241000,345206000,228752000
4,Gross Profit Ratio,0.1958,0.2138,0.2183,0.2647,0.1774,0.1834,0.1824,0.1923,0.1696,0.1560,0.1558,0.1238
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,55000000,48255000,62422000,87178000,119955000,151158000,213079000,263522000,286134000,296925000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",55000000,48255000,62422000,87178000,119955000,151158000,213079000,263522000,286134000,296925000,- -,- -
9,Other Expenses,39543000,34825000,44282000,88603000,763000,12294000,30583000,22921000,88845000,96806000,397468000,370213000
10,Operating Expenses,94543000,83080000,106704000,175781000,120718000,163452000,243662000,286443000,374979000,393731000,397468000,370213000
11,COGS and Expenses,526682000,437149000,600749000,796124000,1003631000,1275196000,1774825000,1897782000,2063313000,2158781000,2268403000,1989323000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),12352000,12531000,8154000,4135000,7981000,7883000,13363000,19439000,22827000,64049000,116912000,20412000
14,Depreciation and Amortization,2439000,3086000,3817000,5628000,11108000,18490000,27145000,34608000,40720000,38880000,43547000,59754000
15,EBITDA,9519000,16088000,17670000,51563000,80009000,103853000,122831000,131281000,-363054000,-13448000,-14952000,-264431000
16,EBITDA ratio,0.0177,0.0357,0.0280,0.0611,0.0745,0.0763,0.0656,0.0658,-0.1786,-0.0064,-0.0067,-0.1431
17,Operating Income,7280000,13202000,29769000,46135000,68950000,85363000,95686000,96673000,-403774000,-36452000,-58499000,-321915000
18,Operating Income ratio,0.0135,0.0293,0.0471,0.0547,0.0642,0.0627,0.0511,0.0485,-0.1986,-0.0174,-0.0264,-0.1742
19,Total Other Income Expenses (Gains),-12552000,-12731000,-24070000,-4335000,-8030000,-7883000,-13363000,-19439000,-22827000,-79925000,-116912000,-22682000
20,Income Before Tax,-5272000,471000,5699000,41800000,60920000,77480000,82323000,77234000,-426601000,-116377000,-175411000,-344597000
21,Income Before Tax Ratio,-0.0098,0.0010,0.0090,0.0495,0.0568,0.0569,0.0440,0.0387,-0.2098,-0.0556,-0.0792,-0.1865
22,Income Tax expense (Gain),-1438000,304000,2108000,15929000,23390000,28484000,30349000,29234000,-66281000,-25191000,-9814000,-3660000
23,Net Income,-3834000,167000,3591000,25871000,37530000,48996000,51974000,48000000,-360320000,-91186000,-165597000,-340937000
24,Net Income ratio,-0.0071,0.0004,0.0057,0.0307,0.0350,0.0360,0.0278,0.0241,-0.1772,-0.0436,-0.0747,-0.1845
25,EPS,-5.24,-0.25,2.75,21.25,30.25,34.00,34.25,31.50,-235.00,-59.25,-107.50,-221.09
26,EPS Diluted,-5.24,-0.25,2.75,20.50,29.00,32.25,33.00,30.75,-235.00,-59.25,-107.50,-221.09
27,Weighted Average Shares Outstanding,731000,681887,1031160,1217280,1241600,1445320,1514080,1518760,1532720,1536200,1542080,1542080
28,Weighted Average Shares Outstanding Diluted,760920,686880,1071080,1261800,1297000,1516520,1570360,1558960,1532720,1536200,1542080,1542080
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1440024/000095012311030972/c63770e10vk.htm,https://www.sec.gov/Archives/edgar/data/1440024/000119312512117386/0001193125-12-117386-index.html,https://www.sec.gov/Archives/edgar/data/1440024/000144002413000008/0001440024-13-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/1440024/000144002415000008/rrts-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1440024/000144002416000049/0001440024-16-000049-index.html,https://www.sec.gov/Archives/edgar/data/1440024/000144002418000010/rrts-20161231x10k.htm,https://www.sec.gov/Archives/edgar/data/1440024/000144002418000010/0001440024-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/1440024/000144002419000007/0001440024-19-000007-index.html,https://www.sec.gov/Archives/edgar/data/1440024/000144002420000011/0001440024-20-000011-index.html
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,496000,667000,996000,3315000,11908000,5438000,11345000,8664000,29513000,25702000,11179000,4777000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,496000,667000,996000,3315000,11908000,5438000,11345000,8664000,29513000,25702000,11179000,4777000
