,https://roic.ai/company/GIB,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,76200000,91300000,96700000,122000000,231900000,740933435,1409537784,1436008416,1581314502,2169612698,2719694760,3243612196,3685986063,3477622667,3711566133,3705863317,3825161000,3732117000,4323237000,4772454000,10084624000,10499692000,10287096000,10683264000,10845066000,11506825000,12111236000,12164115000,12126793000
2,COGS,71200000,84500000,89300000,111300000,203700000,633664881,1185619956,1253073339,1339109989,1842853968,2277500000,2717040443,3151557491,2996520621,3126104541,3111965084,3170406000,3025823000,3553192000,3764191000,8130042000,8263306000,7980185000,8293407000,8500825000,9045660000,9471661000,9420400000,9409971000
3,Gross Profit,5000000,6800000,7400000,10700000,28200000,107268554,223917828,182935077,242204513,326758730,442194760,526571753,534428572,481102046,585461592,593898233,654755000,706294000,770045000,1008263000,1954582000,2236386000,2306911000,2389857000,2344241000,2461165000,2639575000,2743715000,2716822000
4,Gross Profit Ratio,0.0656,0.0745,0.0765,0.0877,0.1216,0.1448,0.1589,0.1274,0.1532,0.1506,0.1626,0.1623,0.1450,0.1383,0.1577,0.1603,0.1712,0.1892,0.1781,0.2113,0.1938,0.2130,0.2243,0.2237,0.2162,0.2139,0.2179,0.2256,0.2240
5,Research and Development Exp.,1600000,1800000,2000000,2100000,3100000,5967865,9684519,9959423,12584819,17609524,22035386,26710344,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204944000,410197000,398560000,390728000,399682000,349881000,307496000,363812000,259306000,216506000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,204944000,410197000,398560000,390728000,399682000,349881000,307496000,363812000,259306000,216506000
9,Other Expenses,1600000,1700000,1700000,2400000,9700000,38714614,64856934,67530808,65994951,77004762,121862507,164451304,199283391,170765619,177647819,163944007,197583000,195308000,211372000,257724000,472071000,411728000,390103000,373786000,350463000,448635000,448534000,604413000,551687000
10,Operating Expenses,3200000,3500000,3700000,4500000,12800000,44682479,74541453,77490231,78579770,94614286,143897893,191161648,199283391,170765619,177647819,163944007,197583000,195308000,211372000,462668000,882268000,810288000,780831000,773468000,700344000,756131000,812346000,863719000,768193000
11,COGS and Expenses,74400000,88000000,93000000,115800000,216500000,678347360,1260161409,1330563570,1417689759,1937468254,2421397893,2908202091,3350840882,3167286240,3303752360,3275909091,3367989000,3221131000,3764564000,4226859000,9012310000,9073594000,8761016000,9066875000,9201169000,9801791000,10284007000,10284119000,10178164000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2908000,2419000,3759000,5318000,- -,- -,718000,1610000,3719000,2910000,11566000,5115000,3111000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18960000,17123000,19395000,41698000,108907000,98436000,92809000,76494000,67600000,68629000,67125000,110560000,103135000
14,Depreciation and Amortization,1600000,1700000,1700000,2400000,9700000,38714614,64856933,67530809,94582610,100563492,149650189,194185461,230932636,199759696,200953990,186891633,218087000,219740000,229925000,231398000,435944000,444232000,424044000,400060000,377204000,392675000,392301000,565692000,510570000
15,EBITDA,2600000,4000000,3700000,7500000,23200000,102830911,218048423,173181545,229536058,333130159,440725283,526928311,561545877,417266123,553650005,585787737,678736000,714599000,795622000,536022000,1172473000,1672918000,1845401000,1929339000,1862701000,1951284000,2136374000,2192519000,2451697000
16,EBITDA ratio,0.0341,0.0438,0.0383,0.0615,0.1000,0.1388,0.1547,0.1206,0.1452,0.1535,0.1620,0.1625,0.1523,0.1200,0.1492,0.1581,0.1774,0.1915,0.1840,0.1123,0.1163,0.1593,0.1794,0.1806,0.1718,0.1696,0.1764,0.1802,0.2022
17,Operating Income,1800000,3300000,3700000,6200000,15400000,62586075,149376375,105444846,163624743,232144444,298296867,335410105,335145181,310336427,407813773,429954226,457172000,510986000,558673000,545595000,1072314000,1426098000,1526080000,1616389000,1643897000,1705034000,1827229000,1879996000,1948629000
18,Operating Income ratio,0.0236,0.0361,0.0383,0.0508,0.0664,0.0845,0.1060,0.0734,0.1035,0.1070,0.1097,0.1034,0.0909,0.0892,0.1099,0.1160,0.1195,0.1369,0.1292,0.1143,0.1063,0.1358,0.1483,0.1513,0.1516,0.1482,0.1509,0.1546,0.1607
19,Total Other Income Expenses (Gains),-800000,-1000000,-1700000,-1100000,-1900000,1530222,3815115,205890,-28671295,422223,-9190978,-11946580,-1321720,-92830000,-55117758,-25055354,-16052000,-33250000,-12115000,-282669000,-444692000,-295848000,-197532000,-163604000,-226000000,-215054000,-150281000,-363729000,-110637000
20,Income Before Tax,1000000,2300000,2000000,5100000,13500000,64116297,153191490,105650736,134953448,232566667,289105889,323463525,333823461,217506427,352696015,404898872,441120000,477736000,546558000,262926000,627622000,1130250000,1328548000,1452785000,1417897000,1489980000,1676948000,1516267000,1837992000
21,Income Before Tax Ratio,0.0131,0.0252,0.0207,0.0418,0.0582,0.0865,0.1087,0.0736,0.0853,0.1072,0.1063,0.0997,0.0906,0.0625,0.0950,0.1093,0.1153,0.1280,0.1264,0.0551,0.0622,0.1076,0.1291,0.1360,0.1307,0.1295,0.1385,0.1247,0.1516
22,Income Tax expense (Gain),600000,1000000,900000,2400000,5700000,29227238,69405723,49984971,72165062,96768254,113708806,113142245,114125436,70973511,116294346,106132638,125223000,114970000,111493000,131397000,171802000,270807000,350992000,384069000,382702000,348578000,413741000,398405000,468920000
23,Net Income,400000,1300000,1100000,2700000,7800000,34889059,83785767,55665765,62788386,135798413,177366288,219600605,216487805,146532916,236401669,292763466,316466000,362766000,434809000,131529000,455820000,859443000,977556000,1068716000,1035195000,1141402000,1263207000,1117862000,1369072000
24,Net Income ratio,0.0052,0.0142,0.0114,0.0221,0.0336,0.0471,0.0594,0.0388,0.0397,0.0626,0.0652,0.0677,0.0587,0.0421,0.0637,0.0790,0.0827,0.0972,0.1006,0.0276,0.0452,0.0819,0.0950,0.1000,0.0955,0.0992,0.1043,0.0919,0.1129
25,EPS,0.01,0.02,0.01,0.02,0.05,0.15,0.32,0.21,0.21,0.36,0.45,0.52,0.49,0.40,0.72,0.92,1.03,1.27,1.64,0.50,1.48,2.78,3.14,3.51,3.48,4.02,4.63,4.27,5.50
26,EPS Diluted,0.01,0.02,0.01,0.02,0.05,0.15,0.32,0.21,0.21,0.36,0.45,0.52,0.49,0.40,0.71,0.90,1.02,1.24,1.58,0.48,1.44,2.69,3.04,3.42,3.41,3.95,4.55,4.20,5.41
27,Weighted Average Shares Outstanding,40000000,65000000,110000000,137097376,155605616,234614324,267969082,270442354,299500350,377349472,395191927,419510503,439349210,366332290,328335651,318221159,306853077,285642520,265333074,263431660,307900034,308743126,311477555,304808130,297516970,283878426,272719309,262005521,249119219
28,Weighted Average Shares Outstanding Diluted,40000000,65000000,110000000,137097376,155605616,234614324,267969082,270442354,299500350,377349472,395191927,419510503,441223152,366332290,332960097,325292740,310345241,292553226,275286534,273644002,316974179,318927737,321422444,312773156,303293485,288858580,277785724,266104062,253088880
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,121346595,42259721,- -,- -,- -,83508914,200622401,240458769,115729295,88879062,50134128,343427000,127824000,157761000,113103000,106199000,535715000,305262000,596529000,165872000,325242000,401654000,2284693000,1699206000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13196000,10166000,14459000,69000,- -,- -,- -,- -,184401000,220220000,166970000,18961000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,121346595,42259721,- -,- -,- -,83508914,200622401,240458769,115729295,88879062,50134128,343427000,141020000,167927000,127562000,106268000,535715000,305262000,596529000,165872000,509643000,621874000,2451663000,1718167000
34,Net Receivables,16800000,23500000,22200000,34200000,54900000,184544759,208363903,- -,- -,- -,439535386,545056067,487730546,479767520,478980423,487563338,464050000,431095000,499007000,1470799000,1222858000,1044592000,1103565000,1109482000,1292421000,1486014000,1367296000,1248665000,1236388000
35,Inventory,6300000,7000000,7700000,11000000,14000000,12241775,79970653,- -,- -,- -,122736359,222277939,214470383,197381245,191055351,228509687,249022000,358984000,400203000,744482000,911848000,807989000,873099000,935496000,922620000,942826000,1096031000,1075252000,1045058000
36,Other Current Assets,2200000,2400000,4200000,2300000,4500000,10711553,13499633,- -,- -,- -,153434630,175431523,97649245,123366491,103090530,122610177,97347000,342048000,355314000,447212000,442190000,479288000,683602000,562149000,482106000,165949000,172182000,160406000,765525000
37,Total Current Assets,25300000,32900000,34100000,47500000,73400000,328844682,344093910,- -,- -,- -,799215289,1143387930,1040308943,916244551,862005366,888817330,1153846000,1273147000,1422451000,2790055000,2683164000,2867584000,2965528000,3203656000,2863019000,3104432000,3257383000,4935986000,4765138000
38,PP&E,2600000,2700000,2600000,3500000,15500000,54169855,63096112,- -,- -,- -,144940573,142760489,116387921,120032413,146351983,178435171,212418000,238024000,251668000,500995000,475143000,486880000,473109000,439293000,396613000,388093000,397661000,1039811000,938299000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1737886442,1658712114,1689362359,1674781000,2525413000,2536022000,5819817000,6393790000,6611323000,7136983000,6933333000,7060030000,7341720000,7767837000,8379931000,8139701000
40,Intangible Assets,4200000,4000000,3700000,14100000,40700000,288140780,358767425,- -,- -,- -,2000652350,2452725211,2354011614,499605455,417749180,422077922,455775000,516754000,407887000,858892000,708165000,630074000,568811000,509781000,490426000,479326000,517982000,521462000,506793000
41,Intangible Assets,4200000,4000000,3700000,14100000,40700000,288140780,358767425,- -,- -,- -,2000652350,2452725211,2354011614,2237491897,2076461294,2111440281,2130556000,3042167000,2943909000,6678709000,7101955000,7241397000,7705794000,7443114000,7550456000,7821046000,8285819000,8901393000,8646494000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15533000,20333000,30689000,42202000,27246000,23047000,30054000,24596000,22612000,19354000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22763371,102720171,46600465,25126858,4927954,7747498,10173000,11592000,11601000,219590000,368217000,323416000,261431000,179898000,146602000,139664000,100539000,113484000,96358000
44,Other Non-Current Assets,1800000,2400000,2400000,7100000,24500000,73756695,100513572,- -,- -,- -,30284981,474862039,429349593,393136247,386061810,497532468,392917000,42261000,55914000,248560000,230460000,284086000,339206000,400125000,416475000,435777000,555748000,537072000,555378000
45,Total Non-Current Assets,8600000,9100000,8700000,24700000,80700000,416067330,522377109,- -,- -,- -,2198641275,3173067910,2946349593,2775787415,2613803041,2795155418,2746064000,3334044000,3263092000,7663387000,8196108000,8366468000,8821742000,8489676000,8533193000,8814634000,9364363000,10614372000,10255883000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
