,https://roic.ai/company/BMMJ,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2413048,4612218,- -,25700024
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1216851,2831642,3778898,13709815
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1196197,1780576,-3778898,11990209
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.4957,0.3861,-Infinity,0.4665
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,158926,454138,930950,319656,278055,127217,122759,350694,2360927,4610309,- -,9945332
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,87501,158926,454138,930950,319656,278055,127217,122759,350694,2360927,4610309,6889127,9945332
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,804616,12870,112025,1457550
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3165543,4623179,7001152,11402882
11,COGS and Expenses,1800,104831,161592,467883,959490,359564,313550,154266,129312,352284,4382394,7454821,3778898,25112697
12,Interest Income ,- -,- -,- -,27,14,- -,76,- -,- -,- -,5615,719865,1119503,163558
13,Interest Expense (Gain),- -,78,2124,4066,- -,- -,- -,- -,- -,- -,- -,1242808,132718,53394
14,Depreciation and Amortization,- -,- -,2666,13745,28540,39908,35495,27049,6553,1590,8811,289560,78025,2319699
15,EBITDA,-1800,-104831,-158926,-454138,-615552,-246037,-329624,-18160,-707213,-345910,-2676971,-2220383,-4386196,2278900
