,https://roic.ai/company/KRMD,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,2065400,2085912,1758904,1656553,1528385,1560220,1745806,1734579,2347678,3439110,3774873,4920723,6390534,7763953,8698852,11244660,12247338,15442712,17353737,23162621,24176448,23490175
2,COGS,- -,1125552,1106972,1330960,959538,723555,726458,728522,663507,899978,1243387,1263406,1657184,2251398,2819113,3388774,4556961,4644435,6174605,6543249,8308811,9240362,9720597
3,Gross Profit,- -,939848,978940,427944,697015,804830,833762,1017284,1071072,1447700,2195723,2511467,3263539,4139136,4944840,5310078,6687699,7602903,9268107,10810488,14853810,14936086,13769578
4,Gross Profit Ratio,- -,0.4550,0.4693,0.2433,0.4208,0.5266,0.5344,0.5827,0.6175,0.6167,0.6385,0.6653,0.6632,0.6477,0.6369,0.6104,0.5947,0.6208,0.6002,0.6229,0.6413,0.6178,0.5862
5,Research and Development Exp.,- -,80944,35335,40835,40269,42186,44029,41817,42033,59932,22441,27921,35519,90329,147576,218150,468154,207282,88621,241124,740475,1296754,2473669
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2655668,3543889,3851298,4788279,5942671,- -,9095565,9771744,12028309,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,1008446,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2655668,3543889,3851298,4788279,5942671,7731972,9095565,9771744,12028309,17862314
9,Other Expenses,- -,87795,1045956,761369,909301,1008282,1149086,1152270,1051175,1194259,1394271,1762027,2033191,103981,190971,232959,283875,271566,306562,309263,340229,2865808,463130
10,Operating Expenses,- -,1177185,1081291,802204,949570,1050468,1193115,1194087,1093208,1254191,1416712,1789948,2068710,2849978,3882436,4302407,5540308,6421519,8127155,9645952,10852448,16190871,20799113
11,COGS and Expenses,- -,2302737,2188263,2133164,1909108,1774023,1919573,1922609,1756715,2154169,2660099,3053354,3725894,5101376,6701549,7691181,10097269,11065954,14301760,16189201,19161259,25431233,30519710
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8,1349,8718,12848,8081,7426,5623,-9198,3743,28104,80663,42395,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,51680,47504,36392,31540,28280,4547,512,3412,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,87795,84971,84839,81435,80547,81818,79089,60426,68198,79355,64804,65774,103981,190971,232959,283875,271566,306562,309263,340229,418595,463130
15,EBITDA,- -,338095,-19486,-300664,-185955,-196620,-317673,-138726,-194295,65699,855890,774768,1295285,1416705,1257361,1247959,1358923,1417548,1516908,1486213,1036647,-775668,-2298075
