,https://roic.ai/company/PW,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,900000,915000,915000,915000,915000,915000,915000,915000,915000,915000,915000,915000,915000,915000,915000,915078,915066,1043892,1743189,1970115,1975921,1982265,1974623,2180898,4272709,8457914
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57008,399661,21929,13727,22715,22012,22188,27515,25912
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,915000,915000,- -,- -,- -,- -,915000,915000,915000,915078,915066,986884,1343528,1948186,1962194,1959550,1952611,2158710,4245194,8432002
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,1.0000,- -,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,1.0000,0.9454,0.7707,0.9889,0.9931,0.9885,0.9889,0.9898,0.9936,0.9969
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,100000,100000,80000,83000,83000,78000,85000,94117,116404,110034,134763,125804,134919,- -,- -,150990,- -,536448,417792,436142,412356,339815,384092,398443,408505,527818,880863
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,100000,100000,- -,100000,100000,80000,83000,83000,78000,85000,94117,116404,110034,134763,125804,134919,- -,- -,150990,277855,536448,417792,436142,412356,339815,384092,398443,408505,527818,880863
9,Other Expenses,-100000,-100000,-100000,-100000,-100000,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,144665,164554,- -,- -,- -,- -,171388,237141,237141,237142,237142,38757,378860,1266764
10,Operating Expenses,-100000,-100000,-100000,-100000,-100000,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94117,116404,- -,- -,- -,- -,144665,164554,150990,277855,536448,417792,607530,649497,576956,621234,635585,447262,906678,2147627
11,COGS and Expenses,-100000,-100000,-100000,-100000,-100000,-100000,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94117,116404,34,-237,- -,134919,144665,164554,150990,277855,536448,474800,1007191,671426,590683,643949,657597,469450,934193,2173539
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,915000,915000,915000,- -,- -,915000,- -,66,23,109,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94820,714894,848780,502447,489564,478215,527412,1166642,1139885
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8268,171388,237141,237141,237142,237142,275899,378860,1266764
15,EBITDA,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,800000,835000,832000,832000,837000,830000,820883,798596,804966,780237,789196,780081,770335,750446,764010,637223,-321739,-378389,-670207,635166,986771,1445179,1554168,1750205,3717376,7551139
16,EBITDA ratio,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.8889,0.9126,0.9093,0.9093,0.9148,0.9071,0.8971,0.8728,0.8797,0.8527,0.8625,0.8525,0.8419,0.8202,0.8350,0.6964,-0.3516,-0.3625,-0.3845,0.3224,0.4994,0.7291,0.7871,0.8025,0.8700,0.8928
17,Operating Income,1000000,1000000,1000000,1000000,1000000,1000000,1000000,900000,900000,900000,900000,900000,915000,915000,915000,915000,915000,820883,798596,914966,915237,915000,780081,770335,750446,764010,637223,-321739,-481477,-1028449,90894,247183,718473,1317026,1711448,3338516,6284375
18,Operating Income ratio,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111,1.1111,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8971,0.8728,1.0000,1.0003,1.0000,0.8525,0.8419,0.8202,0.8350,0.6964,-0.3516,-0.4612,-0.5900,0.0461,0.1251,0.3625,0.6670,0.7847,0.7814,0.7430
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-528040,-541649,- -,- -,-478215,-764554,-1166642,-1139885
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-321739,-481477,-1556489,-450755,247183,718473,838811,946894,2171874,5144490
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.3516,-0.4612,-0.8929,-0.2288,0.1251,0.3625,0.4248,0.4342,0.5083,0.6082
