,https://roic.ai/company/KC,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,1235967000,2218172000,3956353000,6577307000,9060784000
2,COGS,1354153000,2418562000,3948644000,6220324000,8709496000
3,Gross Profit,-118186000,-200390000,7709000,356983000,351288000
4,Gross Profit Ratio,-0.0956,-0.0903,0.0019,0.0543,0.0388
5,Research and Development Exp.,399209000,440518000,595169000,775130000,1043811000
6,General and Administrative Exp.,93649000,146846000,238648000,379892000,601702000
7,Selling and Marketing Exp.,115861000,191671000,317426000,409211000,518167000
8,"Selling, General and Administrative Exp.",209510000,338517000,556074000,789103000,1119869000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,608719000,779035000,1151243000,1564233000,2163680000
11,COGS and Expenses,1962872000,3197597000,5099887000,7784557000,10873176000
12,Interest Income ,19628000,116500000,78612000,77118000,71942000
13,Interest Expense (Gain),36410000,38826000,4925000,9453000,52040000
14,Depreciation and Amortization,297647000,412352000,604581000,758038000,- -
15,EBITDA,-379525000,-545632000,-492690000,-179864000,-1520931000
16,EBITDA ratio,-0.3071,-0.2460,-0.1245,-0.0273,-0.1679
17,Operating Income,-726905000,-979425000,-1143534000,-1207250000,-1812392000
18,Operating Income ratio,-0.5881,-0.4415,-0.2890,-0.1835,-0.2000
19,Total Other Income Expenses (Gains),13323000,-17385000,41338000,259956000,236377000
20,Income Before Tax,-713582000,-996810000,-1102196000,-947294000,-1576015000
21,Income Before Tax Ratio,-0.5773,-0.4494,-0.2786,-0.1440,-0.1739
22,Income Tax expense (Gain),668000,9632000,9003000,14904000,15741000
23,Net Income,-714250000,-1006442000,-1111199000,-962259000,-1588712000
24,Net Income ratio,-0.5779,-0.4537,-0.2809,-0.1463,-0.1753
25,EPS,-7.59,-10.06,-6.45,-4.41,-50.56
26,EPS Diluted,-7.59,-10.06,-6.45,-4.41,-50.48
27,Weighted Average Shares Outstanding,173784718,173784718,173784718,222641242,31421000
28,Weighted Average Shares Outstanding Diluted,173784718,173784718,173784718,222641242,31469000
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,1507071000,2023263000,3424674000,4217528000
32,Short-Term Investments,- -,2208105000,225425000,2693019000,2491056000
33,Cash and Short-Term Investments,- -,3715176000,2248688000,6117693000,6708584000
34,Net Receivables,- -,781185000,1495206000,2799402000,3778118000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,238048000,405845000,627623000,1926114000
37,Total Current Assets,- -,4734409000,4149739000,9544718000,12412816000
38,PP&E,- -,1106435000,1754944000,2232736000,2620554000
39,Goodwill,- -,- -,- -,- -,4625115000
40,Intangible Assets,- -,10147000,7428000,16573000,1169767000
41,Intangible Assets,- -,10147000,7428000,16573000,5794882000
42,Investments,- -,5000000,114876000,126583000,207166000
43,Tax Assets,- -,- -,- -,- -,7798000
44,Other Non-Current Assets,- -,3208000,4834000,8604000,34824000
