,https://roic.ai/company/KN,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,983318000,1118000000,1214803000,1141300000,1084600000,859300000,744200000,826900000,854800000,764300000,868100000
2,COGS,605298000,711000000,786862000,908600000,842100000,530700000,457900000,504300000,526800000,493100000,508600000
3,Gross Profit,378020000,407000000,427941000,232700000,242500000,328600000,286300000,322600000,328000000,271200000,359500000
4,Gross Profit Ratio,0.3844,0.3640,0.3523,0.2039,0.2236,0.3824,0.3847,0.3901,0.3837,0.3548,0.4141
5,Research and Development Exp.,- -,77300000,- -,83000000,112100000,100500000,93400000,100600000,96800000,92900000,92800000
6,General and Administrative Exp.,- -,- -,284113000,196500000,208100000,170700000,126300000,142500000,145700000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",231616000,188100000,284113000,196500000,208100000,170700000,126300000,142500000,145700000,131500000,146400000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,231616000,265400000,284113000,279500000,320200000,271200000,219700000,243100000,242500000,224400000,239200000
11,COGS and Expenses,836914000,976400000,1070975000,1188100000,1162300000,801900000,677600000,747400000,769300000,717500000,747800000
12,Interest Income ,- -,3200000,- -,100000,100000,100000,200000,600000,800000,700000,200000
13,Interest Expense (Gain),39892000,59700000,42024000,6700000,12800000,20500000,20800000,16600000,15300000,17100000,14400000
14,Depreciation and Amortization,84773000,114900000,130912000,151600000,135700000,73700000,57300000,52400000,54400000,60600000,62500000
15,EBITDA,230221000,253500000,274446000,103200000,-100400000,63600000,159300000,132200000,135400000,92700000,181700000
16,EBITDA ratio,0.2341,0.2267,0.2259,0.0904,-0.0926,0.0740,0.2141,0.1599,0.1584,0.1213,0.2093
17,Operating Income,146404000,136100000,143828000,-53100000,-235100000,47100000,40500000,77800000,81200000,29200000,115800000
18,Operating Income ratio,0.1489,0.1217,0.1184,-0.0465,-0.2168,0.0548,0.0544,0.0941,0.0950,0.0382,0.1334
19,Total Other Income Expenses (Gains),-40848000,-57200000,-42318000,-2000000,-13800000,-16300000,-21100000,-16700000,-14900000,-17900000,-11200000
20,Income Before Tax,105556000,78900000,101510000,-55100000,-248900000,30800000,19400000,61100000,66300000,11300000,104600000
21,Income Before Tax Ratio,0.1073,0.0706,0.0836,-0.0483,-0.2295,0.0358,0.0261,0.0739,0.0776,0.0148,0.1205
22,Income Tax expense (Gain),7099000,-200000,-4304000,31900000,-15100000,11700000,12900000,-4500000,16600000,8400000,-45600000
23,Net Income,98457000,79100000,105814000,-87000000,-233800000,-42300000,68300000,67700000,49100000,6600000,150400000
24,Net Income ratio,0.1001,0.0708,0.0871,-0.0762,-0.2156,-0.0492,0.0918,0.0819,0.0574,0.0086,0.1733
25,EPS,1.16,0.93,1.24,-1.02,-2.69,-0.48,0.76,0.75,0.54,0.07,1.63
26,EPS Diluted,1.16,0.93,1.24,-1.02,-2.69,-0.48,0.75,0.74,0.53,0.07,1.59
27,Weighted Average Shares Outstanding,85027624,85027624,85027624,85046042,86802828,88667098,89329794,90050051,91156124,91701004,92300000
28,Weighted Average Shares Outstanding Diluted,85027624,85027624,85027624,85046042,86802828,89182967,90490007,91194747,93439023,92883138,94700000
