,https://roic.ai/company/NEX,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,395834000,366157000,420570000,1542081000,2137006000,1821556000,1202581000,1423441000
2,COGS,391972000,376143000,517321000,1441841000,1919691000,1696082000,1334625000,1439485000
3,Gross Profit,3862000,-9986000,-96751000,100240000,217315000,125474000,-132044000,-16044000
4,Gross Profit Ratio,0.0098,-0.0273,-0.2300,0.0650,0.1017,0.0689,-0.1098,-0.0113
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,93526000,114258000,123676000,144147000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,93526000,114258000,123676000,144147000,109404000
9,Other Expenses,25459000,25811000,52768000,- -,- -,- -,- -,- -
10,Operating Expenses,25459000,25811000,52768000,93526000,114258000,123676000,144147000,109404000
11,COGS and Expenses,417431000,401954000,570089000,1535367000,2033949000,1819758000,1478772000,1548889000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),10473000,23450000,38299000,59223000,33504000,21856000,20652000,24609000
14,Depreciation and Amortization,68254000,69547000,100979000,159280000,259145000,292150000,302051000,184164000
15,EBITDA,33141000,28355000,-47809000,182512000,356250000,208854000,-22710000,91036000
16,EBITDA ratio,0.0837,0.0774,-0.1137,0.1184,0.1667,0.1147,-0.0189,0.0640
17,Operating Income,-32695000,-39711000,-149704000,9269000,98010000,-83749000,-331277000,-105259000
18,Operating Income ratio,-0.0826,-0.1085,-0.3560,0.0060,0.0459,-0.0460,-0.2755,-0.0739
19,Total Other Income Expenses (Gains),-12891000,-24931000,-37383000,-45260000,-34409000,-21403000,-14136000,-12478000
20,Income Before Tax,-45586000,-64642000,-187087000,-35991000,63601000,-105152000,-345413000,-117737000
21,Income Before Tax Ratio,-0.1152,-0.1765,-0.4448,-0.0233,0.0298,-0.0577,-0.2872,-0.0827
22,Income Tax expense (Gain),- -,- -,- -,150000,4270000,1005000,1470000,1686000
23,Net Income,-45586000,-64642000,-187087000,-36141000,59331000,-106157000,-346883000,-119423000
24,Net Income ratio,-0.1152,-0.1765,-0.4448,-0.0234,0.0278,-0.0583,-0.2884,-0.0839
25,EPS,-0.44,-2.56,-1.82,-0.44,0.54,-0.86,-1.62,-0.53
26,EPS Diluted,-0.44,-2.56,-1.82,-0.44,0.54,-0.86,-1.62,-0.53
27,Weighted Average Shares Outstanding,103128000,103128000,102728019,111735000,109335000,122977000,213795000,224401000
28,Weighted Average Shares Outstanding Diluted,103128000,103128000,102728019,111735000,109660000,122977000,213795000,224401000
