,https://roic.ai/company/GSIT,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,20981000,35419000,45736000,43141000,58159000,53170000,62108000,67558000,97763000,82540000,66014000,58579000,53498000,52736000,48180000,42643000,51486000,43343000,27729000
2,COGS,18477000,26619000,30715000,29229000,36042000,31847000,35552000,38342000,53009000,45891000,37426000,32469000,28375000,25999000,21764000,20217000,19858000,18000000,14512000
3,Gross Profit,2504000,8800000,15021000,13912000,22117000,21323000,26556000,29216000,44754000,36649000,28588000,26110000,25123000,26737000,26416000,22426000,31628000,25343000,13217000
4,Gross Profit Ratio,0.1193,0.2485,0.3284,0.3225,0.3803,0.4010,0.4276,0.4325,0.4578,0.4440,0.4331,0.4457,0.4696,0.5070,0.5483,0.5259,0.6143,0.5847,0.4766
5,Research and Development Exp.,6206000,5500000,4804000,5377000,4951000,4365000,5737000,9069000,10632000,10637000,11472000,13110000,11917000,12095000,15803000,16998000,21355000,25223000,23344000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,9464000,9295000,9534000,10722000,19356000,13696000,18814000,19247000,17663000,11140000,9899000,10455000,10922000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4500000,4152000,5756000,4797000,6209000,9464000,9295000,9534000,10722000,19356000,13696000,18814000,19247000,17663000,11140000,9899000,10455000,10922000,11137000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,10706000,9652000,10560000,10174000,11160000,13829000,15032000,18603000,21354000,29993000,25168000,31924000,31164000,29758000,26943000,26897000,31810000,36145000,34481000
11,COGS and Expenses,29183000,36271000,41275000,39403000,47202000,45676000,50584000,56945000,74363000,75884000,62594000,64393000,59539000,55757000,48707000,47114000,51668000,54145000,48993000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,455000,387000,324000,307000,312000,421000,671000,783000,295000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2075000,1009000,926000,893000,836000,1527000,1362000,2196000,2794000,2611000,2375000,1981000,1633000,1459000,1532000,1255000,1454000,1434000,1214000
15,EBITDA,-5983000,339000,5551000,5313000,12521000,10805000,14249000,14774000,26655000,9792000,6259000,-3495000,-4020000,-1352000,1483000,-2807000,1722000,-8656000,-19956000
16,EBITDA ratio,-0.2852,0.0096,0.1214,0.1232,0.2153,0.2032,0.2294,0.2187,0.2726,0.1186,0.0948,-0.0597,-0.0751,-0.0256,0.0308,-0.0658,0.0334,-0.1997,-0.7197
17,Operating Income,-8202000,-852000,4461000,3738000,10957000,7494000,11524000,10613000,23400000,6656000,3420000,-5814000,-6041000,-3021000,-527000,-4471000,-182000,-10802000,-21264000
18,Operating Income ratio,-0.3909,-0.0241,0.0975,0.0866,0.1884,0.1409,0.1855,0.1571,0.2394,0.0806,0.0518,-0.0993,-0.1129,-0.0573,-0.0109,-0.1048,-0.0035,-0.2492,-0.7669
19,Total Other Income Expenses (Gains),144000,182000,164000,682000,728000,1784000,1363000,1965000,461000,525000,464000,338000,388000,210000,478000,409000,450000,712000,94000
20,Income Before Tax,-8058000,-670000,4625000,4420000,11685000,9278000,12887000,12578000,23861000,7181000,3884000,-5476000,-5653000,-2811000,-49000,-4062000,268000,-10090000,-21170000
21,Income Before Tax Ratio,-0.3841,-0.0189,0.1011,0.1025,0.2009,0.1745,0.2075,0.1862,0.2441,0.0870,0.0588,-0.0935,-0.1057,-0.0533,-0.0010,-0.0953,0.0052,-0.2328,-0.7635
