,https://roic.ai/company/TDNT,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,480,16570,168040,4743420,5655430,2153570,872923
2,COGS,- -,- -,- -,- -,- -,- -,- -,310,9950,97740,4648020,5307500,1723810,628801
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,170,6620,70300,95400,347930,429760,244122
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,0.3542,0.3995,0.4184,0.0201,0.0615,0.1996,0.2797
5,Research and Development Exp.,- -,20000,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,10000,10000,10000,20000,20000,60000,387160,2511890,2681360,3323370,6152660,6950760,3441412
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1129665
8,"Selling, General and Administrative Exp.",690,4545,13588,14801,16419,17914,55563,387158,2286348,2681358,3323369,6152660,6950756,4571077
9,Other Expenses,- -,3340,-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,690,27885,13588,14801,16419,17914,55563,387158,2286348,2681358,3323369,6152660,6950756,4571077
11,COGS and Expenses,- -,30000,20000,10000,20000,- -,60000,399680,2521840,2779100,10096390,11900700,8674570,5199878
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,348,933,- -,12215,664549,576073,- -,2175098,4371507,4298280
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,275000,313989,40716,8381,4413
15,EBITDA,- -,-30000,-20000,-10000,-19652,933,-59067,-496985,-2490631,-2284907,-6501331,-6158206,-7720302,-993955
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-1035.3854,-150.3097,-13.5974,-1.3706,-1.0889,-3.5849,-1.1387
17,Operating Income,- -,- -,- -,- -,- -,-18847,-55563,-399199,-2279730,-2611054,-5352970,-6245273,-6520995,-4326955
18,Operating Income ratio,- -,- -,- -,- -,- -,-Infinity,-Infinity,-831.6646,-137.5818,-15.5383,-1.1285,-1.1043,-3.0280,-4.9569
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,-4437,-110001,-890090,-576076,-1521210,-2175097,-5696795,-1068237
20,Income Before Tax,- -,-30000,-20000,-10000,-20000,- -,-60000,-509200,-3169820,-3187130,-6874180,-8420370,-12217790,-5395192
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-1060.8333,-191.2987,-18.9665,-1.4492,-1.4889,-5.6733,-6.1806
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,- -,-30000,-20000,-10000,-20000,- -,-60000,-509200,-3155180,-3135980,-6815320,-8374020,-12100190,-5296648
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,-Infinity,-1060.8333,-190.4152,-18.6621,-1.4368,-1.4807,-5.6187,-6.0677
25,EPS,- -,-0.00,-0.00,-0.00,-0.00,- -,-0.00,-0.01,-0.11,-0.10,-0.22,-0.26,-0.37,-0.16
26,EPS Diluted,- -,-0.00,-0.00,-0.00,-0.00,- -,-0.00,-0.01,-0.11,-0.10,-0.22,-0.26,-0.37,-0.16
27,Weighted Average Shares Outstanding,12000000,17726776,28000000,28000000,28000000,28000000,28000000,28000000,28000000,30696721,31295756,32311887,32311887,32311887
28,Weighted Average Shares Outstanding Diluted,12000000,17726776,28000000,28000000,28000000,28000000,28000000,28000000,28000000,30696721,31295756,32311887,32311887,32311887
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1421907/000116552709000127/0001165527-09-000127-index.html,https://www.sec.gov/Archives/edgar/data/1421907/000116552710000132/0001165527-10-000132-index.html,- -,https://www.sec.gov/Archives/edgar/data/1421907/000116552712000170/0001165527-12-000170-index.html,https://www.sec.gov/Archives/edgar/data/1421907/000116552713000261/0001165527-13-000261-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552714000139/0001165527-14-000139-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552715000097/0001165527-15-000097-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552716000688/0001165527-16-000688-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552717000047/0001165527-17-000047-index.html,https://www.sec.gov/Archives/edgar/data/1421907/000116552718000037/0001165527-18-000037-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000116552719000022/0001165527-19-000022-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000147793220001361/0001477932-20-001361-index.htm,https://www.sec.gov/Archives/edgar/data/1421907/000147793221001463/0001477932-21-001463-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,10000,50000,20000,10000,- -,- -,- -,350,187890,1527620,3143790,3133300,1013670,88007
32,Short-Term Investments,- -,- -,- -,- -,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,10000,50000,20000,10000,10000,- -,- -,350,187890,1527620,3143790,3133300,1013670,88007
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,53050,1071580,357490,280350,63784
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,145480,231220,132950,2055060,2082830,1219567
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,1050,55880,67340,236520,123610,168320,155179
37,Total Current Assets,10000,50000,20000,10000,10000,- -,- -,1400,389250,1879230,4584840,5669460,3545170,1526537
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40050,31660,4410,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2425000,472880,393580,400000,400000
