,https://roic.ai/company/VRNS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,28865000,39779000,53410000,74616000,101348000,127210000,164456000,217364000,270288000,254190000,292689000,390134000
2,COGS,2396000,3524000,4928000,6476000,9911000,12019000,15843000,20873000,27683000,35144000,44261000,59399000
3,Gross Profit,26469000,36255000,48482000,68140000,91437000,115191000,148613000,196491000,242605000,219046000,248428000,330735000
4,Gross Profit Ratio,0.9170,0.9114,0.9077,0.9132,0.9022,0.9055,0.9037,0.9040,0.8976,0.8617,0.8488,0.8477
5,Research and Development Exp.,7735000,13049000,15034000,20973000,28086000,31792000,36660000,47369000,69971000,80764000,99363000,137882000
6,General and Administrative Exp.,3312000,4514000,4966000,8881000,11872000,16106000,19822000,26823000,33460000,44371000,47578000,61233000
7,Selling and Marketing Exp.,16608000,22095000,30036000,44131000,68787000,86367000,107825000,135896000,168309000,169898000,179902000,230314000
8,"Selling, General and Administrative Exp.",19920000,26609000,35002000,53012000,80659000,102473000,127647000,162719000,201769000,214269000,227480000,291547000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,27655000,39658000,50036000,73985000,108745000,134265000,164307000,210088000,271740000,295033000,326843000,429429000
11,COGS and Expenses,30051000,43182000,54964000,80461000,118656000,146284000,180150000,230961000,299423000,330177000,371104000,488828000
12,Interest Income ,6000,62000,97000,36000,188000,330000,520000,747000,1741000,2034000,674000,164000
13,Interest Expense (Gain),270000,666000,86000,- -,- -,- -,- -,- -,- -,1836000,6113000,10038000
14,Depreciation and Amortization,291000,453000,465000,796000,1285000,1615000,2180000,3328000,4156000,15344000,9903000,10888000
15,EBITDA,-2074000,-2455000,-4048000,-6323000,-17737000,-18982000,-14399000,-7907000,-24009000,-59196000,-69882000,-89913000
16,EBITDA ratio,-0.0719,-0.0617,-0.0758,-0.0847,-0.1750,-0.1492,-0.0876,-0.0364,-0.0888,-0.2329,-0.2388,-0.2305
17,Operating Income,-1186000,-3403000,-1554000,-5845000,-17308000,-19074000,-15694000,-13597000,-29135000,-75987000,-78415000,-98694000
18,Operating Income ratio,-0.0411,-0.0855,-0.0291,-0.0783,-0.1708,-0.1499,-0.0954,-0.0626,-0.1078,-0.2989,-0.2679,-0.2530
19,Total Other Income Expenses (Gains),-1449000,-171000,-3045000,-1274000,-1714000,-1523000,-885000,2362000,970000,-389000,-7483000,-12145000
20,Income Before Tax,-2635000,-3574000,-4599000,-7119000,-19022000,-20597000,-16579000,-11235000,-28165000,-76376000,-85898000,-110839000
21,Income Before Tax Ratio,-0.0913,-0.0898,-0.0861,-0.0954,-0.1877,-0.1619,-0.1008,-0.0517,-0.1042,-0.3005,-0.2935,-0.2841
22,Income Tax expense (Gain),126000,224000,247000,356000,376000,686000,1131000,2459000,413000,2388000,8112000,6022000
23,Net Income,-2761000,-3798000,-4846000,-7475000,-19398000,-21283000,-17710000,-13694000,-28578000,-78764000,-94010000,-116861000
24,Net Income ratio,-0.0957,-0.0955,-0.0907,-0.1002,-0.1914,-0.1673,-0.1077,-0.0630,-0.1057,-0.3099,-0.3212,-0.2995
25,EPS,-0.05,-0.07,-0.09,-0.13,-0.30,-0.28,-0.22,-0.17,-0.33,-0.87,-1.00,-1.24
26,EPS Diluted,-0.05,-0.07,-0.09,-0.13,-0.30,-0.28,-0.22,-0.17,-0.33,-0.87,-1.00,-1.24
27,Weighted Average Shares Outstanding,56893068,56893068,56893068,56893068,63726939,75595638,79218936,82402320,87061935,90772230,94336893,94336893
28,Weighted Average Shares Outstanding Diluted,56893068,56893068,56893068,56893068,63726939,75595638,79218936,82402320,87061935,90772230,94336893,94336893
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1361113/000119312515054287/0001193125-15-054287-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000117184316007861/0001171843-16-007861-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000117184317000799/0001171843-17-000799-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000117184318001113/0001171843-18-001113-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000162828019001223/0001628280-19-001223-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000162828020001362/0001628280-20-001362-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000162828021001677/0001628280-21-001677-index.htm,https://www.sec.gov/Archives/edgar/data/1361113/000162828022002017/0001628280-22-002017-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,12977000,14470000,9633000,76593000,49241000,48315000,56689000,48707000,68929000,234092000,805761000
32,Short-Term Investments,- -,622000,343000,4344000,35102000,57103000,65493000,79868000,110208000,51531000,64170000,1850000
33,Cash and Short-Term Investments,- -,13599000,14813000,13977000,111695000,106344000,113808000,136557000,158915000,120460000,298262000,807611000
34,Net Receivables,- -,15665000,20035000,28268000,37869000,47436000,53861000,75596000,83223000,75050000,94229000,117179000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
