,https://roic.ai/company/ZD,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3500000,7600000,13933000,33252663,48213747,71622000,106343000,143941000,181079000,220697000,241513000,245571000,255394000,330159000,371396000,520801000,599030000,720815000,874255000,1117838000,1207295000,1372054000,1489593000,1416722000
2,COGS,2300000,2700000,4699000,13411846,11202434,13323000,16514000,29762000,36723000,43987000,46250000,44730000,44086000,60613000,67013000,86893000,105989000,122958000,147100000,172313000,201074000,237323000,231782000,188053000
3,Gross Profit,1200000,4900000,9234000,19840817,37011313,58299000,89829000,114179000,144356000,176710000,195263000,200841000,211308000,269546000,304383000,433908000,493041000,597857000,727155000,945525000,1006221000,1134731000,1257811000,1228669000
4,Gross Profit Ratio,0.3429,0.6447,0.6627,0.5967,0.7677,0.8140,0.8447,0.7932,0.7972,0.8007,0.8085,0.8179,0.8274,0.8164,0.8196,0.8332,0.8231,0.8294,0.8317,0.8459,0.8335,0.8270,0.8444,0.8673
5,Research and Development Exp.,1200000,1800000,2762000,2534958,3187130,4195000,5249000,6869000,8773000,11833000,12031000,11657000,12827000,16373000,18624000,25485000,30680000,34329000,38046000,46004000,48370000,54396000,64295000,78874000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45275000,48226000,58157000,60772000,101683000,134188000,205137000,239672000,323517000,375267000,424072000,445431000,457692000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37006000,46332000,59066000,62825000,131317000,141967000,159009000,206871000,330296000,338304000,379183000,413474000,493049000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82281000,94558000,117223000,123597000,233000000,276155000,364146000,446543000,653813000,713571000,803255000,858905000,950741000
9,Other Expenses,11000000,16200000,31042000,26027451,20018336,26854000,38544000,45889000,69546000,78451000,85298000,2442000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,12200000,18000000,33804000,28562409,23205466,31049000,43793000,52758000,78319000,90284000,97329000,96380000,107385000,133596000,142221000,258485000,306835000,398475000,484589000,699817000,761941000,857651000,923200000,1029615000
11,COGS and Expenses,14500000,20700000,38503000,41974255,34407900,44372000,60307000,82520000,115042000,134271000,143579000,141110000,151471000,194209000,209234000,345378000,412824000,521433000,631689000,872130000,963015000,1094974000,1154982000,1217668000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,6818000,1313000,1805000,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,439000,104000,147000,9045000,21254000,31204000,42458000,41370000,67777000,61987000,69546000,131975000,79031000
14,Depreciation and Amortization,1100000,1900000,6987000,9694139,3488432,3910000,4549000,7109000,8228000,10134000,13177000,14707000,14510000,19756000,22164000,39788000,62953000,93213000,122091000,162041000,187174000,253451000,228737000,258303000
15,EBITDA,-16100000,-15500000,-15228000,1863333,17956903,31579000,51768000,81678000,81460000,105595000,115330000,112925000,125251000,157019000,186048000,203739000,249324000,292590000,374900000,429784000,422608000,522427000,579773000,816487000
