,https://roic.ai/company/ICLR,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,42100000,55800000,80767000,116200000,156600000,225700000,296900000,- -,455600000,630700000,865200000,887600000,900000000,945700000,1115000000,1336100000,1503316000,1574978000,1666487000,1758439000,2595777000,2805839000,2797288000,5480826000
2,COGS,- -,- -,29300000,42044000,63800000,83400000,122400000,162600000,- -,256300000,354500000,489200000,507800000,541400000,611900000,717800000,845400000,903167000,908979000,961333000,1027310000,1818220000,1974135000,1979883000,3972612000
3,Gross Profit,- -,- -,26500000,38723000,52400000,73200000,103300000,134300000,- -,199300000,276200000,376000000,379800000,358600000,333800000,397200000,490700000,600149000,665999000,705154000,731129000,777557000,831704000,817405000,1508214000
4,Gross Profit Ratio,- -,- -,0.4749,0.4794,0.4509,0.4674,0.4577,0.4523,- -,0.4374,0.4379,0.4346,0.4279,0.3984,0.3530,0.3562,0.3673,0.3992,0.4229,0.4231,0.4158,0.2995,0.2964,0.2922,0.2752
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,36300000,49000000,71100000,88800000,- -,136600000,188000000,248800000,230900000,232700000,255900000,280800000,313900000,336461000,326786000,325726000,323741000,325794000,336748000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,18000000,27348000,36312000,48951000,71118000,88807000,- -,136569000,187993000,248778000,230910000,232688000,255864000,280780000,313931000,336461000,326786000,325726000,323741000,325794000,336748000,341690000,585330000
9,Other Expenses,- -,- -,2000000,3227000,4975000,6020000,7305000,11171000,- -,14949000,19008000,27728000,41467000,33873000,38682000,42823000,46514000,52542000,57677000,59575000,61297000,65916000,61550000,66126000,314987000
10,Operating Expenses,- -,- -,20000000,30575000,41287000,54971000,78423000,99978000,- -,151518000,207001000,276506000,272377000,266561000,294546000,323603000,360445000,389003000,384463000,385301000,385038000,391710000,398298000,407816000,900317000
