,https://roic.ai/company/AHH,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,135126000,130180000,108482000,140036000,168067000,252440000,258385000,302771000,193317000,257198000,383634000,284076000
2,COGS,98324000,89487000,67650000,97962000,121164000,192330000,184908000,222540000,112233000,150831000,266568000,156446000
3,Gross Profit,36802000,40693000,40832000,42074000,46903000,60110000,73477000,80231000,81084000,106367000,117066000,127630000
4,Gross Profit Ratio,0.2724,0.3126,0.3764,0.3005,0.2791,0.2381,0.2844,0.2650,0.4194,0.4136,0.3052,0.4493
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2523000,3728000,3232000,6937000,7711000,8397000,9552000,10435000,11431000,12392000,12905000,14610000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2523000,3728000,3232000,6937000,7711000,8397000,9552000,10435000,11431000,12392000,12905000,14610000
9,Other Expenses,12158000,12994000,12909000,14898000,17569000,23153000,35328000,37321000,39913000,54941000,60814000,69083000
10,Operating Expenses,14681000,16722000,16141000,21835000,25280000,31550000,44880000,47756000,51344000,67333000,73719000,83693000
11,COGS and Expenses,113005000,106209000,83791000,119797000,146444000,223880000,229788000,270296000,163577000,218164000,340287000,240139000
12,Interest Income ,- -,- -,- -,- -,- -,126000,3228000,7077000,10729000,23215000,19841000,18457000
13,Interest Expense (Gain),18208000,18134000,16561000,12303000,10648000,13333000,16466000,17439000,19087000,31344000,31035000,33905000
14,Depreciation and Amortization,10978000,11708000,11601000,12806000,14984000,18678000,23453000,25974000,30395000,38216000,44257000,52571000
15,EBITDA,32930000,32108000,37059000,34738000,33393000,51619000,68336000,65185000,66656000,93122000,104161000,111194000
16,EBITDA ratio,0.2437,0.2466,0.3416,0.2481,0.1987,0.2045,0.2645,0.2153,0.3448,0.3621,0.2715,0.3914
17,Operating Income,22121000,23971000,24691000,19659000,21379000,26584000,26679000,31717000,32023000,42637000,48741000,40695000
18,Operating Income ratio,0.1637,0.1841,0.2276,0.1404,0.1272,0.1053,0.1033,0.1048,0.1657,0.1658,0.1271,0.1433
19,Total Other Income Expenses (Gains),-18040000,-21324000,-15784000,-4933000,-8550000,4565000,16419000,-1067000,-8560000,-10870000,-12065000,-15982000
20,Income Before Tax,4081000,2647000,8907000,14726000,12829000,31149000,43098000,30650000,23463000,31767000,36676000,24713000
21,Income Before Tax Ratio,0.0302,0.0203,0.0821,0.1052,0.0763,0.1234,0.1668,0.1012,0.1214,0.1235,0.0956,0.0870
22,Income Tax expense (Gain),- -,- -,- -,273000,70000,-34000,343000,725000,-29000,-491000,-283000,-742000
23,Net Income,3744000,2266000,8897000,9356000,7691000,19642000,28074000,21047000,17203000,24053000,29152000,25460000
24,Net Income ratio,0.0277,0.0174,0.0820,0.0668,0.0458,0.0778,0.1087,0.0695,0.0890,0.0935,0.0760,0.0896
25,EPS,0.22,0.14,0.40,0.39,0.36,1.04,1.14,0.50,0.36,0.53,0.51,0.43
26,EPS Diluted,0.22,0.14,0.40,0.39,0.36,0.75,0.85,0.50,0.36,0.41,0.38,0.33
27,Weighted Average Shares Outstanding,16699000,16699000,16699000,19163413,25022701,30076359,37490361,42094000,47786111,56277971,59073220,59073220
28,Weighted Average Shares Outstanding Diluted,16699000,16699000,16699000,19163413,25022701,30076359,37490361,42094000,47786111,72644000,78309000,78309000
