,https://roic.ai/company/SMTS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,1,1,1,1,1,- -,- -,23544,- -,622018,524795,17507632,16270654,19912575,98593536,180656997,143538000,172614000,134052000,143180000,205118000,232371000,229038000,246888000,272014000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13853809,8486731,12136451,91964740,164084316,146692000,123595000,126721000,126400000,159154000,146589000,171276000,165303000,190795000
3,Gross Profit,- -,1,- -,1,1,1,- -,- -,23544,- -,622018,524795,3653823,7783923,7776124,6628795,16572681,-3154000,49019000,7331000,16780000,45964000,85782000,57762000,81585000,81219000
4,Gross Profit Ratio,- -,1.0000,- -,1.0000,1.0000,1.0000,- -,- -,1.0000,- -,1.0000,1.0000,0.2087,0.4784,0.3905,0.0672,0.0917,-0.0220,0.2840,0.0547,0.1172,0.2241,0.3692,0.2522,0.3305,0.2986
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3756323,- -,- -,3860921,- -,- -,1799000,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6402761,7495063,4796385,12751224,17246163,15410000,16214000,13051000,14391000,19414000,18114000,18708000,19455000,23033000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3688541,7148960,7043000,9085000,8164000,7443000,8468000,9356000,10548000,11010000,10686000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,915465,- -,- -,6402761,7495063,4796385,16439765,24395123,22453000,25299000,21215000,21834000,27882000,27470000,29256000,30465000,33719000
9,Other Expenses,- -,126564,40592,45240,101308,106064,80736,- -,920955,33899,1989867,3311124,2704265,2719735,4339666,1279138,1369078,2641000,2069000,2382000,1044000,-58000,1654000,400000,300000,3732000
10,Operating Expenses,- -,126564,40592,45240,101308,106064,80736,- -,920955,949364,1989867,3311124,12863349,10214798,9136050,21579824,25764201,25094000,29167000,23597000,22878000,27824000,29124000,29656000,30765000,37451000
11,COGS and Expenses,- -,126564,40592,45240,101308,106064,80736,84053,920955,949364,1989867,3311124,26717159,18701529,21272501,113544564,189848517,171786000,152762000,150318000,149278000,186978000,175713000,200932000,196068000,228246000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,23544,17138,238023,513733,61031,2052,67816,- -,1185127,665000,92000,67000,89000,36000,36000,203000,300000,301000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41951,39564,216307,171597,99432,4998041,7174090,4537000,4285000,4243000,3347000,3217000,3597000,5078000,4593000,3946000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,33899,- -,48714,2688499,2689253,2124927,52222331,- -,- -,- -,- -,- -,- -,- -,- -,- -,46074000
15,EBITDA,- -,-126564,-40592,-138312,-303043,-203506,739747,298915,-897410,-385365,-1917407,-8885221,-15723107,1582055,662631,40927522,-11291376,-32561000,16308000,-31882000,-3161000,8920000,48751000,22037000,50598000,47760000
16,EBITDA ratio,- -,-174646.0470,-57621.0332,-208710.0966,-440182.1275,-320724.8820,Infinity,Infinity,-38.1155,-Infinity,-3.0826,-16.9309,-0.8981,0.0972,0.0333,0.4151,-0.0625,-0.2268,0.0945,-0.2378,-0.0221,0.0435,0.2098,0.0962,0.2049,0.1756
17,Operating Income,- -,-126564,-40592,-138311,-303042,-203505,-901220,-467021,-897410,-1479464,-1608169,-3997973,-9209527,-2430875,-2051770,-14951028,-9702160,-34009000,19833000,-35476000,-6157000,18082000,58312000,28506000,51120000,43768000
18,Operating Income ratio,- -,-174645.0470,-57620.0332,-208709.0966,-440181.1275,-320723.8820,-Infinity,-Infinity,-38.1155,-Infinity,-2.5854,-7.6182,-0.5260,-0.1494,-0.1030,-0.1516,-0.0537,-0.2369,0.1149,-0.2646,-0.0430,0.0882,0.2509,0.1245,0.2071,0.1609
19,Total Other Income Expenses (Gains),- -,- -,- -,-93072,-201735,-97442,-820483,-382968,- -,55695,-351189,-4975525,-9418386,1152080,490042,-3231146,-7846567,-7201000,-5754000,-2660000,-807000,-8594000,-6132000,-6561000,-1143000,-40773000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1423769,-1959358,-8973498,-18627913,-1278795,-1561728,-18182174,-17548727,-41210000,14079000,-38136000,-6964000,9488000,52180000,21945000,49977000,2995000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,-Infinity,-3.1500,-17.0991,-1.0640,-0.0786,-0.0784,-0.1844,-0.0971,-0.2871,0.0816,-0.2845,-0.0486,0.0463,0.2246,0.0958,0.2024,0.0110
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,381092,-318130,300156,58348,-196963,91886,1676787,10360564,-3125000,2723000,-2823000,5757000,10348000,26340000,12528000,22586000,25103000
23,Net Income,- -,-126564,-40592,-138312,-303043,-203506,-901220,-467021,-897410,-1804861,-1641229,-9273653,-18686261,-1081832,-1653614,-17969638,-28826031,-33973000,9300000,-33302000,-12265000,-4645000,18814000,4431000,23419000,-27363000
