,https://roic.ai/company/SFDL,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,17454682,18639670,16768878,19277848,22025145,24576874,27041534,33442382,34442186,33073696,29810235,29831891,30713822,31272754,32955887,35291802,37719754,41935000,45926000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,37096325,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8846,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,5953904,6023215,6255794,7637397,9442965,10284937,12399775,13679901,13046451,11817543,11710755,12000547,12791577,13476063,14560605,15782307,16922724,- -,- -
7,Selling and Marketing Exp.,216204,210962,182699,172409,297330,379819,541882,404182,393287,387079,355678,484056,416322,532660,596440,546799,796213,- -,- -
8,"Selling, General and Administrative Exp.",6170108,6234177,6438493,7809806,9740295,10664756,12941657,14084083,13439738,12204622,12066433,12484603,13207899,14008723,15157045,16329106,17718937,19180183,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,36915917,34560262,- -,- -,15515397,13792101,12991277,13842955,15670894,19281063,9288581,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,51000000,48000000,- -,- -,28000000,27000000,27000000,29000000,32000000,37000000,28468764,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,23659833,23011005,25589649,32406635,42097614,49632326,48867275,47506962,43742340,38528823,30447367,29482164,27905752,28387623,29786905,33072075,36934111,37096325,37117000
13,Interest Expense (Gain),10016264,9606100,11524745,15968927,23933000,29544525,26321519,20136243,16095115,12396832,7532936,5813056,4199179,3515792,4175301,5449419,8311500,6582000,3824000
14,Depreciation and Amortization,1128362,656704,1868387,795217,796211,1188711,2146798,1667968,1639477,1551051,1293843,1226882,1242378,1383393,1467402,1487734,1961507,2255295,- -
15,EBITDA,16316666,16977610,18609219,22354611,30997247,37092580,32186107,24469217,20535638,17654539,13958325,15153846,13624583,12744321,13996503,15713900,19747044,17464295,20107000
16,EBITDA ratio,0.9348,0.9108,1.1097,1.1596,1.4074,1.5092,1.1902,0.7317,0.5962,0.5338,0.4682,0.5080,0.4436,0.4075,0.4247,0.4453,0.5235,0.4165,0.4378
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8627561,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2057,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-561,- -
20,Income Before Tax,5172040,6714806,5216087,5590467,6268036,6359344,3717790,2665006,2801046,3706656,5131546,8113908,8183026,7845136,8353800,8776747,9474037,8627000,16283000
21,Income Before Tax Ratio,0.2963,0.3602,0.3111,0.2900,0.2846,0.2588,0.1375,0.0797,0.0813,0.1121,0.1721,0.2720,0.2664,0.2509,0.2535,0.2487,0.2512,0.2057,0.3545
22,Income Tax expense (Gain),1940879,2451643,1710592,1777616,2141483,2079745,1264417,1060205,958133,1911281,1340384,2303168,2067099,1920480,2435460,1569526,1679550,1577000,3509000
