,https://roic.ai/company/INQD,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,89200,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,64668,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,24532,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,0.2750,- -,- -,- -,- -,- -
5,Research and Development Exp.,12823,12823,36080,20518,1625,- -,- -,- -,- -
6,General and Administrative Exp.,168014,390746,1212635,1237804,1479585,1080321,621573,248115,5876196
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",168014,390746,1212635,1237804,1479585,1080321,621573,248115,5876196
9,Other Expenses,- -,39972,30882,47150,51507,12063,11147,- -,- -
10,Operating Expenses,180837,443541,1279597,1305472,1532717,1092384,632720,248115,5876196
11,COGS and Expenses,186952,57630,278035,1344265,3223678,1092384,632720,248115,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,678861,246034,293475,523283,41986
14,Depreciation and Amortization,6115,16715,46444,532016,51507,12063,11147,7305,25000
15,EBITDA,-180876,-180836,-426826,-734677,-2656357,-934791,-463942,-240810,-5851196
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-8.2363,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-186951,-443541,-1255065,-1253057,-3223678,-1092384,-632720,-248115,-5876196
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-14.0477,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),38,256628,811783,-13636,-1188372,-2219534,-2464101,-46032660,43353422
20,Income Before Tax,-186913,-186913,-443282,-1266693,-4412050,-3311918,-3096821,-46280775,37477226
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-14.2006,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-186913,-186913,-443282,-1266693,-4412050,-3311918,-3096821,-46280775,37477226
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-14.2006,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
25,EPS,-0.03,-0.05,-0.12,-0.16,-0.22,-0.12,-0.05,-0.17,0.14
26,EPS Diluted,-0.03,-0.05,-0.12,-0.16,-0.22,-0.12,-0.05,-0.17,0.14
27,Weighted Average Shares Outstanding,5705614,8235457,10202294,12742137,20234995,27869543,64323610,267167835,267167835
28,Weighted Average Shares Outstanding Diluted,5705614,8235457,10202294,12742137,20234995,27869543,64323610,267167835,267167835
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1572565/000164033417000737/0001640334-17-000737-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000138713118001621/0001387131-18-001621-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000149315219008562/0001493152-19-008562-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000149315220018652/0001493152-20-018652-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000149315221021478/0001493152-21-021478-index.htm,https://www.sec.gov/Archives/edgar/data/1572565/000149315222008379/0001493152-22-008379-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,122017,411669,100906,78219,35453,155682,12353,1207,233
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,122017,411669,100906,78219,35453,155682,12353,1207,233
34,Net Receivables,- -,- -,59200,34853,- -,- -,- -,1876,- -
35,Inventory,- -,- -,7001,2360,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,1697,7323,54452,30970,5331,- -,3
37,Total Current Assets,122017,411669,168804,122755,89905,186652,17684,3083,236
38,PP&E,36006,170454,193737,158418,24623,14250,4615,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,2000,2000,9318,7604,5892,4202,2690,- -,- -
41,Intangible Assets,2000,2000,9318,7604,5892,4202,2690,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,80683,61383,12600,12600,- -,- -,- -,- -
45,Total Non-Current Assets,38006,253137,264438,178622,43115,18452,7305,- -,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,160023,664806,433242,301377,133020,205104,24989,3083,236
48,Accounts Payable,- -,7185,40891,55797,89033,213218,399710,283357,- -
49,Short-Term Debt,- -,- -,- -,338959,676432,959098,901522,123200,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,19931,20155,- -,- -,- -,- -,- -
52,Other Current Liabilities,6181,- -,16063,15655,354356,1406659,3029848,44345966,144
53,Total Current Liabilities,6181,7185,76885,430566,1119821,2578975,4331080,44752523,144
54,Long-Term Debt,- -,- -,33262,20342,12823,4493,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
