,https://roic.ai/company/AUOTY,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,37551089323,75820802843,104755322158,167877046590,217951750075,293061530127,480209231676,423928193000,359331345000,467157964000,379711878000,378470935000,416363005000,408178750000,360346494000,329089036000,341028267000,307634389000,268791694000,270955381000,370685141000
2,COGS,40333257556,63716802389,81317120014,128289060614,188026400075,263215848215,394026417211,368600330000,352290469000,430859371000,407899195000,387145972000,382378938000,359668105000,320509439000,294598017000,279986522000,279494885000,268335751000,248190042000,279917384000
3,Gross Profit,-2782168233,12104000454,23438202144,39587985976,29925350000,29845681912,86182814465,55327863000,7040876000,36298593000,-28187317000,-8675037000,33984067000,48510645000,39837055000,34491019000,61041745000,28139504000,455943000,22765339000,90767757000
4,Gross Profit Ratio,-0.0741,0.1596,0.2237,0.2358,0.1373,0.1018,0.1795,0.1305,0.0196,0.0777,-0.0742,-0.0229,0.0816,0.1188,0.1106,0.1048,0.1790,0.0915,0.0017,0.0840,0.2449
5,Research and Development Exp.,1854231036,2237008780,3382954420,5004564014,4894932250,4762032686,5870824196,5335196000,6185485000,6423552000,8625812000,10170966000,8530461000,9156656000,8903819000,9080791000,9854712000,9546863000,9809587000,10286078000,13069676000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,7907578000,8094414000,10736924000,11208846000,9216436000,9691071000,9389601000,9205987000,9176683000,8158940000,7978267000,7363234000,6897103000,9526519000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,11492831000,8000028000,8641453000,9636557000,9802235000,7470014000,7798965000,4206101000,3895089000,3888969000,3946509000,3751070000,3499116000,5095946000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,19400409000,16094442000,19378377000,20845403000,19018671000,17161085000,17188566000,13412088000,13071772000,12047909000,11924776000,11114304000,10396219000,14622465000
9,Other Expenses,1647972265,2139687037,3826791466,6016006135,7997730655,10869563953,17033858094,654639000,- -,- -,- -,11805993000,-637386000,-452246000,-337526000,-631750000,-1801585000,-2716197000,-2734987000,- -,- -
10,Operating Expenses,3502203302,4376695816,7209745886,11020570148,12892662905,15631596638,22904682290,25390244000,22279927000,25801929000,29471215000,40995630000,25054160000,25892976000,21978381000,21520813000,20101036000,18755442000,18188904000,20682297000,27692141000
11,COGS and Expenses,43835460858,68093498206,88526865900,139309630763,200919062980,278847444854,416931099501,393990574000,374570396000,456661300000,437370410000,428141602000,407433098000,385561081000,342487820000,316118830000,300087558000,298250327000,286524655000,268872339000,307609525000
12,Interest Income ,82412599,280904358,160950776,174643417,225656870,1136042394,1693098465,1845712000,265975000,286798000,403538000,476117000,329360000,468390000,672638000,494542000,612210000,841615000,885520000,533052000,495332000
13,Interest Expense (Gain),1119685476,1233669611,818404138,795150528,1315071150,3401219169,6151131639,4203946000,3446588000,4233127000,4876254000,5731213000,4782832000,4045133000,2591023000,2707887000,2867861000,2663605000,3251370000,2943872000,2217565000
14,Depreciation and Amortization,8871469809,8895756855,16278235549,25273976954,34582589470,52202490509,81334822169,81188432000,90107611000,89135702000,88752433000,75586656000,63637747000,56902728000,47745849000,39693240000,36429836000,34227530000,36257719000,35397530000,33664600000
15,EBITDA,3253322147,16162678867,32654263974,54054229541,52039821915,65753797492,145994740631,111663289000,66762277000,101249380000,28159794000,27339587000,73583885000,80557710000,57963883000,54798801000,80782040000,50285155000,22078053000,41597970000,100160490000
16,EBITDA ratio,0.0866,0.2132,0.3117,0.3220,0.2388,0.2244,0.3040,0.2634,0.1858,0.2167,0.0742,0.0722,0.1767,0.1974,0.1609,0.1665,0.2369,0.1635,0.0821,0.1535,0.2702
17,Operating Income,-6284371534,7727304638,16228456258,28567415827,17032687095,14214085274,63278132174,30592000000,-15239000000,10496664000,- -,-37864674000,8293000000,22165000000,17521000000,12338000000,39139000000,6668000000,- -,- -,- -
18,Operating Income ratio,-0.1674,0.1019,0.1549,0.1702,0.0781,0.0485,0.1318,0.0722,-0.0424,0.0225,- -,-0.1000,0.0199,0.0543,0.0486,0.0375,0.1148,0.0217,- -,- -,- -
19,Total Other Income Expenses (Gains),-453461604,-1694087020,-670831970,-582313768,-896412215,-4015348098,-4711162827,-4321089000,-12028401000,-1900683000,-7993597000,-17405908000,-3056972000,-2184541000,-9922150000,-1152098000,224606000,4548151000,-2111793000,704629000,3331179000
20,Income Before Tax,-6737833138,6033217618,15557624288,27985102060,16136274880,10198737175,58566969347,26270911000,-27267401000,8595981000,-65652129000,-55270582000,5236028000,19980459000,7598850000,11185902000,39363606000,11216151000,-19844754000,2787671000,66406795000
21,Income Before Tax Ratio,-0.1794,0.0796,0.1485,0.1667,0.0740,0.0348,0.1220,0.0620,-0.0759,0.0184,-0.1729,-0.1460,0.0126,0.0490,0.0211,0.0340,0.1154,0.0365,-0.0738,0.0103,0.1791
22,Income Tax expense (Gain),-34300704,104348,-86587443,61267827,474662090,1068167902,2088019641,4629066000,-22587000,1187894000,-4205079000,636422000,1359164000,3243220000,384841000,2432545000,-1125157000,322374000,1336155000,-119756000,2947697000
23,Net Income,-6703532434,6033148052,15644211731,27923834233,15667499205,9081919914,56420767183,21641845000,-26769335000,6692657000,-61263814000,-54614704000,3804142000,16366629000,7242170000,9965129000,42609500000,13071646000,-18767191000,3376324000,61330628000
24,Net Income ratio,-0.1785,0.0796,0.1493,0.1663,0.0719,0.0310,0.1175,0.0511,-0.0745,0.0143,-0.1613,-0.1443,0.0091,0.0401,0.0201,0.0303,0.1249,0.0425,-0.0698,0.0125,0.1655
25,EPS,-17.90,12.50,29.02,48.59,24.41,12.78,66.75,24.27,-30.40,7.60,-69.40,-61.90,4.50,18.30,5.10,8.10,33.60,10.60,-19.60,3.60,64.56
