,https://roic.ai/company/OMF,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,1408989000,961632000,879698000,744305000,865099000,1423050000,2161290000,1477000000,2877000000,2969000000,3366000000,3814000000,3906000000,3926000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,479020000,420824000,386456000,414992000,380843000,528799000,435449000,581000000,955000000,941000000,1095000000,993000000,998000000,1015000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",479020000,420824000,386456000,414992000,380843000,528799000,431649000,581000000,955000000,941000000,1095000000,993000000,998000000,1015000000
9,Other Expenses,- -,- -,- -,- -,- -,1700201000,1426351000,1775000000,2464000000,2384000000,2513000000,- -,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,2229000000,1858000000,2356000000,3419000000,3325000000,3608000000,- -,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,2652347000,2121347000,1855582000,1871229000,1706292000,2154078000,1981778000,1931000000,3110000000,3196000000,3658000000,4127000000,4368000000,4364000000
13,Interest Expense (Gain),1276158000,1092692000,1113587000,1284773000,1068391000,919749000,734022000,715000000,856000000,816000000,875000000,970000000,1027000000,937000000
14,Depreciation and Amortization,142516000,136854000,157669000,274818000,166927000,-55148000,34666000,191000000,521000000,328000000,289000000,271000000,264000000,264000000
15,EBITDA,633205000,214659000,1625876000,1199453000,928462000,829115000,1570370000,517000000,1705000000,1575000000,1788000000,2339000000,2268000000,2942000000
16,EBITDA ratio,0.4494,0.2232,1.8482,1.6115,1.0732,0.5826,0.7266,0.3500,0.5926,0.5305,0.5312,0.6133,0.5806,0.7494
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,-785469000,-1014887000,354620000,-360138000,-306856000,77557000,904496000,-269000000,356000000,431000000,624000000,1098000000,977000000,1741000000
21,Income Before Tax Ratio,-0.5575,-1.0554,0.4031,-0.4839,-0.3547,0.0545,0.4185,-0.1821,0.1237,0.1452,0.1854,0.2879,0.2501,0.4435
22,Income Tax expense (Gain),400263000,-482606000,-285130000,-118405000,-88222000,-16185000,297046000,-147000000,113000000,248000000,177000000,243000000,247000000,427000000
23,Net Income,-1185732000,-532281000,639750000,-241733000,-218634000,-19301000,504636000,-242000000,215000000,183000000,447000000,855000000,730000000,1314000000
24,Net Income ratio,-0.8415,-0.5535,0.7272,-0.3248,-0.2527,-0.0136,0.2335,-0.1638,0.0747,0.0616,0.1328,0.2242,0.1869,0.3347
25,EPS,-10.62,-4.77,5.73,-2.17,-1.96,-0.31,4.40,-1.72,1.60,1.35,3.29,6.28,5.43,10.00
26,EPS Diluted,-10.62,-4.77,5.73,-2.17,-1.96,-0.31,4.38,-1.72,1.59,1.35,3.29,6.27,5.41,9.89
27,Weighted Average Shares Outstanding,111631667,111631667,111631667,111631667,111631667,102917172,114791225,127910680,134718588,135249314,135832278,136101156,134341724,131453207
28,Weighted Average Shares Outstanding Diluted,111631667,111631667,111631667,111631667,111631667,102917172,115265123,127910680,135135860,135678991,136000000,136300000,134900000,132900000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1584207/000110465914027655/a14-3050_110k.htm,https://www.sec.gov/Archives/edgar/data/1584207/000158420715000013/shi-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1584207/000158420716000065/0001584207-16-000065-index.html,https://www.sec.gov/Archives/edgar/data/1584207/000158420717000008/0001584207-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1584207/000158420718000009/0001584207-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1584207/000158420719000005/0001584207-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/25598/000158420720000011/0001584207-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1584207/000158420721000006/0001584207-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1584207/000158420722000005/0001584207-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1245354000,1290458000,689586000,1554348000,431409000,878826000,939000000,579000000,987000000,679000000,1227000000,2272000000,541000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,585000000,152000000,475000000
33,Cash and Short-Term Investments,- -,1245354000,1290458000,689586000,1554348000,431409000,878826000,939000000,579000000,987000000,679000000,1812000000,2424000000,1016000000
34,Net Receivables,- -,2033788000,742151000,89845000,60354000,29659000,190292000,36000000,56000000,15000000,13000000,289000000,299000000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,13397394000,11945925000,14839556000,2744457000,1831000000,1708000000,1682000000,1681000000,- -,- -,- -
37,Total Current Assets,- -,- -,- -,14176825000,13560627000,15300624000,3813575000,2806000000,2343000000,2684000000,2373000000,- -,- -,- -
38,PP&E,- -,81904000,70621000,85920000,69717000,76685000,91086000,179000000,167000000,144000000,133000000,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,1440000000,1422000000,1422000000,1422000000,1422000000,1422000000,1437000000
40,Intangible Assets,- -,- -,23875000,42683000,29215000,25377000,21287000,559000000,492000000,440000000,388000000,343000000,306000000,274000000
41,Intangible Assets,- -,- -,23875000,42683000,29215000,25377000,21287000,1999000000,1914000000,1862000000,1810000000,1765000000,1728000000,1711000000
42,Investments,- -,- -,- -,1189460000,1013956000,691632000,3038317000,1970000000,1827000000,1737000000,1723000000,1884000000,1922000000,1992000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,-691632000,4093599000,14102000000,11872000000,13006000000,14051000000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,1318063000,1112888000,102062000,7244289000,18250000000,15780000000,16749000000,17717000000,- -,- -,- -
46,Other Assets,- -,21709962000,17085979000,16812951000,15786403000,- -,- -,- -,- -,- -,- -,22817000000,22471000000,22079000000
47,Total Assets,- -,21709962000,17085979000,15494888000,14673515000,15402686000,11057864000,21056000000,18123000000,19433000000,20090000000,22817000000,22471000000,22079000000
48,Accounts Payable,- -,- -,- -,116570000,71052000,78011000,57343000,67000000,61000000,58000000,123000000,- -,- -,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,7932000,4891000,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,1008057000,368766000,1014000000,1037000000,1047000000,990000000,- -,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,1094000000,431000000,1081000000,1098000000,1105000000,1113000000,- -,- -,- -
54,Long-Term Debt,- -,17749319000,15174010000,9302136000,8831328000,12769036000,8384910000,17300000000,13959000000,15050000000,15178000000,17212000000,17800000000,17750000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,4809000,512074000,404965000,283762000,145520000,152156000,20000000,9000000,45000000,45000000,34000000,45000000,1000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,-145556000,-181066000,-20000000,-9000000,-45000000,-45000000,- -,- -,- -
58,Total Non-Current Liabilities,- -,17754128000,15686084000,9707101000,9115090000,12769000000,8356000000,17300000000,13959000000,15050000000,15178000000,17246000000,17845000000,17751000000
59,Other Liabilities,- -,38307181000,32015893000,23839085000,22588478000,- -,17145902000,34670000000,- -,- -,- -,35733000000,36875000000,36737000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,20553053000,16329809000,14131984000,13473388000,13516058000,9220902000,18451000000,15057000000,16155000000,16291000000,18487000000,19030000000,18986000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,- -
63,Common Stock,- -,- -,- -,1000000,1000000,1148000,1148000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,- -,1240119000,1021485000,986690000,1491326000,1250000000,1523000000,1706000000,2151000000,2596000000,1691000000,1727000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,28000000,3000000,-33000000,-6000000,11000000,-34000000,44000000,94000000,61000000
66,Other Total Stockholders Equity,- -,1156909000,756170000,121785000,177642000,524182000,529795000,1533000000,1548000000,1560000000,1681000000,1689000000,1642000000,- -
67,Total Stockholders Equity,- -,1156909000,756170000,1362904000,1200127000,1540020000,2025269000,2751000000,3066000000,3278000000,3799000000,4330000000,3441000000,3093000000
68,Total Liabilities And Stockholders Equity,- -,21709962000,17085979000,15494888000,14673515000,15056078000,11246171000,21202000000,18123000000,19433000000,20090000000,22817000000,22471000000,22079000000
69,Minority Interest,- -,- -,- -,- -,- -,346608000,-188307000,-146000000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,21709962000,17085979000,15494888000,14673515000,15402686000,11057864000,21056000000,18123000000,19433000000,20090000000,22817000000,22471000000,22079000000
71,SEC Link,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1584207/000110465914027655/a14-3050_110k.htm,https://www.sec.gov/Archives/edgar/data/1584207/000158420715000013/shi-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1584207/000158420716000065/0001584207-16-000065-index.html,https://www.sec.gov/Archives/edgar/data/1584207/000158420717000008/0001584207-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1584207/000158420718000009/0001584207-18-000009-index.html,https://www.sec.gov/Archives/edgar/data/1584207/000158420719000005/0001584207-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/25598/000158420720000011/0001584207-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1584207/000158420721000006/0001584207-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1584207/000158420722000005/0001584207-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , 
73,Net Income,-1185732000,-532281000,639750000,-241733000,-218634000,-19301000,504636000,-242000000,215000000,183000000,447000000,855000000,730000000,1314000000
74,Depreciation and Amortization,142516000,136854000,157669000,274818000,166927000,-55148000,34666000,191000000,521000000,328000000,289000000,271000000,264000000,264000000
75,Deferred Income Tax,400496000,-662000,-5473000,-132422000,-158004000,-118839000,20114000,-212000000,-97000000,30000000,23000000,1000000,-42000000,78000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,145988000,5742000,30000000,22000000,17000000,131000000,13000000,17000000,23000000
77,Change in Working Capital,-147208000,- -,- -,- -,- -,14206624000,-10824049000,-1657575000,-480000000,334000000,-319000000,67000000,-118000000,-48000000
78,Accounts Receivable,- -,- -,- -,-20309000,7486000,-42315000,-35842000,-14000000,- -,-37000000,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
