,https://roic.ai/company/YRIV,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,64383943,67289629,178264543,118466835,- -,- -,- -,- -
2,COGS,- -,44119844,92929787,151381746,100506892,- -,- -,- -,- -
3,Gross Profit,- -,20264099,-25640158,26882797,17959943,- -,- -,- -,- -
4,Gross Profit Ratio,- -,0.3147,-0.3810,0.1508,0.1516,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,3762248,8042783,10410574,7327835,4547646,5446175,5076347,3755251
7,Selling and Marketing Exp.,- -,2797751,4244856,5347627,4151222,11577,2348,- -,- -
8,"Selling, General and Administrative Exp.",- -,6559999,12287639,15758201,11479057,4559223,5448523,5076347,3755251
9,Other Expenses,- -,- -,-443049,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,6559999,11844590,15758201,11479057,4559223,5448523,5076347,3755251
11,COGS and Expenses,- -,50679843,104774377,167139947,111985949,4559223,5448523,5076347,3755251
12,Interest Income ,- -,- -,- -,169145,- -,55,229,296,495
13,Interest Expense (Gain),- -,2504857,6084786,7725290,4682418,3199031,8424794,8221483,11058486
14,Depreciation and Amortization,- -,79580,100982,693705,294261,79064,62536,31357,8241
15,EBITDA,- -,20426135,-37383766,12210503,7416117,-4480159,-5385987,-5044990,-3747010
16,EBITDA ratio,- -,0.3173,-0.5556,0.0685,0.0626,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,- -,13704100,-37927797,11124596,6480886,-4559223,-5448523,-5076347,-3755251
18,Operating Income ratio,- -,0.2128,-0.5636,0.0624,0.0547,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,4137598,-5641737,-7556145,-4178206,8485759,-8421152,-8213903,-11069259
20,Income Before Tax,- -,17841698,-43569534,3568451,2302680,3926536,-13869675,-13290250,-14824510
21,Income Before Tax Ratio,- -,0.2771,-0.6475,0.0200,0.0194,Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,7690563,-14123173,3796248,3135165,-1378700,-1143595,-1040873,-1108025
23,Net Income,- -,10151135,-29446361,-4740,-695727,5305236,-12726080,-12249377,-13716485
24,Net Income ratio,- -,0.1577,-0.4376,-0.0000,-0.0059,Infinity,-Infinity,-Infinity,-Infinity
25,EPS,- -,0.51,-1.43,-0.00,-0.04,0.03,-0.07,-0.06,-0.08
26,EPS Diluted,- -,0.51,-1.43,-0.00,-0.04,0.03,-0.07,-0.06,-0.08
27,Weighted Average Shares Outstanding,- -,20013113,20564620,20596546,20596546,151682554,177459678,188465024,172423743
28,Weighted Average Shares Outstanding Diluted,- -,20013113,20564620,20596546,20596546,151682554,177459678,193745496,172423743
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1487843/000121390013001887/0001213900-13-001887-index.htm,https://www.sec.gov/Archives/edgar/data/1487843/000121390014002480/0001213900-14-002480-index.htm,https://www.sec.gov/Archives/edgar/data/1487843/000121390015002736/0001213900-15-002736-index.htm,https://www.sec.gov/Archives/edgar/data/1487843/000121390016010526/0001213900-16-010526-index.html,https://www.sec.gov/Archives/edgar/data/1487843/000121390017002140/0001213900-17-002140-index.html,https://www.sec.gov/Archives/edgar/data/1487843/000121390018002769/0001213900-18-002769-index.html,https://www.sec.gov/Archives/edgar/data/1487843/000121390019003416/0001213900-19-003416-index.html
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,10602165,24098688,23407551,22004479,512569,63092,58414,120796
32,Short-Term Investments,- -,- -,- -,- -,487527,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,10602165,24098688,23407551,22492006,512569,63092,58414,120796
34,Net Receivables,- -,14343206,22262060,52345805,60003702,2711855,2534960,2705935,2559358
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,8169188,20225708,41634359,50613118,3548010,1616792,1742482,1614027
37,Total Current Assets,- -,33114559,66586456,117387715,133108826,6772434,4214844,4506831,4294181
38,PP&E,- -,255878,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
