,https://roic.ai/company/CDR-PC,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2300000,2100000,1800000,2200000,2300000,2400000,2487157,2217026,2467858,2565025,2515287,3215781,5098765,12989000,26506000,51144000,78941000,126492000,152922000,174480000,181711000,157164000,135413000,140583000,138824000,148184000,149207000,151086000,146008000,152020000,144083000,135538000,127550000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49511000,55455000,51307000,44236000,40551000,41955000,44786000,44590000,44515000,44329000,47894000,48347000,45596000,46446000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124969000,126256000,105857000,91177000,100032000,96869000,103398000,104617000,106571000,101679000,104126000,95736000,89942000,81104000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7162,0.6948,0.6735,0.6733,0.7116,0.6978,0.6978,0.7012,0.7054,0.6964,0.6849,0.6645,0.6636,0.6359
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,100000,300000,400000,200000,200000,120013,106093,119328,126520,124358,97872,163404,2005000,3161000,3575000,5132000,6086000,9041000,- -,- -,- -,- -,14277000,13980000,14356000,15004000,18154000,16907000,16915000,20304000,16865000,18033000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,100000,300000,400000,200000,200000,120013,106093,119328,126520,124358,97872,163404,2005000,3161000,3575000,5132000,6086000,9041000,9441000,10166000,9537000,17615000,14277000,13980000,14356000,15004000,18154000,16907000,16915000,18804000,16865000,18033000
9,Other Expenses,-1500000,-1300000,-1400000,-1600000,-1600000,-1600000,1737619,1687526,1984481,2298804,2138669,2211395,3144417,- -,- -,- -,- -,- -,- -,49802000,54257000,42278000,43250000,44540000,44405000,38700000,38594000,40787000,40115000,40053000,73454000,48412000,39454000
10,Operating Expenses,-1500000,-1200000,-1100000,-1200000,-1400000,-1400000,1857632,1793619,2103809,2425324,2263027,2309267,3307821,- -,- -,- -,- -,- -,- -,59243000,64423000,51815000,60865000,58817000,58385000,53056000,53598000,58941000,57022000,56968000,92258000,65277000,57487000
11,COGS and Expenses,-1500000,-1200000,-1100000,-1200000,-1400000,-1400000,1857632,1793619,2103809,2425324,2263027,2309267,3307821,8391000,48435000,31599000,48001000,76189000,91725000,108754000,119878000,103122000,105101000,99368000,100340000,97842000,98188000,103456000,101351000,104862000,140605000,110873000,103933000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,284000,63000,38000,349000,191000,4000,- -,- -,- -,- -,- -,- -,- -,- -
