,https://roic.ai/company/NCLH,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,1338286000,1616154000,1976309000,2172815000,2106401000,1855204000,2012128000,2219324000,2276246000,2570294000,3125881000,4345048000,4874340000,5396175000,6055126000,6462376000,1279908000,647986000
2,COGS,981537000,1210505000,1567382000,1692940000,1578481000,1289454000,1347298000,1467876000,1478433000,1657659000,1946624000,2655449000,2850225000,3063644000,3377076000,3663261000,1693061000,1608037000
3,Gross Profit,356749000,405649000,408927000,479875000,527920000,565750000,664830000,751448000,797813000,912635000,1179257000,1689599000,2024115000,2332531000,2678050000,2799115000,-413153000,-960051000
4,Gross Profit Ratio,0.2666,0.2510,0.2069,0.2209,0.2506,0.3050,0.3304,0.3386,0.3505,0.3551,0.3773,0.3889,0.4153,0.4323,0.4423,0.4331,-0.3228,-1.4816
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,745345000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,251351000,251183000,301155000,403169000,554999000,666156000,773755000,897929000,974850000,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,251351000,251183000,301155000,403169000,554999000,666156000,773755000,897929000,974850000,745345000,891452000
9,Other Expenses,291957000,332386000,368347000,435096000,462392000,394376000,434589000,183985000,189537000,215593000,273147000,432114000,432495000,509957000,561060000,646188000,717840000,700845000
10,Operating Expenses,291957000,332386000,368347000,435096000,462392000,394376000,434589000,435336000,440720000,516748000,676316000,987113000,1098651000,1283712000,1458989000,1621038000,1463185000,1592297000
11,COGS and Expenses,1273494000,1542891000,1935729000,2128036000,2040873000,1683830000,1781887000,1903212000,1919153000,2174407000,2622940000,3642562000,3948876000,4347356000,4836065000,5284299000,3156246000,3200334000
12,Interest Income ,1434000,4803000,3392000,1384000,2796000,836000,100000,38000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),48886000,87006000,136478000,175409000,152364000,115350000,173772000,190225000,189930000,282602000,151754000,221909000,276859000,267804000,270404000,272867000,412313000,2072925000
14,Depreciation and Amortization,87397000,104181000,119097000,148003000,162565000,169701000,191913000,211049000,216137000,245111000,304877000,450335000,445635000,521484000,566972000,647102000,739619000,758604000
15,EBITDA,127575000,210343000,124676000,96450000,103126000,352284000,388302000,526851000,574623000,641229000,792716000,1106153000,1362797000,1559902000,1806686000,1831334000,-2848115000,-1669791000
16,EBITDA ratio,0.0953,0.1302,0.0631,0.0444,0.0490,0.1899,0.1930,0.2374,0.2524,0.2495,0.2536,0.2546,0.2796,0.2891,0.2984,0.2834,-2.2252,-2.5769
17,Operating Income,50292000,73263000,32580000,42214000,-63247000,171374000,230241000,316112000,357093000,395887000,502941000,702486000,925464000,1048819000,1219061000,1178077000,-3484135000,-2552348000
18,Operating Income ratio,0.0376,0.0453,0.0165,0.0194,-0.0300,0.0924,0.1144,0.1424,0.1569,0.1540,0.1609,0.1617,0.1899,0.1944,0.2013,0.1823,-2.7222,-3.9389
19,Total Other Income Expenses (Gains),-26048000,28096000,-38393000,-97716000,-127763000,10373000,-33952000,-189253000,-188537000,-281199000,-162607000,-268577000,-285161000,-278205000,-249751000,-266712000,-515912000,-1948972000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,126859000,168556000,114688000,340334000,433909000,640303000,770614000,969310000,911365000,-4000047000,-4501320000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,0.0572,0.0740,0.0446,0.1089,0.0999,0.1314,0.1428,0.1601,0.1410,-3.1253,-6.9466
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,11802000,-2267000,6772000,7218000,10742000,14467000,-18863000,12467000,5267000
