,https://roic.ai/company/CNTY,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3200000,4200000,11500000,19700000,19500000,23600000,29337000,29576000,29337000,36059000,40055000,37445000,56285000,91654000,53042000,49738000,60692000,70866000,71828000,104588000,120048000,134431000,139234000,154069000,168938000,218227000,304268000,388506000
2,COGS,1800000,1800000,4900000,10800000,8100000,9400000,11291000,11269000,11217000,14220000,16894000,17069000,28049000,45352000,27393000,25692000,33528000,39459000,40269000,59817000,70624000,67192000,70414000,79983000,89909000,113137000,149650000,199737000
3,Gross Profit,1400000,2400000,6600000,8900000,11400000,14200000,18046000,18307000,18120000,21839000,23161000,20376000,28236000,46302000,25649000,24046000,27164000,31407000,31559000,44771000,49424000,67239000,68820000,74086000,79029000,105090000,154618000,188769000
4,Gross Profit Ratio,0.4375,0.5714,0.5739,0.4518,0.5846,0.6017,0.6151,0.6190,0.6177,0.6056,0.5782,0.5442,0.5017,0.5052,0.4836,0.4835,0.4476,0.4432,0.4394,0.4281,0.4117,0.5002,0.4943,0.4809,0.4678,0.4816,0.5082,0.4859
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,3700000,3800000,4300000,5200000,5900000,6700000,8004000,7530000,7380000,7745000,9103000,- -,- -,- -,- -,17652000,20493000,21582000,21452000,32554000,38932000,42747000,44306000,50526000,60194000,82980000,99547000,93489000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3700000,3800000,4300000,5200000,5900000,6700000,8004000,7530000,7380000,7745000,9103000,- -,- -,27176000,- -,17652000,20493000,21582000,21452000,32554000,38932000,42747000,44306000,50526000,60194000,82980000,99547000,93489000
9,Other Expenses,900000,1300000,2000000,2900000,3100000,3500000,3841000,-12586000,3449000,7290000,7050000,14531000,24986000,8099000,34906000,6138000,6125000,5555000,4757000,6599000,7835000,7999000,8349000,8945000,9399000,10843000,26534000,26762000
10,Operating Expenses,4600000,5100000,6300000,8100000,9000000,10200000,11845000,-5056000,10829000,15035000,16153000,14531000,24986000,35275000,34906000,23790000,26618000,27137000,26209000,39153000,46767000,50746000,52655000,59471000,69593000,93823000,126081000,120251000
11,COGS and Expenses,6400000,6900000,11200000,18900000,17100000,19600000,23136000,6213000,22046000,29255000,33047000,31600000,53035000,80627000,62299000,49482000,60146000,66596000,66478000,98970000,117391000,117938000,123069000,139454000,159502000,206960000,275731000,319988000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,476000,896000,975000,31000,50000,50000,38000,37000,73000,81000,38000,72000,92000,103000,21000,6000,174000
13,Interest Expense (Gain),- -,- -,- -,- -,1000000,- -,- -,- -,- -,2011000,1587000,2109000,3406000,7026000,4130000,3773000,1174000,802000,670000,983000,2837000,3315000,3160000,3661000,4217000,8250000,43104000,42832000
14,Depreciation and Amortization,900000,1300000,2000000,2900000,3100000,3500000,3841000,4645000,2398000,2781000,3068000,3797000,5320000,9989000,9082000,6138000,6125000,6144000,4757000,6599000,7835000,7999000,8349000,8945000,9399000,16747000,30195000,26762000
15,EBITDA,-2200000,2200000,700000,2400000,6100000,7400000,9636000,8894000,7931000,9815000,10142000,10734000,16627000,22615000,3799000,21619000,8591000,10634000,10546000,15057000,13411000,25056000,22511000,23425000,18927000,10016000,30145000,96587000
16,EBITDA ratio,-0.6875,0.5238,0.0609,0.1218,0.3128,0.3136,0.3285,0.3007,0.2703,0.2722,0.2532,0.2867,0.2954,0.2467,0.0716,0.4347,0.1416,0.1501,0.1468,0.1440,0.1117,0.1864,0.1617,0.1520,0.1120,0.0459,0.0991,0.2486
17,Operating Income,-3200000,-2700000,300000,800000,2400000,4000000,6201000,23363000,7291000,6804000,7008000,5845000,3250000,11027000,-9257000,-8370000,1067000,4265000,5776000,5483000,2657000,16493000,16165000,14615000,9459000,-5220000,-127000,68518000
18,Operating Income ratio,-1.0000,-0.6429,0.0261,0.0406,0.1231,0.1695,0.2114,0.7899,0.2485,0.1887,0.1750,0.1561,0.0577,0.1203,-0.1745,-0.1683,0.0176,0.0602,0.0804,0.0524,0.0221,0.1227,0.1161,0.0949,0.0560,-0.0239,-0.0004,0.1764
19,Total Other Income Expenses (Gains),100000,3600000,-1500000,-1100000,-400000,-100000,-406000,-19146000,-1758000,-1781000,-1423000,-1805000,3190000,-5173000,-4540000,-3708000,225000,-577000,-657000,1886000,-2239000,-1151000,-565000,-2164000,-3536000,-6747000,-43161000,-40369000
20,Income Before Tax,- -,900000,- -,-300000,2000000,3900000,5795000,4217000,5533000,5023000,5585000,4040000,6440000,5854000,-13797000,-12078000,1292000,3688000,5119000,7369000,418000,15342000,15600000,12451000,5923000,-11967000,-43288000,28149000
21,Income Before Tax Ratio,- -,0.2143,- -,-0.0152,0.1026,0.1653,0.1975,0.1426,0.1886,0.1393,0.1394,0.1079,0.1144,0.0639,-0.2601,-0.2428,0.0213,0.0520,0.0713,0.0705,0.0035,0.1141,0.1120,0.0808,0.0351,-0.0548,-0.1423,0.0725
22,Income Tax expense (Gain),- -,300000,- -,100000,100000,1700000,2542000,1794000,2454000,1777000,749000,347000,134000,273000,4060000,825000,270000,667000,1028000,1294000,1507000,1835000,1787000,4560000,1917000,4174000,4848000,6371000
23,Net Income,-3100000,600000,-1300000,-600000,1900000,2200000,3253000,2455000,3079000,3246000,4738000,4481000,7767000,5327000,-13473000,10883000,1022000,3021000,4091000,6181000,1232000,11907000,9215000,6259000,3394000,-19155000,-48002000,20622000
24,Net Income ratio,-0.9688,0.1429,-0.1130,-0.0305,0.0974,0.0932,0.1109,0.0830,0.1050,0.0900,0.1183,0.1197,0.1380,0.0581,-0.2540,0.2188,0.0168,0.0426,0.0570,0.0591,0.0103,0.0886,0.0662,0.0406,0.0201,-0.0878,-0.1578,0.0531
25,EPS,-0.38,0.06,-0.09,-0.03,0.13,0.15,0.23,0.18,0.23,0.24,0.35,0.28,0.33,0.21,-0.57,0.46,0.04,0.13,0.17,0.26,0.05,0.49,0.38,0.25,0.12,-0.65,-1.62,1.17
26,EPS Diluted,-0.38,0.06,-0.09,-0.03,0.13,0.15,0.22,0.16,0.20,0.22,0.30,0.25,0.32,0.21,-0.57,0.46,0.04,0.13,0.17,0.26,0.05,0.49,0.37,0.24,0.11,-0.65,-1.62,1.10
27,Weighted Average Shares Outstanding,8157895,10000000,13902150,15861885,14615385,14666667,14143478,13638889,13386957,13525000,13537143,16003571,23118182,23490476,23455351,23575709,23795358,23891874,24004000,24052000,24381000,24429000,24435000,25068000,29401000,29452000,29559000,29598000
28,Weighted Average Shares Outstanding Diluted,8157895,10000000,13902150,15861885,14615385,14666667,14786364,15343750,15395000,14754545,15793333,17924000,23840625,23490476,23455351,23575709,23795358,24070634,24105000,24213000,24419000,24469000,24668000,25559000,29962000,29452000,29559000,31242000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/911147/000091114712000003/0000911147-12-000003-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114713000004/0000911147-13-000004-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114714000005/0000911147-14-000005-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114715000008/0000911147-15-000008-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114716000101/0000911147-16-000101-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114717000006/0000911147-17-000006-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114718000007/0000911147-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114719000008/0000911147-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114720000011/0000911147-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114721000010/0000911147-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/911147/000091114722000008/0000911147-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1000000,2000000,4600000,4200000,2200000,2500000,9077000,3365000,5073000,4729000,8411000,37167000,34969000,17850000,7835000,36992000,21461000,25192000,24747000,27348000,24741000,29366000,38837000,74677000,45575000,54754000,63413000,107821000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1000000,2000000,4600000,4200000,2200000,2500000,9077000,3365000,5073000,4729000,8411000,37167000,34969000,17850000,7835000,36992000,21461000,25192000,24747000,27348000,24741000,29366000,38837000,74677000,45575000,54754000,63413000,107821000
34,Net Receivables,- -,- -,- -,- -,- -,700000,875000,433000,133000,269000,193000,293000,934000,798000,426000,752000,1088000,1108000,700000,1400000,1569000,3279000,4706000,6281000,6035000,11371000,8237000,9414000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,131000,215000,209000,445000,442000,170000,235000,305000,273000,311000,498000,636000,529000,568000,740000,898000,2046000,1660000,1443000
36,Other Current Assets,300000,1400000,700000,600000,1800000,400000,936000,591000,592000,1178000,1356000,2464000,4819000,2019000,37259000,1648000,613000,713000,777000,3114000,3217000,1366000,1837000,2623000,2466000,11195000,21312000,22002000
37,Total Current Assets,1300000,3400000,5300000,4800000,4000000,3600000,10888000,4389000,5798000,6307000,10175000,40133000,41167000,21109000,45690000,39627000,23467000,27286000,26535000,32360000,30163000,34540000,45948000,84321000,54974000,79366000,94622000,140680000
38,PP&E,3900000,4900000,12600000,14600000,18300000,19500000,33268000,29338000,33965000,36796000,48629000,69602000,124638000,131877000,88558000,88241000,103956000,99605000,99526000,132639000,134627000,131582000,140763000,152778000,187017000,540973000,527593000,509107000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12262000,15217000,4014000,4697000,4942000,4833000,4941000,13279000,11629000,10173000,13387000,15162000,13993000,32936000,10901000,10347000
40,Intangible Assets,7100000,6100000,13900000,12600000,11300000,9900000,9414000,7709000,7899000,8088000,11002000,10507000,9341000,10780000,- -,- -,- -,- -,- -,7365000,5857000,4682000,13698000,16924000,16358000,67061000,52758000,48930000
