,https://roic.ai/company/VTRU,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,383449000,461067000,519179000,631100000
2,COGS,- -,184161000,211547000,221452000,240900000
3,Gross Profit,- -,199288000,249520000,297727000,390200000
4,Gross Profit Ratio,- -,0.5197,0.5412,0.5735,0.6183
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,90667000,125344000,73852000,89300000
7,Selling and Marketing Exp.,- -,70646000,100949000,86604000,111500000
8,"Selling, General and Administrative Exp.",- -,161313000,226293000,160456000,200800000
9,Other Expenses,- -,-332000,-437000,-743000,-100000
10,Operating Expenses,- -,160981000,225856000,159713000,200700000
11,COGS and Expenses,- -,345142000,437403000,381165000,441600000
12,Interest Income ,- -,8887000,8265000,15715000,45500000
13,Interest Expense (Gain),- -,62517000,56651000,56270000,74900000
14,Depreciation and Amortization,- -,56284000,62445000,51474000,54500000
15,EBITDA,- -,68586000,42044000,140827000,178800000
16,EBITDA ratio,- -,0.1789,0.0912,0.2712,0.2833
17,Operating Income,- -,-7644000,-35856000,60943000,78800000
18,Operating Income ratio,- -,-0.0199,-0.0778,0.1174,0.1249
19,Total Other Income Expenses (Gains),- -,-42571000,-41196000,-27860000,-29400000
20,Income Before Tax,- -,-50215000,-77052000,33083000,49400000
21,Income Before Tax Ratio,- -,-0.1310,-0.1671,0.0637,0.0783
22,Income Tax expense (Gain),- -,-5011000,-10892000,-19031000,-21300000
23,Net Income,- -,-45204000,-66160000,52114000,70700000
24,Net Income ratio,- -,-0.1179,-0.1435,0.1004,0.1120
25,EPS,- -,-1.96,-2.87,2.79,3.79
26,EPS Diluted,- -,-1.96,-2.87,2.68,3.64
27,Weighted Average Shares Outstanding,- -,23058053,23058053,18673835,18673835
28,Weighted Average Shares Outstanding Diluted,- -,23058053,23058053,19440299,19440299
29,SEC Link,undefined,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,2311000,2375000,2457000,85930000,75600000
32,Short-Term Investments,145592000,164822000,72321000,515201000,253000000
33,Cash and Short-Term Investments,147903000,167197000,74778000,601131000,328600000
34,Net Receivables,63372000,76792000,92841000,117355000,148300000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,7475000,8405000,47229000,13304000,37900000
37,Total Current Assets,218750000,252394000,214848000,731790000,514800000
38,PP&E,101864000,138250000,158567000,224590000,242900000
39,Goodwill,372268000,338731000,304815000,304815000,- -
40,Intangible Assets,424676000,396529000,353355000,356135000,- -
41,Intangible Assets,796944000,735260000,658170000,660950000,670200000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,26678000,29924000,37146000,50775000,83400000
44,Other Non-Current Assets,23433000,23142000,19946000,19740000,16100000
45,Total Non-Current Assets,948919000,926576000,873829000,956055000,1012600000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,1167669000,1178970000,1088677000,1687845000,1527400000
48,Accounts Payable,16125000,17051000,29978000,32240000,41700000
49,Short-Term Debt,10875000,15397000,17265000,175122000,27200000
50,Tax Payable,819000,1720000,1657000,2404000,3300000
51,Deferred Revenue,3134000,1194000,3186000,9657000,10300000
52,Other Current Liabilities,134460000,141390000,170962000,165541000,180200000
53,Total Current Liabilities,164594000,175032000,221391000,382560000,259400000
54,Long-Term Debt,50764000,73342000,85923000,125988000,134300000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,56108000,43441000,24958000,- -,- -
57,Other Non-Current Liabilities,444637000,367762000,305072000,201349000,67600000
58,Total Non-Current Liabilities,551509000,484545000,415953000,327337000,201900000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,61639000,88739000,103188000,149353000,161500000
61,Total Liabilities,716103000,659577000,637344000,709897000,461300000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,434000000,546509000,548380000,6000,- -
64,Retained Earnings,15639000,-30068000,-96228000,-44114000,26500000
65,Other Comprehensive Income/Loss,1927000,2952000,-819000,1022056000,1039600000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -
67,Total Stockholders Equity,451566000,519393000,451333000,977948000,1066100000
68,Total Liabilities And Stockholders Equity,1167669000,1178970000,1088677000,1687845000,1527400000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1167669000,1178970000,1088677000,1687845000,1527400000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,-45204000,-66160000,52114000,70700000
74,Depreciation and Amortization,- -,56284000,62445000,51474000,54500000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,7450000,26372000,11823000,14700000
77,Change in Working Capital,- -,-58127000,-92665000,-64535000,-102700000
78,Accounts Receivable,- -,-54831000,-101302000,-79548000,-117100000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,- -,926000,13906000,1283000,9500000
81,Other Working Capital,- -,801000,3427000,7306000,- -
82,Other Non-Cash Items,- -,89747000,126057000,25037000,27800000
83,Cash Provided by Operating Activities,- -,50150000,56049000,75913000,65000000
84,CAPEX,- -,-34960000,-44736000,-56463000,-58300000
85,Acquisitions Net,- -,-117247000,-107988000,-117248000,-127800000
86,Purchases of Investments,- -,-6595000,- -,-436584000,- -
87,Sales/Maturities of Investments,- -,- -,103227000,- -,286100000
88,Other Investing Activites,- -,-11769000,-16266000,-30919000,-32300000
89,Cash Used for Investing Activites,- -,-158802000,-49497000,-610295000,100000000
90,Debt Repayment,- -,-3793000,-6103000,-6121000,-161200000
91,Common Stock Issued,- -,- -,1871000,473976000,- -
92,Common Stock Repurchased,- -,- -,-2238000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,112509000,- -,150000000,-14200000
95,Cash Used/Provided by Financing Activities,- -,108716000,-6470000,617855000,-175400000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,64000,82000,83473000,-10300000
98,Cash at the End of Period,- -,2375000,2457000,85930000,75600000
99,Cash at the Beginning of Period,- -,2311000,2375000,2457000,85900000
100,Free Cash Flow,- -,15190000,11313000,19450000,6700000
101,SEC Link,undefined,- -,- -,- -,- -
102,Forex Rate,undefined,0.2576,0.2488,0.1925,0.1795
