,https://roic.ai/company/CRON,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,-195611,- -,- -,412323,3246123,11529115,23750000,46719000,89486000
2,COGS,- -,- -,32165,144982,-1070432,-2503380,3256169,41347000,72552000,80008000
3,Gross Profit,- -,-195611,-32165,-144982,1482754,5749503,8272946,-17597000,-25833000,9478000
4,Gross Profit Ratio,- -,1.0000,-Infinity,-Infinity,3.5961,1.7712,0.7176,-0.7409,-0.5529,0.1059
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,1725366,12155000,20366000,23331000
6,General and Administrative Exp.,- -,- -,2016987,1467665,2783777,6995626,15901999,60890000,95890000,96482000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,3018289,23048000,34386000,44937000
8,"Selling, General and Administrative Exp.",- -,- -,2016987,1467665,2783777,6995626,18920288,83938000,130276000,141419000
9,Other Expenses,- -,423864,207538,81662,284760,430219,922153,2090000,2872000,378310000
10,Operating Expenses,- -,423864,2224525,1549327,3068537,7425845,21567807,98183000,153514000,543060000
11,COGS and Expenses,- -,423864,2256690,1694309,1998105,4922465,24823976,139530000,226066000,623068000
12,Interest Income ,- -,- -,51245,29970,4923,- -,- -,29213000,18601000,- -
13,Interest Expense (Gain),- -,- -,- -,325170,177275,100199,- -,1244000,186000,- -
14,Depreciation and Amortization,- -,- -,28108,81662,284760,792048,1842838,3913000,7045000,- -
15,EBITDA,- -,-619475,-2228581,-4010177,-845956,3110139,-11725880,1171663000,-64559000,-397635000
16,EBITDA ratio,- -,3.1669,-Infinity,-Infinity,-2.0517,0.9581,-1.0171,49.3332,-1.3819,-4.4435
17,Operating Income,- -,- -,-3076485,540336,-1225146,-1676342,-13294861,-121108000,-179347000,-560594000
18,Operating Income ratio,- -,- -,-Infinity,Infinity,-2.9713,-0.5164,-1.1532,-5.0993,-3.8388,-6.2646
19,Total Other Income Expenses (Gains),- -,- -,-1074049,-385283,-82845,3894235,-446393,1287045000,106074000,163459000
