,https://roic.ai/company/IAA,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,994300000,1098000000,1219200000,1326800000,1436800000,1384900000,- -
2,COGS,634400000,708300000,778100000,821200000,888200000,846900000,- -
3,Gross Profit,359900000,389700000,441100000,505600000,548600000,538000000,- -
4,Gross Profit Ratio,0.3620,0.3549,0.3618,0.3811,0.3818,0.3885,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,123800000,142400000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,123800000,142400000,- -,- -
9,Other Expenses,180900000,198400000,206400000,97400000,88400000,226000000,- -
10,Operating Expenses,180900000,198400000,206400000,221200000,230800000,226000000,- -
11,COGS and Expenses,815300000,906700000,984500000,1042400000,1119000000,1072900000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),38600000,38600000,38600000,-38900000,55700000,56000000,- -
14,Depreciation and Amortization,80800000,87900000,93100000,97400000,88400000,81100000,- -
15,EBITDA,261800000,279800000,328700000,304700000,406300000,394100000,- -
16,EBITDA ratio,0.2633,0.2548,0.2696,0.2297,0.2828,0.2846,- -
17,Operating Income,179000000,191300000,234700000,284400000,317800000,312000000,- -
18,Operating Income ratio,0.1800,0.1742,0.1925,0.2144,0.2212,0.2253,- -
19,Total Other Income Expenses (Gains),-36600000,-38000000,-37700000,-38200000,-55600000,-55000000,- -
20,Income Before Tax,142400000,153300000,197000000,246200000,262200000,257000000,- -
21,Income Before Tax Ratio,0.1432,0.1396,0.1616,0.1856,0.1825,0.1856,- -
22,Income Tax expense (Gain),52500000,58400000,35600000,62500000,69000000,62200000,- -
23,Net Income,89900000,94900000,161400000,183700000,193200000,194800000,- -
24,Net Income ratio,0.0904,0.0864,0.1324,0.1385,0.1345,0.1407,- -
25,EPS,0.67,0.71,1.21,1.38,1.45,1.45,- -
26,EPS Diluted,0.67,0.71,1.21,1.38,1.44,1.44,- -
27,Weighted Average Shares Outstanding,133429768,133429768,133429768,133429768,133241379,134344828,- -
28,Weighted Average Shares Outstanding Diluted,133429768,133429768,133429768,133429768,134166667,135277778,- -
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1745041/000174504120000003/0001745041-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1745041/000174504121000004/0001745041-21-000004-index.htm,undefined
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,41800000,33100000,60000000,47100000,232800000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,41800000,33100000,60000000,47100000,232800000,- -
34,Net Receivables,- -,254700000,302900000,311000000,335900000,374800000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,68800000,78800000,82500000,77000000,84400000,- -
37,Total Current Assets,- -,365300000,414800000,453500000,460000000,692000000,- -
38,PP&E,- -,240300000,290000000,345200000,982800000,1126600000,- -
39,Goodwill,- -,530300000,533600000,530200000,541300000,542300000,- -
40,Intangible Assets,- -,210800000,187400000,160900000,151700000,150600000,- -
41,Intangible Assets,- -,741100000,721000000,691100000,693000000,692900000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,63100000,63700000,- -,- -
44,Other Non-Current Assets,- -,6100000,8600000,-52700000,-48300000,17400000,- -
45,Total Non-Current Assets,- -,987500000,1019600000,1046700000,1691200000,1836900000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1352800000,1434400000,1500200000,2151200000,2528900000,- -
48,Accounts Payable,- -,86900000,114300000,68600000,62800000,122600000,- -
49,Short-Term Debt,- -,456600000,456600000,456600000,68600000,82100000,- -
50,Tax Payable,- -,600000,400000,2200000,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,63000000,- -,- -
52,Other Current Liabilities,- -,59200000,65500000,145800000,49300000,77800000,- -
53,Total Current Liabilities,- -,602700000,636400000,671000000,243700000,282500000,- -
54,Long-Term Debt,- -,- -,- -,- -,1267300000,2084600000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,88100000,67200000,- -,63700000,65700000,- -
57,Other Non-Current Liabilities,- -,114200000,159500000,266000000,713700000,26700000,- -
58,Total Non-Current Liabilities,- -,202300000,226700000,266000000,2044700000,2177000000,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,778100000,914700000,- -
61,Total Liabilities,- -,805000000,863100000,937000000,2288400000,2459500000,- -
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,566200000,582600000,- -,1300000,1300000,- -
64,Retained Earnings,- -,- -,- -,576200000,-127100000,67700000,- -
65,Other Comprehensive Income/Loss,- -,-18400000,-11300000,-13000000,-14900000,-11600000,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,3500000,12000000,- -
67,Total Stockholders Equity,- -,547800000,571300000,563200000,-137200000,69400000,- -
68,Total Liabilities And Stockholders Equity,- -,1352800000,1434400000,1500200000,2151200000,2528900000,- -
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,1352800000,1434400000,1500200000,2151200000,2528900000,- -
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1745041/000174504120000003/0001745041-20-000003-index.html,https://www.sec.gov/Archives/edgar/data/1745041/000174504121000004/0001745041-21-000004-index.htm,undefined
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,89900000,94900000,161400000,183700000,193200000,194800000,- -
74,Depreciation and Amortization,80800000,87900000,93100000,97400000,88400000,81100000,- -
75,Deferred Income Tax,1900000,-2300000,-21200000,-2900000,600000,2000000,- -
76,Stock Based Compensation,1200000,2500000,3800000,3800000,4700000,8500000,- -
77,Change in Working Capital,-30300000,-237400000,15800000,4100000,433800000,193200000,- -
78,Accounts Receivable,-48500000,-60700000,-60800000,-9300000,-23000000,-54300000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,-237400000,-221600000,-217500000,216300000,409500000,- -
82,Other Non-Cash Items,-3100000,166600000,-51600000,3800000,-449500000,-169600000,- -
83,Cash Provided by Operating Activities,140400000,112200000,201300000,289900000,271200000,310000000,- -
84,CAPEX,-41400000,-42000000,-54900000,-66700000,-68500000,-69800000,- -
85,Acquisitions Net,-22700000,-1300000,-900000,- -,-16700000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,200000,- -,700000,600000,300000,800000,- -
89,Cash Used for Investing Activites,-63900000,-43300000,-55100000,-66100000,-84900000,-69000000,- -
90,Debt Repayment,-11300000,-13800000,-16900000,-15900000,-41200000,-18300000,- -
