,https://roic.ai/company/AXU,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,85225,537168,4053000,5736000,5818000,4641000,45102000,84708000,59433000,15286000,14662000,11361000,10732000,19880000,29206000,2866000,21502000
2,COGS,51493,330847,2923000,4673000,5429000,2870000,30249000,66788000,50613000,10037000,11411000,8495000,6732000,13828000,23130000,3300000,29948000
3,Gross Profit,33732,206321,1130000,1063000,389000,1771000,14853000,17920000,8820000,5249000,3251000,2866000,4000000,6052000,6076000,-434000,-8446000
4,Gross Profit Ratio,0.3958,0.3841,0.2788,0.1853,0.0669,0.3816,0.3293,0.2116,0.1484,0.3434,0.2217,0.2523,0.3727,0.3044,0.2080,-0.1514,-0.3928
5,Research and Development Exp.,115075,487731,263000,693000,- -,- -,- -,- -,- -,- -,- -,- -,164000,370000,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,6506000,7830000,10914000,16321000,12238000,8954000,8015000,7788000,9766000,12721000,16516000,14006000,10196000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,231000,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,6506000,7830000,10914000,16321000,12238000,9185000,8015000,7788000,9766000,12721000,16516000,14006000,10196000
9,Other Expenses,730036,3113644,6505000,6198000,945000,748000,430000,336000,1443000,2411000,2167000,1680000,1382000,1590000,2630000,5120000,291000
10,Operating Expenses,845111,3601375,6768000,6891000,7451000,8578000,11344000,16657000,13681000,11596000,10182000,9468000,11312000,14681000,19146000,19126000,10487000
11,COGS and Expenses,896604,3932222,9691000,11564000,12880000,11448000,41593000,83445000,64294000,21633000,21593000,17963000,18044000,28509000,42276000,22426000,40435000
12,Interest Income ,35441,- -,1275000,986000,224000,88000,- -,- -,- -,- -,- -,- -,- -,241000,164000,209000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,48000,46000,47000,42000,56000,- -,- -,- -,162000,100000,- -
14,Depreciation and Amortization,-125441,381933,597000,1024000,914000,772000,1319000,2938000,3052000,2949000,2246000,2076000,1634000,1652000,2250000,1566000,6013000
15,EBITDA,-836927,-2303499,-3887000,-3925000,-10119000,-5857000,4676000,10963000,-58980000,-32617000,-4314000,-1891000,-4542000,-5342000,-5683000,-35085000,171000
16,EBITDA ratio,-9.8202,-4.2882,-0.9590,-0.6843,-1.7393,-1.2620,0.1037,0.1294,-0.9924,-2.1338,-0.2942,-0.1664,-0.4232,-0.2687,-0.1946,-12.2418,0.0080
17,Operating Income,-811379,-3366943,-5598000,-5933000,-11261000,-6807000,3064000,939000,-62180000,-35618000,-6520000,-6602000,-8665000,-8721000,-13070000,-22333000,-19421000
