,https://roic.ai/company/QH,2017,2018,2019,2020
0,INCOME STATEMENT, , , , 
1,Revenue,654802000,1474475000,2055789000,2580810000
2,COGS,626193000,1357837000,1893513000,2388299000
3,Gross Profit,28609000,116638000,162276000,192511000
4,Gross Profit Ratio,0.0437,0.0791,0.0789,0.0746
5,Research and Development Exp.,3222000,6702000,9730000,13095000
6,General and Administrative Exp.,46816000,161839000,161160000,203299000
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",46816000,161839000,161160000,203299000
9,Other Expenses,- -,- -,- -,- -
10,Operating Expenses,50038000,168541000,170890000,216394000
11,COGS and Expenses,676231000,1526378000,2064403000,2604693000
12,Interest Income ,104000,44000,275000,824000
13,Interest Expense (Gain),1364000,3913000,6093000,8068000
14,Depreciation and Amortization,2469000,10132000,14111000,20006000
15,EBITDA,-9731000,-24590000,30019000,56932000
16,EBITDA ratio,-0.0149,-0.0167,0.0146,0.0221
17,Operating Income,-21429000,-51903000,-12454000,-20640000
18,Operating Income ratio,-0.0327,-0.0352,-0.0061,-0.0080
19,Total Other Income Expenses (Gains),7865000,11587000,20585000,40464000
20,Income Before Tax,-13564000,-40316000,8131000,19824000
21,Income Before Tax Ratio,-0.0207,-0.0273,0.0040,0.0077
22,Income Tax expense (Gain),405000,3979000,21580000,25428000
23,Net Income,-13969000,-42614000,-11765000,3430000
24,Net Income ratio,-0.0213,-0.0289,-0.0057,0.0013
25,EPS,-0.36,-1.09,-0.30,0.08
26,EPS Diluted,-0.36,-1.09,-0.30,0.07
27,Weighted Average Shares Outstanding,39103860,39103860,39103860,28282187
28,Weighted Average Shares Outstanding Diluted,39103860,39103860,39103860,48517987
29,SEC Link,- -,- -,- -,- -
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,- -,17343000,126779000,97807000
32,Short-Term Investments,- -,74165000,56275000,201578000
33,Cash and Short-Term Investments,- -,91508000,183054000,299385000
34,Net Receivables,- -,187156000,312929000,402069000
35,Inventory,- -,- -,- -,- -
36,Other Current Assets,- -,12447000,25487000,33529000
37,Total Current Assets,- -,291111000,521470000,734983000
38,PP&E,- -,11358000,25632000,55924000
39,Goodwill,- -,16412000,26231000,118724000
40,Intangible Assets,- -,57896000,66818000,111990000
41,Intangible Assets,- -,74308000,93049000,230714000
42,Investments,- -,10501000,1715000,1065000
43,Tax Assets,- -,1724000,3893000,2370000
44,Other Non-Current Assets,- -,80614000,98137000,105501000
45,Total Non-Current Assets,- -,178505000,222426000,395574000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,- -,469616000,743896000,1130557000
48,Accounts Payable,- -,144100000,232276000,268939000
49,Short-Term Debt,- -,68630000,143979000,91544000
50,Tax Payable,- -,- -,15171000,12292000
51,Deferred Revenue,- -,2904000,8153000,13165000
52,Other Current Liabilities,- -,24815000,67672000,92579000
53,Total Current Liabilities,- -,240449000,452080000,466227000
54,Long-Term Debt,- -,5682000,11942000,19758000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,4559000,2556000,727000
57,Other Non-Current Liabilities,- -,1045494000,1053767000,41014000
58,Total Non-Current Liabilities,- -,1055735000,1068265000,61499000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,32330000
61,Total Liabilities,- -,1296184000,1520345000,527726000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,- -,17000,17000,36000
64,Retained Earnings,- -,-1200492000,-1212257000,-1208827000
65,Other Comprehensive Income/Loss,- -,- -,-1231000,-14843000
66,Other Total Stockholders Equity,- -,369352000,434151000,1779923000
67,Total Stockholders Equity,- -,-831123000,-779320000,556289000
68,Total Liabilities And Stockholders Equity,- -,465061000,741025000,1084015000
69,Minority Interest,- -,4555000,2871000,46542000
70,Total Liabilities & Equity,- -,469616000,743896000,1130557000
71,SEC Link,undefined,- -,- -,- -
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-13969000,-42614000,-11765000,3430000
74,Depreciation and Amortization,2469000,10132000,14111000,20006000
75,Deferred Income Tax,-94000,-2447000,-9322000,-740000
76,Stock Based Compensation,3299000,89622000,64799000,82667000
77,Change in Working Capital,-26214000,-35619000,-43763000,-54082000
78,Accounts Receivable,-50859000,-15729000,-112386000,-97246000
79,Inventory,- -,- -,- -,- -
80,Accounts Payable,64343000,4544000,78797000,31848000
81,Other Working Capital,-15973000,-21564000,-38077000,- -
82,Other Non-Cash Items,5894000,733000,3564000,-40171000
83,Cash Provided by Operating Activities,-28615000,19807000,17624000,11110000
84,CAPEX,-21644000,-36348000,-39621000,-62393000
85,Acquisitions Net,- -,- -,- -,- -
86,Purchases of Investments,-50403000,-2578512000,-2691570000,-3409514000
87,Sales/Maturities of Investments,25000000,2554750000,2726000000,3300413000
88,Other Investing Activites,-38488000,-66655000,-4194000,-74571000
89,Cash Used for Investing Activites,-65102000,-94281000,12483000,-187083000
90,Debt Repayment,-86400000,-36900000,-49568000,-231183000
91,Common Stock Issued,- -,- -,- -,244161000
92,Common Stock Repurchased,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -
94,Other Financing Activites,157750000,119395000,130118000,140115000
95,Cash Used/Provided by Financing Activities,71350000,82495000,80550000,153093000
96,Effect of Forex Changes on Cash,-80000,179000,-1221000,-144000
97,Net Change In Cash,-22447000,8200000,109436000,-23024000
98,Cash at the End of Period,9143000,17343000,126779000,103755000
99,Cash at the Beginning of Period,31590000,9143000,17343000,126779000
100,Free Cash Flow,-50259000,-16541000,-21997000,-51283000
101,SEC Link,- -,- -,- -,- -
102,Forex Rate,0.1537,0.1453,0.1436,0.1532
