,https://roic.ai/company/EVBN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,990986,1010662,1370194,8854445,12228270,13637933,15869434,18512870,21169000,24753000,25620000,25518000,30945000,36661000,37128000,38420000,40603000,40508000,41372000,45524000,44383000,52177000,61352000,70022000,76162000,91611000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,3212869,3951446,5023449,5532613,6813346,7927000,9338000,9677000,10639000,11219000,15478000,17430000,18039000,19022000,19614000,20527000,22268000,24437000,28029000,31830000,34183000,39314000,45121000
7,Selling and Marketing Exp.,131753,127127,118021,460480,147460,171248,205662,262839,337000,464000,442000,369000,497000,575000,627000,812000,814000,786000,867000,857000,1022000,1095000,1070000,1033000,1128000,1427000
8,"Selling, General and Administrative Exp.",131753,127127,118021,3673349,4098906,5194697,5738275,7076185,8264000,9802000,10119000,11008000,11716000,16053000,18057000,18851000,19836000,20400000,21394000,23125000,25459000,29124000,32900000,35216000,40442000,46548000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,17198000,20881000,21992000,22284000,28947000,18943000,17149000,14164000,14600000,14606000,14875000,15541000,15876000,21100000,25784000,- -,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,27000000,31000000,33000000,34000000,45000000,37000000,36000000,34000000,35000000,36000000,38000000,41000000,45000000,54000000,61000000,- -,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
