,https://roic.ai/company/MPC,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,65258000000,45639000000,62605000000,78709000000,82243000000,100160000000,97817000000,72051000000,63339000000,74733000000,96504000000,123949000000,69779000000,119983000000
2,COGS,56527000000,38320000000,54278000000,72778000000,69943000000,88978000000,85601000000,57907000000,51310000000,61444000000,88556000000,113881000000,69108000000,113372000000
3,Gross Profit,8731000000,7319000000,8327000000,5931000000,12300000000,11182000000,12216000000,14144000000,12029000000,13289000000,7948000000,10068000000,671000000,6611000000
4,Gross Profit Ratio,0.1338,0.1604,0.1330,0.0754,0.1496,0.1116,0.1249,0.1963,0.1899,0.1778,0.0824,0.0812,0.0096,0.0551
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,1106000000,1223000000,1248000000,1375000000,1576000000,1605000000,1743000000,2418000000,3408000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,1106000000,1223000000,1248000000,1375000000,1576000000,1605000000,1743000000,2418000000,3408000000,- -,2537000000
9,Other Expenses,1811000000,1741000000,2108000000,1130000000,5933000000,6551000000,6964000000,7971000000,7763000000,7893000000,355000000,588000000,3260000000,253000000
10,Operating Expenses,1811000000,1741000000,2108000000,2236000000,7156000000,7799000000,8339000000,9547000000,9368000000,9636000000,2773000000,3996000000,3260000000,2790000000
11,COGS and Expenses,58338000000,40061000000,56386000000,75014000000,77099000000,96777000000,93940000000,67454000000,60678000000,71080000000,91329000000,117877000000,72368000000,116162000000
12,Interest Income ,6000000,3000000,2000000,- -,6000000,9000000,7000000,6000000,6000000,27000000,87000000,40000000,9000000,14000000
13,Interest Expense (Gain),8000000,8000000,7000000,61000000,90000000,167000000,202000000,288000000,538000000,625000000,946000000,1238000000,1333000000,1267000000
14,Depreciation and Amortization,606000000,670000000,941000000,891000000,995000000,1220000000,1326000000,1646000000,2001000000,2114000000,2490000000,3638000000,3375000000,3364000000
15,EBITDA,2499000000,1363000000,1971000000,4671000000,6319000000,4612000000,5332000000,6292000000,4322000000,5711000000,7178000000,8587000000,-7548000000,14633000000
16,EBITDA ratio,0.0383,0.0299,0.0315,0.0593,0.0768,0.0460,0.0545,0.0873,0.0682,0.0764,0.0744,0.0693,-0.1082,0.1220
17,Operating Income,1855000000,654000000,1011000000,3745000000,5347000000,3425000000,4051000000,4692000000,2378000000,3969000000,5571000000,5576000000,-12247000000,4300000000
18,Operating Income ratio,0.0284,0.0143,0.0161,0.0476,0.0650,0.0342,0.0414,0.0651,0.0375,0.0531,0.0577,0.0450,-0.1755,0.0358
