,https://roic.ai/company/CM,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,5611000000,6210000000,6285000000,7355000000,8496972258,9140916809,10135942327,12080414255,11161720362,11040498442,11577212185,11882467690,12472546936,11332000000,12066029704,3713323713,9930000000,12086000000,12201000000,12348000000,12626000000,13073000000,13677000000,14439000000,15874000000,17760000000,18512000000,18666000000,19960000000
2,COGS,- -,5233000000,5004000000,6898000000,7928000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,378000000,1206000000,-613000000,-573000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,11332000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,0.0674,0.1942,-0.0975,-0.0779,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,4427000000,4743000000,4624000000,5064000000,3139980284,4129958327,4387965278,4937557113,4732582130,4881619938,4416457866,4398927091,4324005196,- -,4392205090,3916546417,3610000000,3871000000,4163000000,4044000000,4214000000,4636000000,4803000000,4848000000,5198000000,5665000000,5726000000,5920000000,6450000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,283066059,272616509,285668941,294392523,245285507,279200195,259770929,- -,245955917,216450216,173000000,197000000,214000000,233000000,236000000,285000000,281000000,269000000,282000000,327000000,359000000,271000000,237000000
8,"Selling, General and Administrative Exp.",- -,4427000000,4743000000,4624000000,5064000000,3139980284,4129958327,4671031337,5210173622,5018251071,5176012461,4661743373,4678127286,4583776125,- -,4638161007,4132996633,3783000000,4068000000,4377000000,4277000000,4450000000,4921000000,5084000000,5117000000,5480000000,5992000000,6085000000,6191000000,6687000000
9,Other Expenses,- -,5233000000,5004000000,6898000000,7928000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,14812000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,9660000000,9747000000,11522000000,12992000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,14812000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
11,COGS and Expenses,- -,14893000000,14751000000,18420000000,20920000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,- -,- -,- -,- -,- -,12891001268,15000000000,14405031632,15327444411,14773845422,11523364486,11217196361,10187759083,11256346676,- -,15780910037,14163059163,9297000000,9095000000,10099000000,12075000000,11811000000,11477000000,11483000000,12092000000,13593000000,17505000000,20697000000,17522000000,14741000000
13,Interest Expense (Gain),- -,5233000000,5004000000,6898000000,7928000000,8374031827,10663065288,9997057526,11044776120,10225361054,6014018692,5546617434,4821994635,6319518243,- -,11223157696,8956228956,3903000000,2891000000,3749000000,4581000000,4356000000,4018000000,3568000000,3726000000,4616000000,7440000000,10146000000,6478000000,3282000000
14,Depreciation and Amortization,- -,218000000,234000000,241000000,256000000,230953387,294026856,367956451,359427353,358673226,364485981,295397600,280419410,225528398,206000000,252577807,245310245,403000000,375000000,356000000,357000000,354000000,813000000,435000000,462000000,542000000,657000000,838000000,1311000000,1017000000
15,EBITDA,- -,6616000000,6678000000,8789000000,10461000000,11093085482,12472912487,11713991467,14106000610,12361529915,6752336449,8143215087,8091928797,7301924666,3492000000,15295620093,4924242424,5904000000,7251000000,8153000000,8973000000,8761000000,8748000000,8213000000,9181000000,11019000000,14786000000,17428000000,12677000000,12604000000
16,EBITDA ratio,- -,1.1791,1.0754,1.3984,1.4223,1.3055,1.3645,1.1557,1.1677,1.1075,0.6116,0.7034,0.6810,0.5854,0.3082,1.2677,1.3261,0.5946,0.6000,0.6682,0.7267,0.6939,0.6692,0.6005,0.6358,0.6942,0.8325,0.9414,0.6791,0.6315
17,Operating Income,- -,1184000000,1467000000,1661000000,2291000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3315000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,0.2110,0.2362,0.2643,0.3115,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2925,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,1184000000,1467000000,1661000000,2291000000,2488100268,1515820343,1348977490,2701797137,1777495635,373831776,2301200053,2989514752,756878025,3315000000,3819884590,-4277296777,1619000000,4012000000,4058000000,4043000000,4048000000,3914000000,4224000000,5013000000,5880000000,6706000000,6469000000,4890000000,8322000000
21,Income Before Tax Ratio,- -,0.2110,0.2362,0.2643,0.3115,0.2928,0.1658,0.1331,0.2237,0.1592,0.0339,0.1988,0.2516,0.0607,0.2925,0.3166,-1.1519,0.1630,0.3320,0.3326,0.3274,0.3206,0.2994,0.3088,0.3472,0.3704,0.3776,0.3494,0.2620,0.4169
22,Income Tax expense (Gain),- -,435000000,550000000,635000000,911000000,937051120,459947523,319994115,641181846,92048881,-278816199,238691811,790051207,788759003,640000000,524075300,-2217412217,424000000,1533000000,969000000,704000000,648000000,699000000,634000000,718000000,1162000000,1422000000,1348000000,1098000000,1876000000
23,Net Income,- -,730000000,890000000,1015000000,1366000000,1551049148,1055872820,1028983375,2060615291,1685446754,652647975,2062508242,2199463545,-31880978,2646000000,3295809290,-2059884560,1174000000,2452000000,3079000000,3331000000,3403000000,3218000000,3576000000,4275000000,4699000000,5267000000,5096000000,3790000000,6429000000
24,Net Income ratio,- -,0.1301,0.1433,0.1615,0.1857,0.1825,0.1155,0.1015,0.1706,0.1510,0.0591,0.1782,0.1851,-0.0026,0.2335,0.2731,-0.5547,0.1182,0.2029,0.2524,0.2698,0.2695,0.2462,0.2615,0.2961,0.2960,0.2966,0.2753,0.2030,0.3221
25,EPS,- -,1.82,2.07,2.32,3.29,3.51,2.26,2.24,4.98,4.20,1.37,-3.95,-4.59,-0.46,31.00,9.30,-5.89,2.65,5.89,7.32,7.86,8.24,7.87,8.89,10.72,11.26,11.69,11.22,8.23,13.97
26,EPS Diluted,- -,1.82,2.07,2.32,3.29,3.51,2.26,2.22,4.86,4.07,1.35,-3.95,-4.59,-0.46,31.00,9.21,-5.89,2.65,5.87,7.31,7.85,8.23,7.86,8.87,10.70,11.24,11.65,11.19,8.22,13.93
27,Weighted Average Shares Outstanding,- -,402000000,429000000,438000000,415000000,414167078,416108284,410159460,388951000,372305000,359278714,359637000,357954000,341398554,85354838,335977003,370229000,381677000,387802000,396233000,403685000,400880000,397620000,397213000,395389000,412636000,443082000,444324000,445435000,448953000
28,Weighted Average Shares Outstanding Diluted,- -,402000000,429000000,438000000,415000000,414167078,416108284,412875931,388951000,375782000,364601361,361577000,362000000,341398554,85354838,339260166,371763000,382442000,388807000,397097000,404145000,401261000,398420000,397832000,395919000,413563000,444627000,445457000,446021000,450183000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1045520/000120677403000020/0001206774-03-000020-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000090956703001453/0000909567-03-001453-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000090956704001738/0000909567-04-001738-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000090956705001967/t18394exv99wbw3xby.htm,https://www.sec.gov/Archives/edgar/data/1045520/000090956706002002/0000909567-06-002002-index.htm,https://www.sec.gov/Archives/edgar/data/1045520/000090956707001523/0000909567-07-001523-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000090956708001255/0000909567-08-001255-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000095012309068859/0000950123-09-068859-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000095012310111012/0000950123-10-111012-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000119312511328621/0001193125-11-328621-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000119312512493299/0001193125-12-493299-index.html,https://www.sec.gov/Archives/edgar/data/1045520/000119312513462841/0001193125-13-462841-index.html,- -,https://www.sec.gov/Archives/edgar/data/1045520/000119312515393721/0001193125-15-393721-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1045520/000119312518337131/0001193125-18-337131-index.htm,https://www.sec.gov/Archives/edgar/data/1045520/000119312519306746/0001193125-19-306746-index.htm,https://www.sec.gov/Archives/edgar/data/1045520/000119312520308946/0001193125-20-308946-index.htm,https://www.sec.gov/Archives/edgar/data/1045520/000119312521345994/0001193125-21-345994-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,7412899592,10795030097,12526997205,10679256777,11350579273,9512461059,10453646314,12203121190,11851458260,222000000,13747043799,1558441558,8149000000,13132000000,6969000000,5534000000,7552000000,15174000000,20453000000,15767000000,15841000000,20939000000,24645000000,74402000000,72275000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17430000000,13302000000,20091000000,26621000000,13169000000,6192000000,7997000000,5739000000,28534000000,37253000000,- -,36210000000,12998000000,54553000000,18877000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,7412899592,10795030097,12526997205,10679256777,11350579273,9512461059,10453646314,12203121190,11851458260,222000000,31177043799,14860441558,28240000000,39753000000,20138000000,11726000000,15549000000,20913000000,48987000000,53020000000,15841000000,57149000000,37643000000,128955000000,91152000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,1979009106,1235986465,1568687176,1504523092,1423676012,1090597389,903438186,1726295903,- -,4988000000,10737000000,9639000000,6963000000,6052000000,6596000000,5591000000,6645000000,8520000000,9078000000,8666000000,10406000000,11900000000,8987000000,10405000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,266283068375,234219949977,253703929334,272220282495,193442367602,191709086114,171225310900,175437477859,- -,215281366191,244627426168,216015000000,223236000000,240084000000,304054000000,299346000000,321666000000,324353000000,346223000000,437495000000,418050000000,470934000000,471694000000,563796000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,279057107578,247982933647,265951873287,285075384860,204378504673,203253329817,184331870276,189015232022,222000000,251446409990,270224867726,253894000000,269952000000,266274000000,322376000000,320486000000,349224000000,381860000000,408321000000,462002000000,485605000000,520477000000,609636000000,665353000000
38,PP&E,- -,1951000000,1995000000,2013000000,1983000000,2070975919,2200956938,2213035163,1507767286,1769560387,2247663551,2092839246,2106803219,2136025505,- -,1978053164,2008177008,1618000000,1660000000,1676000000,1683000000,1719000000,1797000000,1897000000,1898000000,1783000000,1795000000,1813000000,2997000000,3286000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,982000000,1847000000,2100000000,1997000000,1913000000,1894000000,1701000000,1733000000,1450000000,1526000000,1539000000,5367000000,5564000000,5449000000,5253000000,4954000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,192000000,406000000,427000000,669000000,609000000,654000000,656000000,756000000,967000000,1197000000,1410000000,1978000000,1945000000,1969000000,1961000000,2031000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,171940114,135059585,242156564,628471671,1375389408,1300276935,1298463789,1145353643,1174000000,2253334595,2526455026,2666000000,2522000000,2548000000,2357000000,2489000000,2417000000,2723000000,2949000000,7345000000,7509000000,7418000000,7214000000,6985000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,65291277259,70501120928,91026578883,88072972016,18606000000,86499858102,79170274170,77766000000,77906000000,83201000000,66969000000,73695000000,61465000000,76829000000,88189000000,94134000000,102190000000,121896000000,149704000000,162059000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18606000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,2372897052,2348094748,1749923850,2398032058,68914330218,73894237109,94431845891,91354351164,1174000000,90731245861,83704906204,82050000000,82088000000,87425000000,71009000000,77903000000,65679000000,81449000000,93036000000,103262000000,111494000000,131127000000,159915000000,172330000000
