,https://roic.ai/company/DRVN,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,492715000,600273000,904200000,1467280000
2,COGS,288938000,352188000,- -,- -
3,Gross Profit,203777000,248085000,904200000,1467280000
4,Gross Profit Ratio,0.4136,0.4133,1.0000,1.0000
5,Research and Development Exp.,- -,- -,- -,- -
6,General and Administrative Exp.,125763000,142249000,218277000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",125763000,142249000,218277000,292263000
9,Other Expenses,19846000,24220000,591194000,997952000
10,Operating Expenses,145609000,166469000,809471000,1290215000
11,COGS and Expenses,434547000,518657000,809471000,- -
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),41758000,56846000,-95646000,75914000
14,Depreciation and Amortization,19846000,24220000,62114000,112777000
15,EBITDA,71471000,93627000,-26376000,223583000
16,EBITDA ratio,0.1451,0.1560,-0.0292,0.1524
17,Operating Income,58168000,70021000,94729000,177065000
18,Operating Income ratio,0.1181,0.1166,0.1048,0.1207
19,Total Other Income Expenses (Gains),-48301000,-57441000,-87573000,-142173000
20,Income Before Tax,9867000,12580000,7156000,34892000
21,Income Before Tax Ratio,0.0200,0.0210,0.0079,0.0238
22,Income Tax expense (Gain),2805000,4830000,11372000,25356000
23,Net Income,7062000,7731000,-4216000,9536000
24,Net Income ratio,0.0143,0.0129,-0.0047,0.0065
25,EPS,0.04,0.05,-0.02,0.06
26,EPS Diluted,0.04,0.05,-0.02,0.06
27,Weighted Average Shares Outstanding,164709557,164709557,169987490,160684000
28,Weighted Average Shares Outstanding Diluted,164709557,164709557,169987490,164644000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1804745/000162828021005489/0001628280-21-005489-index.htm,https://www.sec.gov/Archives/edgar/data/1804745/000162828022006676/0001628280-22-006676-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,37530000,34935000,172611000,523414000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,37530000,34935000,172611000,523414000
34,Net Receivables,43198000,78738000,84805000,117903000
35,Inventory,8493000,26149000,43039000,46990000
36,Other Current Assets,30973000,45502000,73228000,75292000
37,Total Current Assets,120194000,185324000,373683000,763599000
38,PP&E,92699000,134381000,827392000,2346609000
39,Goodwill,588244000,870619000,1727351000,1910392000
40,Intangible Assets,500130000,672017000,829308000,816183000
41,Intangible Assets,1088374000,1542636000,2556659000,2726575000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,1509000
44,Other Non-Current Assets,5652000,13899000,- -,12240000
45,Total Non-Current Assets,1186725000,1690916000,3384051000,5086933000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,1306919000,1876240000,3757734000,5850532000
48,Accounts Payable,31268000,58917000,67802000,83033000
49,Short-Term Debt,7300000,13050000,22988000,26044000
50,Tax Payable,- -,- -,3513000,1539000
51,Deferred Revenue,- -,- -,20757000,37576000
52,Other Current Liabilities,51970000,86860000,193899000,289207000
53,Total Current Liabilities,90538000,158827000,305446000,435860000
54,Long-Term Debt,693931000,1301913000,22988000,3290928000
55,Deferred Revenue,8363000,14267000,- -,37576000
56,Deferred Tax Liabilities,76400000,111355000,- -,255558000
57,Other Non-Current Liabilities,- -,- -,53324000,185368000
58,Total Non-Current Liabilities,778694000,1427535000,76312000,3769430000
59,Other Liabilities,- -,- -,3319656000,- -
60,Capital Lease Obligations,- -,- -,818001000,- -
61,Total Liabilities,869232000,1586362000,3548790000,4205290000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,438787000,284788000,- -,1674000
64,Retained Earnings,- -,- -,- -,41607000
65,Other Comprehensive Income/Loss,-1100000,3626000,16528000,-5028000
66,Other Total Stockholders Equity,- -,- -,1087712000,1606989000
67,Total Stockholders Equity,437687000,288414000,1104240000,1645242000
68,Total Liabilities And Stockholders Equity,1306919000,1874776000,4653030000,5850532000
69,Minority Interest,- -,1464000,-895296000,- -
70,Total Liabilities & Equity,1306919000,1876240000,3757734000,5850532000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1804745/000162828021005489/0001628280-21-005489-index.htm,https://www.sec.gov/Archives/edgar/data/1804745/000162828022006676/0001628280-22-006676-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,7062000,7731000,-4216000,9536000
74,Depreciation and Amortization,19846000,24220000,62114000,112777000
75,Deferred Income Tax,2288000,3169000,3936000,9866000
76,Stock Based Compensation,1195000,1195000,- -,- -
77,Change in Working Capital,-3730000,-3159000,41740000,259502000
78,Accounts Receivable,2148000,-7173000,-11782000,-35912000
79,Inventory,-269000,-5452000,-2904000,-5723000
80,Accounts Payable,-9099000,13849000,-4454000,6905000
81,Other Working Capital,29656000,26497000,68237000,327739000
82,Other Non-Cash Items,12092000,8216000,-19588000,-107854000
83,Cash Provided by Operating Activities,38753000,41372000,83986000,283827000
84,CAPEX,-22158000,-28230000,-52459000,-160760000
85,Acquisitions Net,4359000,-454193000,-105031000,-800829000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,47715000,-14107000
89,Cash Used for Investing Activites,-17799000,-482423000,-57316000,-814936000
90,Debt Repayment,-217376000,-10988000,-881608000,-19756000
91,Common Stock Issued,- -,- -,2609000,- -
92,Common Stock Repurchased,- -,- -,- -,-43040000
93,Dividends Paid,-52987000,-163000000,- -,- -
94,Other Financing Activites,260870000,620518000,997642000,948332000
95,Cash Used/Provided by Financing Activities,-9493000,446530000,118643000,885536000
