,https://roic.ai/company/BYOC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,94485,1843231,903852,- -,- -,- -,- -,- -,- -,- -,- -,- -,5044687,219867,4243053
2,COGS,97879,2175099,221744,- -,- -,- -,- -,- -,- -,- -,- -,- -,1692932,147829,1668241
3,Gross Profit,-3394,-331868,682108,- -,- -,- -,- -,- -,- -,- -,- -,- -,3351755,72038,2574812
4,Gross Profit Ratio,-0.0359,-0.1800,0.7547,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6644,0.3276,0.6068
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,8265452,7387107,- -,- -,380298,383646,249035,183649,188698,245594,1760810,4999810,91133,1046342
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4347730,8265452,7387107,- -,- -,380298,383646,249035,183649,188698,245594,1760810,4999810,91133,690391
9,Other Expenses,137255,182802,198873,- -,- -,- -,- -,- -,- -,- -,- -,- -,646667,- -,5499196
10,Operating Expenses,4484985,8448254,7585980,- -,- -,- -,- -,- -,- -,- -,- -,- -,5646477,91133,6189587
11,COGS and Expenses,4582864,10623353,7807724,- -,- -,480294,483642,349031,225839,188698,245594,1760810,7339409,238962,6189587
12,Interest Income ,2150,542,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,3325662,8585204,- -,- -,870980,880980,820980,820980,820980,820980,1079144,2346842,- -,589206
14,Depreciation and Amortization,417158,182802,198871,- -,- -,99996,99996,99996,42190,- -,- -,- -,646667,496199,0
15,EBITDA,-4367355,-9349526,-2871955,- -,- -,-380298,-383646,-249035,-183649,-188698,-245594,-1760810,-2471011,342418,-8591848
16,EBITDA ratio,-46.2227,-5.0724,-3.1775,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4898,1.5574,-2.0249
17,Operating Income,-4488379,-8780122,-6903872,- -,- -,-480294,-483642,-349031,-225840,-188699,-245594,-1760810,-2294722,-2335079,-1946534
18,Operating Income ratio,-47.5036,-4.7634,-7.6383,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.4549,-10.6204,-0.4588
19,Total Other Income Expenses (Gains),-296134,-4077868,2828681,- -,- -,-870980,-880980,-820980,-820979,-820979,-820980,-2535429,-3169798,- -,-7234520
20,Income Before Tax,-4784513,-12857990,-4075191,- -,- -,-1351274,-1364622,-1170011,-1046819,-1009678,-1066574,-4296239,-5464520,- -,-9181054
21,Income Before Tax Ratio,-50.6378,-6.9758,-4.5087,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.0832,- -,-2.1638
