,https://roic.ai/company/FTCH,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,142305000,242116000,385966000,602384000,1021037000,1673922000,2256608000
2,COGS,69702000,125238000,181200000,303934000,561191000,902994000,1240097000
3,Gross Profit,72603000,116878000,204766000,298450000,459846000,770928000,1016511000
4,Gross Profit Ratio,0.5102,0.4827,0.5305,0.4954,0.4504,0.4606,0.4505
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,126969000,198661000,288280000,448229000,756018000,1134260000,1229770000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",126969000,198661000,288280000,448229000,756018000,1134260000,1229770000
9,Other Expenses,3104000,6897000,10980000,23537000,113591000,217223000,251198000
10,Operating Expenses,130073000,205558000,299260000,471766000,869609000,1351483000,1480968000
11,COGS and Expenses,199775000,330796000,480460000,775667000,1408713000,2254477000,2721065000
12,Interest Income ,525000,1637000,2833000,11260000,34382000,4970000,12599000
13,Interest Expense (Gain),12000,1502000,1573000,537000,19232000,68802000,86441000
14,Depreciation and Amortization,3104000,6897000,10980000,23537000,113591000,217223000,251198000
15,EBITDA,-57865000,-72816000,-99552000,-129343000,-251312000,-3079028000,1807128000
16,EBITDA ratio,-0.4066,-0.3007,-0.2579,-0.2147,-0.2461,-1.8394,0.8008
17,Operating Income,-57470000,-88662000,-94463000,-173283000,-387676000,-619815000,-476236000
18,Operating Income ratio,-0.4039,-0.3662,-0.2447,-0.2877,-0.3797,-0.3703,-0.2110
19,Total Other Income Expenses (Gains),-4265000,7402000,-17642000,19866000,15150000,-2727690000,1949849000
20,Income Before Tax,-61735000,-81260000,-112105000,-153417000,-372526000,-3347505000,1473613000
21,Income Before Tax Ratio,-0.4338,-0.3356,-0.2905,-0.2547,-0.3649,-1.9998,0.6530
22,Income Tax expense (Gain),-628000,199000,170000,2158000,1162000,-14434000,3002000
23,Net Income,-60353000,-81414000,-112275000,-155575000,-385297000,-3350619000,1466487000
24,Net Income ratio,-0.4241,-0.3363,-0.2909,-0.2583,-0.3774,-2.0017,0.6499
25,EPS,-0.35,-0.33,-0.51,-0.59,-1.21,-9.75,4.02
26,EPS Diluted,-0.35,-0.33,-0.51,-0.59,-1.21,-9.75,-1.07
27,Weighted Average Shares Outstanding,173304405,246833525,219590055,264432214,318843239,343829481,364696712
28,Weighted Average Shares Outstanding Diluted,173304405,246833525,219590055,264432214,318843239,343829481,472357995
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1740915/000156459019005846/0001564590-19-005846-index.html,https://www.sec.gov/Archives/edgar/data/1740915/000156459020009887/0001564590-20-009887-index.html,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,150032000,384002000,1044786000,322429000,1573421000,1363128000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,99971000
33,Cash and Short-Term Investments,- -,150032000,384002000,1044786000,322429000,1573421000,1463099000
34,Net Receivables,- -,11809000,10601000,58637000,173554000,197987000,384907000
35,Inventory,- -,13591000,50610000,60954000,128107000,145309000,255664000
36,Other Current Assets,- -,5472000,7579000,35033000,21240000,44283000,8010000
37,Total Current Assets,- -,180904000,452792000,1199410000,645330000,1961000000,2111680000
38,PP&E,- -,15795000,26696000,37528000,183175000,268309000,292612000
39,Goodwill,- -,25503000,38449000,36043000,341067000,356521000,- -
40,Intangible Assets,- -,17440000,35592000,67302000,1021900000,922807000,- -
41,Intangible Assets,- -,42943000,74041000,103345000,1362967000,1279328000,1359657000
42,Investments,- -,23000,336000,652000,18695000,10597000,18006000
43,Tax Assets,- -,- -,- -,- -,5324000,13556000,13334000
44,Other Non-Current Assets,- -,5367000,9193000,10458000,12388000,58081000,31225000
45,Total Non-Current Assets,- -,64128000,110266000,151983000,1582549000,1629871000,1714834000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,245032000,563058000,1351393000,2227879000,3590871000,3826514000
48,Accounts Payable,- -,56320000,73992000,96176000,180270000,277827000,806406000
49,Short-Term Debt,- -,2673000,- -,- -,18485000,26128000,33594000
50,Tax Payable,- -,2133000,7312000,7708000,41030000,79918000,5189000
51,Deferred Revenue,- -,- -,- -,- -,29966000,30957000,- -
52,Other Current Liabilities,- -,30432000,81898000,97982000,239277000,443835000,67257000
53,Total Current Liabilities,- -,89425000,155890000,194158000,467998000,778747000,907257000
54,Long-Term Debt,- -,17340000,- -,- -,- -,635237000,696719000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,219789000,182463000,156025000
57,Other Non-Current Liabilities,- -,19351000,10265000,28804000,202260000,3670514000,1795897000
