,https://roic.ai/company/EMN,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3903000000,4329000000,5040000000,4782000000,4678000000,4481000000,4590000000,5292000000,5384000000,5320000000,5800000000,6580000000,7059000000,7450000000,6830000000,6726000000,5047000000,5842000000,7178000000,8102000000,9350000000,9527000000,9648000000,9008000000,9549000000,10151000000,9273000000,8473000000,10476000000
2,COGS,2660000000,2887000000,3228000000,3289000000,3582000000,3546000000,3768000000,4226000000,4497000000,4541000000,4990000000,5602000000,5655000000,6173000000,5638000000,5600000000,3994000000,4368000000,5538000000,6340000000,6574000000,7306000000,7068000000,6658000000,7095000000,7672000000,7039000000,6498000000,7976000000
3,Gross Profit,1243000000,1442000000,1812000000,1493000000,1096000000,935000000,822000000,1066000000,887000000,779000000,810000000,978000000,1404000000,1277000000,1192000000,1126000000,1053000000,1474000000,1640000000,1762000000,2776000000,2221000000,2580000000,2350000000,2454000000,2479000000,2234000000,1975000000,2500000000
4,Gross Profit Ratio,0.3185,0.3331,0.3595,0.3122,0.2343,0.2087,0.1791,0.2014,0.1647,0.1464,0.1397,0.1486,0.1989,0.1714,0.1745,0.1674,0.2086,0.2523,0.2285,0.2175,0.2969,0.2331,0.2674,0.2609,0.2570,0.2442,0.2409,0.2331,0.2386
5,Research and Development Exp.,- -,167000000,176000000,184000000,191000000,185000000,187000000,149000000,160000000,159000000,173000000,154000000,162000000,167000000,156000000,158000000,137000000,152000000,158000000,198000000,193000000,227000000,251000000,219000000,215000000,235000000,234000000,226000000,254000000
6,General and Administrative Exp.,- -,- -,- -,332000000,337000000,316000000,355000000,346000000,407000000,407000000,414000000,450000000,454000000,437000000,420000000,419000000,399000000,431000000,469000000,644000000,645000000,755000000,762000000,703000000,699000000,721000000,691000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",446000000,310000000,364000000,332000000,337000000,316000000,355000000,346000000,407000000,407000000,414000000,450000000,454000000,437000000,420000000,419000000,399000000,431000000,469000000,644000000,645000000,755000000,762000000,703000000,699000000,721000000,691000000,654000000,795000000
9,Other Expenses,346000000,329000000,308000000,314000000,62000000,- -,53000000,- -,45000000,- -,1000000,-7000000,31000000,33000000,122000000,30000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
