,https://roic.ai/company/NEW,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , 
1,Revenue,439181000,1282562000,2228117000,3103958000,2903915000
2,COGS,257995000,794342000,1242889000,1629447000,1558596000
3,Gross Profit,181186000,488220000,985228000,1474511000,1345319000
4,Gross Profit Ratio,0.4126,0.3807,0.4422,0.4750,0.4633
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,185496000,362748000,775883000,748259000,469163000
7,Selling and Marketing Exp.,123370000,444927000,848088000,1083795000,1048521000
8,"Selling, General and Administrative Exp.",308866000,807675000,1623971000,1832054000,1517684000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,308866000,807675000,1623971000,1832054000,1517684000
11,COGS and Expenses,566861000,1602017000,2866860000,3461501000,3076280000
12,Interest Income ,464000,549000,2826000,25542000,46150000
13,Interest Expense (Gain),- -,5556000,51901000,71099000,80319000
14,Depreciation and Amortization,13893000,44189000,90445000,112797000,114556000
15,EBITDA,-113275000,-345132000,-685743000,-322449000,171864000
16,EBITDA ratio,-0.2579,-0.2691,-0.3078,-0.1039,0.0592
17,Operating Income,-127680000,-319455000,-638743000,-357543000,-176465000
18,Operating Income ratio,-0.2907,-0.2491,-0.2867,-0.1152,-0.0608
19,Total Other Income Expenses (Gains),464000,-75343000,-189344000,-149903000,149000000
20,Income Before Tax,-127216000,-394798000,-828087000,-507446000,-27465000
21,Income Before Tax Ratio,-0.2897,-0.3078,-0.3717,-0.1635,-0.0095
22,Income Tax expense (Gain),388000,2436000,5322000,12188000,9195000
23,Net Income,-127556000,-397313000,-833411000,-518533000,-32206000
24,Net Income ratio,-0.2904,-0.3098,-0.3740,-0.1671,-0.0111
25,EPS,-25.78,-42.60,-115.60,-60.60,-3.60
26,EPS Diluted,-25.78,-42.60,-115.60,-60.60,-3.60
27,Weighted Average Shares Outstanding,4947553,9323361,7207897,8545166,8707812
28,Weighted Average Shares Outstanding Diluted,4947553,9323361,7207897,8545166,8707812
29,SEC Link,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,100109000,164684000,778006000,256763000,48497000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,100109000,164684000,778006000,256763000,48497000
34,Net Receivables,9000,113000,- -,208282000,271408000
35,Inventory,- -,10408000,9659000,13311000,15210000
36,Other Current Assets,36262000,132473000,128638000,449636000,607877000
37,Total Current Assets,136380000,307678000,916303000,927992000,942992000
38,PP&E,33723000,221212000,248801000,1344660000,1205597000
39,Goodwill,346972000,1152913000,1243817000,2055922000,2083151000
40,Intangible Assets,55167000,243927000,218978000,264540000,225170000
41,Intangible Assets,402139000,1396840000,1462795000,2320462000,2308321000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,637000,3012000,3456000,2199000,3522000
44,Other Non-Current Assets,21238000,79651000,105664000,111742000,157162000
45,Total Non-Current Assets,457737000,1700715000,1820716000,3779063000,3674602000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,594117000,2008393000,2737019000,4707055000,4617594000
48,Accounts Payable,- -,- -,- -,- -,- -
49,Short-Term Debt,3048000,3836000,522981000,1097789000,1303977000
50,Tax Payable,7755000,19600000,39019000,46308000,44976000
51,Deferred Revenue,299017000,906480000,876861000,1205609000,1023037000
52,Other Current Liabilities,176320000,360468000,531378000,1004963000,817339000
53,Total Current Liabilities,478385000,1270784000,1931220000,3308361000,3144353000
54,Long-Term Debt,- -,661850000,- -,780527000,727697000
55,Deferred Revenue,19302000,128890000,121191000,101372000,81805000
56,Deferred Tax Liabilities,13734000,77580000,71031000,81969000,71674000
57,Other Non-Current Liabilities,120000000,142074000,65705000,174768000,172942000
58,Total Non-Current Liabilities,153036000,1010394000,257927000,1138636000,1054118000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,970382000,859829000
61,Total Liabilities,631421000,2281178000,2189147000,4446997000,4198471000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,34000,34000,62000,62000,62000
64,Retained Earnings,-282300000,-679613000,-1469303000,-1991220000,-2026891000
65,Other Comprehensive Income/Loss,- -,15718000,72809000,76686000,55155000
66,Other Total Stockholders Equity,245064000,391099000,1944325000,2175652000,2396406000
67,Total Stockholders Equity,-37202000,-272762000,547893000,261180000,424732000
68,Total Liabilities And Stockholders Equity,594219000,2008416000,2737040000,4708177000,4623203000
69,Minority Interest,-102000,-23000,-21000,-1122000,-5609000
70,Total Liabilities & Equity,594117000,2008393000,2737019000,4707055000,4617594000
71,SEC Link,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-127556000,-397313000,-833411000,-518533000,-32206000
74,Depreciation and Amortization,13893000,44189000,90445000,112797000,114556000
75,Deferred Income Tax,-3147000,-5822000,-8943000,-7930000,-11366000
76,Stock Based Compensation,51263000,55835000,374957000,230440000,28023000
77,Change in Working Capital,147570000,312612000,144042000,96727000,-205451000
