,https://roic.ai/company/STNG,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,30317138,39274196,27619041,38800000,82100000,115400000,207600000,342807000,755711000,522747000,512732000,585047000,704325000,915892000,540786000
2,COGS,7600509,15345652,11635034,18700000,54100000,74100000,155700000,217991000,271421000,389021000,306977000,340092000,298930000,587525000,578548000
3,Gross Profit,22716629,23928544,15984007,20100000,28000000,41300000,51900000,124816000,484290000,133726000,205755000,244955000,405395000,328367000,-37762000
4,Gross Profit Ratio,0.7493,0.6093,0.5787,0.5180,0.3410,0.3579,0.2500,0.3641,0.6408,0.2558,0.4013,0.4187,0.5756,0.3585,-0.0698
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,6200000,11600000,11500000,25800000,48129000,65831000,54899000,47511000,52272000,62295000,66187000,52746000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,6200000,11600000,11500000,25800000,48129000,65831000,54899000,47511000,52272000,62295000,66187000,52746000
9,Other Expenses,7073256,7584805,7251650,10179002,18496830,36000,-12000,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,7073256,7584805,7251650,16379002,30096830,11536000,25788000,48129000,65831000,54899000,47511000,52272000,62295000,66187000,52746000
11,COGS and Expenses,14673765,22930457,18886684,37600000,157700000,132600000,189800000,271800000,448627000,443920000,557681000,574505000,574353000,653712000,631294000
12,Interest Income ,142233,35492,4929,36534,51008,35000,1147000,203000,145000,1213000,1538000,4458000,8182000,1249000,3623000
13,Interest Expense (Gain),1953344,1710907,699115,3230895000000,-7000000,-9700000,-600000,-18813000,-90651000,75420000,-110873000,-183017000,-172972000,154971000,144104000
14,Depreciation and Amortization,6482484,6984444,6834742,11167181,21822462,14818000,23595000,42617000,107356000,121461000,141418000,176723000,206968000,245818000,240253000
15,EBITDA,20489620,20881275,10951894,3230903367181,-67877538,-21382000,39995000,75895000,234454000,171978000,-127695000,-196365000,-14494000,494913000,149922000
16,EBITDA ratio,0.6758,0.5317,0.3965,83270.7053,-0.8268,-0.1853,0.1927,0.2214,0.3102,0.3290,-0.2490,-0.3356,-0.0206,0.5404,0.2772
