,https://roic.ai/company/NNVC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,30771,899891,731808,839237,1733806,3204885,4155846,4265933,4292909,5131523,3660322,5028970,5531708,4826840,5921720,4695524,6114541
6,General and Administrative Exp.,- -,- -,2351104,1952804,1085920,1735066,2273609,1815816,2297470,3535849,3402778,3830531,4069016,4498329,2737962,3300935,2629565
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",35234,1695957,2351104,1952804,1085920,1735066,2273609,1815816,2297470,3535849,3402778,3830531,4069016,4498329,2737962,3300935,2629565
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,66005,2595848,3082912,2792041,2819726,4939951,6429455,6081749,6590379,8667372,7063100,8859501,9600724,9325169,8659682,7996459,8744106
11,COGS and Expenses,66005,2595848,3082912,2792041,2819726,4939951,6429455,6081749,6590379,8667372,7063100,8859501,9600724,9325169,8659682,7996459,8744106
12,Interest Income ,- -,- -,- -,- -,31928,- -,14339,46787,55587,171001,160859,62638,60955,100429,55497,17079,9348
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,1091541,3662045,3824936,2469688,2128515,544488,- -,93670,85405
14,Depreciation and Amortization,- -,44555,36301,13472,12290,90289,527742,219653,219651,212009,302738,659545,662954,680058,695911,699724,704538
15,EBITDA,-66005,-2551293,-3046611,-2778569,-2807436,-4849662,-5901713,-5862096,-6370728,-8455363,-6760362,-8199956,-8937770,-8645111,-7963771,-7422325,-8030220
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-66005,-2595848,-3082912,-2792041,-2819726,-4939951,-6429455,-6081749,-6590379,-8667372,-7063100,-8859501,-9600724,-9325169,-8659682,-7996459,-8744106
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,195743,-47710,-125458,-2285289,-5439102,4864928,-1865128,-703766,761714,235242,-5450079,-78083
20,Income Before Tax,- -,- -,- -,- -,- -,-4744208,-6477165,-6207207,-8875668,-14106474,-2198172,-10724629,-10304490,-8563455,-8424440,-13446538,-8822189
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-66005,-3284432,-3118963,-2738337,-2787798,-4744208,-6477165,-6207207,-8875668,-14106474,-2198172,-10724629,-10304490,-8563455,-8424440,-13446538,-8822189
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.05,-2.10,-2.10,-1.40,-1.40,-2.80,-3.50,-2.80,-3.80,-5.60,-0.80,-3.80,-3.40,-2.60,-2.40,-2.39,-0.81
26,EPS Diluted,-0.05,-2.10,-2.10,-1.40,-1.40,-2.80,-3.50,-2.80,-3.80,-5.60,-1.80,-3.80,-3.40,-2.60,-2.40,-2.39,-0.81
27,Weighted Average Shares Outstanding,1428570,1479879,1603650,1672834,1699998,1864255,1988296,2138171,2294627,2561290,2827692,2883473,3005142,3246042,3590069,5616728,10900955
28,Weighted Average Shares Outstanding Diluted,1428570,1479879,1603650,1672834,1699998,1864255,1988296,2138171,2294627,2561290,2961025,2883473,3005142,3246042,3590069,5616728,10900955
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1379006/000114036107019735/0001140361-07-019735-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114036108023975/0001140361-08-023975-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114036109023155/0001140361-09-023155-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114036110041099/0001140361-10-041099-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114036111049401/0001140361-11-049401-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420412056152/0001144204-12-056152-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420413053084/0001144204-13-053084-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420414058463/0001144204-14-058463-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420415054864/0001144204-15-054864-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420416124276/0001144204-16-124276-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420417050412/0001144204-17-050412-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420418053665/0001144204-18-053665-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420419041547/0001144204-19-041547-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000110465920114577/0001104659-20-114577-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000110465921125343/0001104659-21-125343-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2507102,967797,816386,1689442,6955733,9224023,14274985,13923245,36696892,31467748,24162185,15099461,7081771,2555207,13708594,20516677
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2507102,967797,816386,1689442,6955733,9224023,14274985,13923245,36696892,31467748,24162185,15099461,7081771,2555207,13708594,20516677
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,213728,256722,431417,430857,501174,332294,314174,598380,967310,214425,219458,190166,240257,270214,277063,307102
37,Total Current Assets,- -,2720830,1224519,1247803,2120299,7456907,9556317,14589159,14521625,37664202,31682173,24381643,15289627,7322028,2825421,13985657,20823779
38,PP&E,- -,2054,18487,133738,688618,1168374,802367,614842,468896,5496756,11962648,11760767,11271060,10841093,10227247,9544431,9084901
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,7215,6709,192344,367077,- -,425807,417033,408258,399737,391467,383198,374929,366658,358388,350118
41,Intangible Assets,- -,- -,7215,6709,192344,367077,399383,425807,417033,408258,399737,391467,383198,374929,366658,358388,350118
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,6714,100000,80000,- -,- -,- -,- -,1000000,1000000,142531,99541,58929,8162,29187,25863,3515
45,Total Non-Current Assets,- -,8768,125702,220447,880962,1535451,1201750,1040649,1885929,6905014,12504916,12251775,11713187,11224184,10623092,9928682,9438534
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,2729598,1350221,1468250,3001261,8992358,10758067,15629808,16407554,44569216,44187089,36633418,27002814,18546212,13448513,23914339,30262313
48,Accounts Payable,48481,247121,334883,669949,448036,1321213,542484,604039,973825,1135122,405713,863978,476481,330807,1133676,942307,231555
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5474737,3956153,- -,- -,1144830,95306
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,17524,326939,515000,354562,67683,1152441,44692,1175576,204359,91838,195182,405299,232884,551141,1714477,69240,24285
53,Total Current Liabilities,66005,574060,849883,1024511,515719,2473654,587176,1779615,1178184,1226960,600895,6744014,4665518,881948,2848153,2156377,351146
54,Long-Term Debt,- -,917082,- -,- -,- -,- -,- -,- -,3468073,9037568,7181187,3133668,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,3751645,5699703,4619140,3707522,2015354,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,917082,- -,- -,- -,- -,- -,- -,7219718,14737271,11800327,6841190,2015354,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,66005,1491142,849883,1024511,515719,2473654,587176,1779615,8397902,15964231,12401222,13585204,6680872,881948,2848153,2156377,351146
62,Preferred Stock,- -,- -,- -,- -,- -,7854,8228,9874,2990,3194,3584,4091,4349,4531,5114,369,372
63,Common Stock,100000,108878,114069,119271,125299,133982,143582,155645,47026,54621,57242,58179,63305,69172,76898,9083,11515
64,Retained Earnings,-165985,-3350437,-6469400,-9207737,-11995535,-16739743,-23216909,-29424116,-38299784,-52406258,-54099572,-64824201,-75128691,-83692146,-92116586,-105563124,-114385313
65,Other Comprehensive Income/Loss,- -,- -,- -,-8169,-14516,-96030,-614998,-825875,-1036752,-1239986,-1534203,-1850816,-2505501,-3177290,-3864930,-4556384,- -
66,Other Total Stockholders Equity,-20,4480015,6855669,9540374,14370294,23212641,33850988,43934665,47296172,82193414,87358816,89660961,97888480,104459997,106499864,131868018,144284593
67,Total Stockholders Equity,-66005,1238456,500338,443739,2485542,6518704,10170891,13850193,8009652,28604985,31785867,23048214,20321942,17664264,10600360,21757962,29911167
68,Total Liabilities And Stockholders Equity,- -,2729598,1350221,1468250,3001261,8992358,10758067,15629808,16407554,44569216,44187089,36633418,27002814,18546212,13448513,23914339,30262313
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,2729598,1350221,1468250,3001261,8992358,10758067,15629808,16407554,44569216,44187089,36633418,27002814,18546212,13448513,23914339,30262313
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1379006/000114036107019735/0001140361-07-019735-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114036108023975/0001140361-08-023975-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114036109023155/0001140361-09-023155-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114036110041099/0001140361-10-041099-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114036111049401/0001140361-11-049401-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420412056152/0001144204-12-056152-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420413053084/0001144204-13-053084-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420414058463/0001144204-14-058463-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420415054864/0001144204-15-054864-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420416124276/0001144204-16-124276-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420417050412/0001144204-17-050412-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420418053665/0001144204-18-053665-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000114420419041547/0001144204-19-041547-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000110465920114577/0001104659-20-114577-index.htm,https://www.sec.gov/Archives/edgar/data/1379006/000110465921125343/0001104659-21-125343-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-66005,-3284432,-3118963,-2738337,-2787798,-4744208,-6477165,-6207207,-8875668,-14106474,-2198172,-10724629,-10304490,-8563455,-8424440,-13446538,-8822189
74,Depreciation and Amortization,- -,44555,36301,13472,12290,90289,527742,219653,219651,212009,302738,659545,662954,680058,695911,699724,704538
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,982867,445044,2123017,1156597,1227975,1600568,791164,520400,559398,405594
77,Change in Working Capital,66005,2212775,-1772134,-151344,1381288,3378673,3985888,3840403,533897,23093801,-5355964,-13443649,-7013520,-4184029,-6462812,11852012,8643353
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
