,https://roic.ai/company/RRX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,55400000,78100000,103800000,148800000,167400000,168200000,152200000,199800000,219900000,242700000,295900000,281500000,487000000,543500000,544600000,598203000,663571000,605292000,619098000,756557000,1428707000,1619545000,1802497000,2246249000,1826277000,2237978000,2808332000,3166900000,3095700000,3257100000,3509700000,3224500000,3360300000,3645600000,3238000000,2907000000,- -
2,COGS,38300000,53500000,74000000,107700000,123600000,123500000,114600000,146000000,153900000,162100000,199200000,188000000,327100000,363700000,370100000,415225000,497694000,462149000,472343000,589497000,1117943000,1230174000,1389144000,1745569000,1402053000,1688628000,2142343000,2395900000,2312500000,2459800000,2576500000,2359300000,2476200000,2681000000,2377300000,2098300000,- -
3,Gross Profit,17100000,24600000,29800000,41100000,43800000,44700000,37600000,53800000,66000000,80600000,96700000,93500000,159900000,179800000,174500000,182978000,165877000,143143000,146755000,167060000,310764000,389371000,413353000,500680000,424224000,549350000,665989000,771000000,783200000,797300000,933200000,865200000,884100000,964600000,860700000,808700000,- -
4,Gross Profit Ratio,0.3087,0.3150,0.2871,0.2762,0.2616,0.2658,0.2470,0.2693,0.3001,0.3321,0.3268,0.3321,0.3283,0.3308,0.3204,0.3059,0.2500,0.2365,0.2370,0.2208,0.2175,0.2404,0.2293,0.2229,0.2323,0.2455,0.2371,0.2435,0.2530,0.2448,0.2659,0.2683,0.2631,0.2646,0.2658,0.2782,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7800000,10500000,12300000,17800000,20200000,22900000,23200000,29900000,32200000,32600000,32900000,31800000,66600000,76700000,79000000,85821000,109817000,96363000,99529000,111898000,176192000,195354000,207293000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,2200000,2700000,3100000,3300000,3700000,4000000,4500000,7000000,8700000,9000000,10200000,10600000,18900000,22000000,23100000,25549000,- -,- -,- -,- -,- -,- -,- -,270249000,264704000,311615000,410276000,458200000,494200000,516300000,600500000,544600000,554000000,599400000,544300000,512900000,- -
10,Operating Expenses,10000000,13200000,15400000,21100000,23900000,26900000,27700000,36900000,40900000,41600000,43100000,42400000,85500000,98700000,102100000,111370000,109817000,96363000,99529000,111898000,176192000,195354000,207293000,270249000,264704000,311615000,410276000,458200000,494200000,516300000,600500000,544600000,554000000,599400000,544300000,512900000,- -
11,COGS and Expenses,48300000,66700000,89400000,128800000,147500000,150400000,142300000,182900000,194800000,203700000,242300000,230400000,412600000,462400000,472200000,526595000,607511000,558512000,571872000,701395000,1294135000,1425528000,1596437000,2015818000,1666757000,2000243000,2552619000,2854100000,2806700000,2976100000,3177000000,2903900000,3030200000,3280400000,2921600000,2611200000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1479000,1719000,2570000,1740000,1600000,4900000,7900000,4300000,4500000,3200000,1900000,5600000,5900000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27709000,23284000,19576000,31116000,44500000,42400000,39100000,60200000,58700000,56100000,55200000,53000000,39800000,- -
14,Depreciation and Amortization,2200000,2700000,3100000,3300000,3700000,4000000,4500000,7000000,8700000,9000000,10200000,10600000,18900000,22000000,23100000,25549000,31798000,23174000,22072000,21613000,37627000,37682000,46619000,61601000,69144000,72869000,98238000,126000000,128500000,138700000,159400000,155400000,137200000,142400000,134500000,131400000,- -
15,EBITDA,8600000,13000000,16700000,21500000,22600000,21200000,13400000,22300000,32300000,47100000,63300000,62400000,83300000,92000000,86400000,82099000,65840000,60704000,62070000,67775000,147013000,209539000,228649000,290122000,226752000,307869000,349961000,435700000,335400000,263000000,411300000,474600000,465400000,485200000,487600000,417300000,- -
16,EBITDA ratio,0.1552,0.1665,0.1609,0.1445,0.1350,0.1260,0.0880,0.1116,0.1469,0.1941,0.2139,0.2217,0.1710,0.1693,0.1586,0.1372,0.0992,0.1003,0.1003,0.0896,0.1029,0.1294,0.1269,0.1292,0.1242,0.1376,0.1246,0.1376,0.1083,0.0807,0.1172,0.1472,0.1385,0.1331,0.1506,0.1436,- -
17,Operating Income,7100000,11400000,14400000,20000000,19900000,17800000,9900000,16900000,25100000,39000000,53600000,51100000,74400000,81100000,72400000,71608000,56060000,46780000,47226000,55162000,134572000,194017000,206060000,230431000,159520000,237735000,255713000,312800000,208000000,121500000,252800000,320600000,330100000,347000000,351100000,280100000,- -
18,Operating Income ratio,0.1282,0.1460,0.1387,0.1344,0.1189,0.1058,0.0650,0.0846,0.1141,0.1607,0.1811,0.1815,0.1528,0.1492,0.1329,0.1197,0.0845,0.0773,0.0763,0.0729,0.0942,0.1198,0.1143,0.1026,0.0873,0.1062,0.0911,0.0988,0.0672,0.0373,0.0720,0.0994,0.0982,0.0952,0.1084,0.0964,- -
19,Total Other Income Expenses (Gains),-700000,-1100000,-800000,-1800000,-1000000,-600000,-1000000,-1600000,-1400000,-900000,-500000,700000,-10000000,-11100000,-9100000,-15058000,-22018000,-9250000,-6383000,-6604000,-21648000,-19175000,-21123000,-26230000,-21565000,-17006000,-29376000,-42900000,-37500000,-31200000,-55900000,-54200000,-52900000,-54800000,-47300000,-29500000,- -
20,Income Before Tax,6400000,10300000,13600000,18200000,18900000,17200000,8900000,15300000,23700000,38100000,53100000,51800000,64400000,70000000,63300000,56550000,34042000,37530000,40843000,48558000,112924000,174842000,184937000,204201000,137955000,220729000,226337000,269900000,170500000,90300000,196900000,266400000,277200000,292200000,303800000,250600000,- -
21,Income Before Tax Ratio,0.1155,0.1319,0.1310,0.1223,0.1129,0.1023,0.0585,0.0766,0.1078,0.1570,0.1795,0.1840,0.1322,0.1288,0.1162,0.0945,0.0513,0.0620,0.0660,0.0642,0.0790,0.1080,0.1026,0.0909,0.0755,0.0986,0.0806,0.0852,0.0551,0.0277,0.0561,0.0826,0.0825,0.0802,0.0938,0.0862,- -
22,Income Tax expense (Gain),3000000,4900000,6000000,7000000,7400000,6500000,3400000,5800000,9300000,15000000,20300000,19500000,25500000,27000000,25200000,22779000,14452000,13012000,14792000,15728000,39829000,62051000,63683000,72225000,39276000,66045000,68317000,69600000,44500000,54200000,48400000,57100000,59100000,56400000,61200000,56800000,- -
23,Net Income,3400000,5400000,7600000,11200000,11500000,10700000,5500000,9500000,14300000,23100000,32800000,32300000,38900000,43000000,38100000,33771000,19590000,24518000,25206000,30434000,69557000,109806000,118347000,128587000,95048000,149379000,152290000,195600000,120000000,31000000,143300000,203400000,213000000,231200000,238900000,189300000,- -
24,Net Income ratio,0.0614,0.0691,0.0732,0.0753,0.0687,0.0636,0.0361,0.0475,0.0650,0.0952,0.1108,0.1147,0.0799,0.0791,0.0700,0.0565,0.0295,0.0405,0.0407,0.0402,0.0487,0.0678,0.0657,0.0572,0.0520,0.0667,0.0542,0.0618,0.0388,0.0095,0.0408,0.0631,0.0634,0.0634,0.0738,0.0651,- -
25,EPS,0.24,0.35,0.43,0.62,0.58,0.53,0.28,0.47,0.69,1.13,1.60,1.57,1.87,2.06,1.82,1.61,0.94,1.01,1.01,1.24,2.34,3.56,3.79,4.10,2.76,3.91,3.84,4.68,2.66,0.69,3.21,4.55,4.78,5.30,5.69,4.66,- -
26,EPS Diluted,0.24,0.35,0.43,0.62,0.58,0.53,0.28,0.47,0.68,1.11,1.60,1.57,1.83,2.02,1.80,1.61,0.93,1.01,1.00,1.22,2.25,3.28,3.49,3.87,2.63,3.84,3.79,4.64,2.64,0.69,3.18,4.52,4.74,5.26,5.66,4.64,- -
27,Weighted Average Shares Outstanding,14166667,15428571,17674419,18064516,19827586,20188679,19642857,20212766,20724638,20442478,20508890,20616825,20805844,20893182,20959182,20984423,20868896,24186839,25029942,24602868,29675206,30846854,31252145,31343330,34498674,38236168,39687559,41800000,45000000,45000000,44700000,44700000,44600000,43600000,42000000,40600000,- -
28,Weighted Average Shares Outstanding Diluted,14166667,15428571,17674419,18064516,19827586,20188679,19642857,20212766,21029412,20810811,20508890,21101695,21256831,21278497,21169580,20996189,21124204,24310165,25246088,24904287,30878981,33504190,33920886,33250689,36131607,38921699,40144481,42100000,45400000,45300000,45100000,45000000,44900000,43900000,42200000,40800000,- -
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/82811/000008281121000043/0000082811-21-000043-index.htm,undefined
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
