,https://roic.ai/company/FOLD,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,1784000,14967000,64358000,922000,21434000,18411000,363000,1224000,- -,4958000,36930000,91245000,182237000,260886000,305514000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,833000,6236000,14404000,21963000,31044000,34466000
3,Gross Profit,- -,- -,- -,- -,- -,- -,64358000,922000,21434000,- -,363000,- -,- -,4125000,30694000,76841000,160274000,229842000,271048000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,1.0000,1.0000,1.0000,- -,1.0000,- -,- -,0.8320,0.8311,0.8421,0.8795,0.8810,0.8872
5,Research and Development Exp.,4433000,- -,13651640,33630262,31074000,37764000,48081000,39042000,50856000,50273000,41944000,47624000,76943000,104793000,149310000,270902000,286378000,308443000,272049000
6,General and Administrative Exp.,- -,- -,- -,- -,15278000,19666000,19973000,15660000,19880000,19364000,18893000,20717000,47269000,71151000,- -,127200000,169861000,156407000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,6876883,12276559,15278000,19666000,19973000,15660000,19880000,19364000,18893000,20717000,47269000,71151000,88671000,127200000,169861000,156407000,192710000
9,Other Expenses,- -,- -,- -,- -,1237000,1493000,2132000,2058000,1585000,1705000,1719000,1547000,1833000,10071000,3593000,4216000,4775000,8846000,6209000
10,Operating Expenses,- -,- -,20528523,45906821,47589000,58923000,70186000,56760000,72321000,71342000,62556000,69888000,126045000,186015000,241574000,402318000,461014000,473696000,470968000
11,COGS and Expenses,6600000,- -,20831355,46859273,47589000,58923000,70186000,56760000,72321000,71342000,62556000,69888000,126045000,186848000,247810000,416722000,482977000,504740000,505434000
12,Interest Income ,5000,- -,609519,1990722,- -,- -,997000,156000,160000,316000,174000,223000,929000,1602000,4096000,10461000,10249000,3226000,509000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,278000,260000,148000,89000,46000,1484000,1578000,5398000,17240000,22402000,18872000,22425000,32471000
14,Depreciation and Amortization,132000,- -,667383,952452,1237000,1493000,2132000,2058000,1585000,1705000,1719000,1547000,1833000,3242000,3593000,4216000,4775000,8846000,6209000
15,EBITDA,-6468000,- -,-19883498,-44703352,-39930000,-37862000,-4157000,-53757000,-46308000,-50236000,-61380000,-67008000,-124212000,-195141000,-428288000,-322471000,-332263000,-242983000,-202874000
16,EBITDA ratio,-Infinity,- -,-Infinity,-Infinity,-22.3823,-2.5297,-0.0646,-58.3048,-2.1605,-2.7286,-169.0909,-54.7451,-Infinity,-39.3588,-11.5973,-3.5341,-1.8232,-0.9314,-0.6640
17,Operating Income,-6600000,- -,-20831355,-46859273,-45805000,-43956000,-7350000,-55838000,-50887000,-52931000,-64181000,-68701000,-130437000,-181890000,-441985000,-328777000,-304037000,-246998000,-206434000
18,Operating Income ratio,-Infinity,- -,-Infinity,-Infinity,-25.6754,-2.9369,-0.1142,-60.5618,-2.3741,-2.8750,-176.8072,-56.1283,-Infinity,-36.6862,-11.9682,-3.6032,-1.6684,-0.9468,-0.6757
19,Total Other Income Expenses (Gains),-168000,- -,247269,514363,4638000,4601000,783000,-237000,2846000,901000,1036000,-1338000,-1681000,-21891000,-7136000,-20312000,-51873000,-27256000,-35120000
20,Income Before Tax,-6768000,- -,-20584086,-46344910,-41167000,-39355000,-6567000,-56075000,-48041000,-52030000,-63145000,-70039000,-132118000,-203781000,-449121000,-349089000,-355910000,-274254000,-241554000
21,Income Before Tax Ratio,-Infinity,- -,-Infinity,-Infinity,-23.0757,-2.6295,-0.1020,-60.8189,-2.2413,-2.8260,-173.9532,-57.2214,-Infinity,-41.1015,-12.1614,-3.8258,-1.9530,-1.0512,-0.7906
22,Income Tax expense (Gain),- -,- -,-611797,- -,- -,- -,- -,-1139000,-3629000,-3245000,-3512000,-1113000,- -,-3739000,-165119000,-94000,478000,2598000,8906000
23,Net Income,-6768000,-8807102,-19972289,-46344910,-41167000,-39355000,-6567000,-54936000,-44412000,-48785000,-59633000,-68926000,-132118000,-200042000,-284002000,-348995000,-356388000,-276852000,-250460000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-23.0757,-2.6295,-0.1020,-59.5835,-2.0720,-2.6498,-164.2782,-56.3121,-Infinity,-40.3473,-7.6903,-3.8248,-1.9556,-1.0612,-0.8198
25,EPS,-22.06,-29.05,-49.02,-89.58,-3.14,-1.75,-0.29,-1.98,-1.28,-1.07,-1.16,-0.93,-1.20,-1.49,-1.85,-1.88,-1.48,-1.07,-0.92
26,EPS Diluted,-22.06,-29.05,-49.02,-89.58,-3.14,-1.75,-0.29,-1.98,-1.28,-1.07,-1.16,-0.93,-1.20,-1.49,-1.85,-1.88,-1.48,-1.07,-0.92
27,Weighted Average Shares Outstanding,307539,307539,410220,735967,13235755,22493803,22624134,27734797,34569642,45565217,51286059,74444157,109923815,134401588,153355144,185790021,240421001,258867380,271421986
28,Weighted Average Shares Outstanding Diluted,307539,307539,410220,735967,13235755,22493803,22624134,27734797,34569642,45565217,51286059,74444157,109923815,134401588,153355144,185790021,240421001,258867380,271421986
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1178879/000089322008000264/0000893220-08-000264-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000136231009001208/0001362310-09-001208-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000095012310023137/0000950123-10-023137-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000095012311022110/0000950123-11-022110-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000119312512085717/0001193125-12-085717-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746913002611/0001047469-13-002611-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746914001702/0001047469-14-001702-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746915001585/0001047469-15-001585-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746916010563/0001047469-16-010563-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000104746917001128/0001047469-17-001128-index.html,- -,https://www.sec.gov/Archives/edgar/data/1178879/000117887919000024/0001178879-19-000024-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000117887920000015/0001178879-20-000015-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000117887921000004/0001178879-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1178879/000117887922000006/0001178879-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,6449151,12126581,44188000,28073000,19339000,29572000,25668000,33971000,43640000,24074000,69485000,- -,49060000,79749000,142837000,163240000,245197000
32,Short-Term Investments,- -,- -,17969096,42572468,117339000,93051000,58885000,77873000,30034000,65151000,38360000,127601000,144548000,- -,309502000,424403000,309903000,320029000,237299000
33,Cash and Short-Term Investments,- -,- -,24418247,54699049,161527000,121124000,78224000,107445000,55702000,99122000,82000000,151675000,214033000,- -,358562000,504152000,452740000,483269000,482496000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,5043000,3225000,759000,- -,- -,- -,9464000,21962000,33284000,46923000,52672000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4623000,8390000,14041000,19556000,26818000
36,Other Current Assets,- -,- -,441081,321275,1513000,2463000,2262000,2236000,5903000,2270000,5519000,2902000,2568000,- -,19316000,16592000,20008000,29721000,34848000
37,Total Current Assets,- -,- -,24859328,55020324,163040000,123587000,80486000,109681000,66648000,104617000,88278000,154577000,216601000,- -,391965000,551096000,520073000,579469000,596834000
38,PP&E,- -,- -,3278887,4357912,3790000,4919000,4399000,2604000,2438000,5029000,4120000,2811000,6178000,- -,9062000,11375000,81020000,67159000,63082000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11613000,11613000,197797000,- -,197797000,197797000,197797000,197797000,197797000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23000000,23000000,486700000,- -,23000000,23000000,23000000,23000000,23000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34613000,34613000,684497000,- -,220797000,220797000,220797000,220797000,220797000
