,https://roic.ai/company/CLNE,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,40293500,57641605,77955083,91547316,117716233,129472533,131503277,211834000,292717000,334008000,352475000,428940000,384320000,402656000,341599000,346419000,344065000,291724000,255646000
2,COGS,- -,37622166,48772296,72004077,74047901,85660329,98767585,82920867,141889000,216684000,289945000,267080000,357845000,313704000,314812000,312443000,264774000,261732000,233092000,260788000
3,Gross Profit,- -,2671334,8869309,5951006,17499415,32055904,30704948,48582410,69945000,76033000,44063000,85395000,71095000,70616000,87844000,29156000,81645000,82333000,58632000,-5142000
4,Gross Profit Ratio,- -,0.0663,0.1539,0.0763,0.1912,0.2723,0.2372,0.3694,0.3302,0.2597,0.1319,0.2423,0.1657,0.1837,0.2182,0.0854,0.2357,0.2393,0.2010,-0.0201
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,11131743,11112878,17108425,20860181,35933694,62415554,47509662,63258000,86850000,117976000,138024000,126435000,113653000,105503000,95669000,77207000,73444000,68516000,89906000
9,Other Expenses,- -,-9189560,-6761930,31891575,86902043,7107942,10234847,34358449,12209000,27751000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,1942183,4350948,49000000,107762224,43041636,72650401,81868111,75467000,114601000,117976000,138024000,126435000,113653000,105503000,95669000,77207000,73444000,68516000,89906000
11,COGS and Expenses,- -,39564349,53123244,48993302,181810125,128701965,171417986,164788978,217356000,331285000,407921000,405104000,484280000,427357000,420315000,408112000,341981000,335176000,301608000,350694000
12,Interest Income ,- -,- -,- -,59780,746339,- -,- -,- -,- -,- -,- -,- -,- -,- -,827000,1497000,2857000,2437000,1345000,1082000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,9616000,16069000,29287000,44357000,94970000,29595000,17751000,15924000,7574000,7348000,4430000
14,Depreciation and Amortization,- -,2972315,3810419,3948544,5765001,7107942,9623672,16991695,22487000,30406000,36261000,42318000,49058000,55219000,59262000,56614000,51850000,52859000,47682000,45184000
15,EBITDA,- -,3198574,7626485,32829184,-84006948,-564540,-30943861,-15953505,18535000,-8314000,-47631000,8352000,4831000,17561000,78043000,-6786000,64325000,81712000,45475000,-43413000
16,EBITDA ratio,- -,0.0794,0.1323,0.4211,-0.9176,-0.0048,-0.2390,-0.1213,0.0875,-0.0284,-0.1426,0.0237,0.0113,0.0457,0.1938,-0.0199,0.1857,0.2375,0.1559,-0.1698
17,Operating Income,- -,729151,4518361,28961781,-90262809,-10985732,-41945453,-33285701,-5522000,-38568000,-70522000,-51691000,-54364000,-41623000,-17637000,-134447000,3895000,9928000,-9844000,-95048000
18,Operating Income ratio,- -,0.0181,0.0784,0.3715,-0.9860,-0.0933,-0.3240,-0.2531,-0.0261,-0.1318,-0.2111,-0.1467,-0.1267,-0.1083,-0.0438,-0.3936,0.0112,0.0289,-0.0337,-0.3718
19,Total Other Income Expenses (Gains),- -,-502892,-702295,-81141,490860,3313250,1273091,-98597,1313000,-9590000,-29046000,-11513000,-35420000,-92221000,5252000,51142000,-12737000,4189000,-1376000,1012000
20,Income Before Tax,- -,226259,3816066,28880640,-89771949,-7672482,-40672362,-33384298,-4209000,-48158000,-99568000,-63204000,-89784000,-133844000,-12385000,-83305000,-8842000,14117000,-11220000,-94036000
21,Income Before Tax Ratio,- -,0.0056,0.0662,0.3705,-0.9806,-0.0652,-0.3141,-0.2539,-0.0199,-0.1645,-0.2981,-0.1793,-0.2093,-0.3483,-0.0308,-0.2439,-0.0255,0.0410,-0.0385,-0.3678
22,Income Tax expense (Gain),- -,210797,1686825,11623053,-12271208,1221880,289141,303501,-1436000,-703000,1294000,3715000,1075000,1614000,1339000,-1914000,341000,858000,309000,119000
23,Net Income,- -,15462,2129241,17257587,-77500741,-8894362,-40856674,-33248701,-2516000,-47633000,-101255000,-66968000,-89659000,-134242000,-12153000,-79237000,-3790000,20421000,-9864000,-93146000
24,Net Income ratio,- -,0.0004,0.0369,0.2214,-0.8466,-0.0756,-0.3156,-0.2528,-0.0119,-0.1627,-0.3032,-0.1900,-0.2090,-0.3493,-0.0302,-0.2320,-0.0109,0.0594,-0.0338,-0.3644
25,EPS,- -,0.00,0.11,0.76,-2.45,-0.22,-0.90,-0.60,-0.04,-0.68,-1.16,-0.71,-0.96,-1.47,-0.10,-0.53,-0.02,0.10,-0.05,-0.42
26,EPS Diluted,- -,0.00,0.11,0.75,-2.45,-0.22,-0.90,-0.60,-0.04,-0.68,-1.16,-0.71,-0.96,-1.47,-0.10,-0.53,-0.02,0.10,-0.05,-0.42
27,Weighted Average Shares Outstanding,- -,17572636,18949636,22602033,31676399,40258440,45367991,55021961,62549311,70415431,87455073,93958758,93678432,91607578,119395423,150430239,180655435,204573287,200657912,223008202
28,Weighted Average Shares Outstanding Diluted,- -,17572636,18949636,23191674,31676399,40258440,45367991,55021961,62549311,70415431,87455073,93958758,93678432,91607578,119395423,150430239,180655435,205987509,200657912,223008202
