,https://roic.ai/company/PYPD,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,2641000,- -,5634000,7708000,9736000,12550000,14083000,16954000,30423000
6,General and Administrative Exp.,938000,- -,2933000,2551000,4064000,5814000,4477000,7704000,12452000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,1614000,- -
8,"Selling, General and Administrative Exp.",938000,- -,2933000,2551000,4064000,5814000,4477000,9318000,12452000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,3579000,- -,8567000,10259000,13800000,18364000,18560000,26272000,42875000
11,COGS and Expenses,3579000,- -,8567000,10259000,13800000,18364000,18560000,26272000,42875000
12,Interest Income ,- -,- -,- -,- -,- -,126000,60000,474000,- -
13,Interest Expense (Gain),- -,- -,-1528000,1133000,40688000,42000,15000,17000,- -
14,Depreciation and Amortization,71000,- -,108000,127000,205000,411000,947000,1012000,1118000
15,EBITDA,-3508000,- -,-8459000,-10132000,-13595000,-17953000,-17613000,-24710000,-42875000
16,EBITDA ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
17,Operating Income,-3579000,- -,-8567000,-10259000,-13800000,-18364000,-18560000,-26272000,43145000
18,Operating Income ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity
19,Total Other Income Expenses (Gains),-305000,- -,-1181000,-1133000,-40688000,24281000,11655000,-10597000,-85476000
20,Income Before Tax,-3884000,- -,-9748000,-11392000,-54488000,5917000,-6905000,-36869000,-42331000
21,Income Before Tax Ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-3884000,- -,-9748000,-11392000,-54488000,5917000,-6905000,-36869000,-42331000
24,Net Income ratio,-Infinity,- -,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity
25,EPS,-0.66,- -,-0.74,-1.29,-6.32,0.01,-1.13,-4.07,-3.58
26,EPS Diluted,-0.66,- -,-0.74,-1.29,-6.32,-0.04,-1.13,-4.07,-3.58
27,Weighted Average Shares Outstanding,5886587,- -,13112220,8822250,8822250,13296451,11815336,9582405,11815336
28,Weighted Average Shares Outstanding Diluted,5886587,- -,13112220,8822250,8822250,13296451,11815336,9582405,11815336
29,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,1263000,- -,1679000,10221000,3907000,7327000,3937000,4319000,9819000
32,Short-Term Investments,- -,- -,- -,7530000,14031000,- -,22685000,40157000,22384000
33,Cash and Short-Term Investments,1263000,- -,1679000,17751000,17938000,7327000,26622000,44476000,32203000
34,Net Receivables,76000,- -,127000,47000,104000,- -,42000,139000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,265000,- -,100000,456000,688000,707000,750000,2585000,2608000
37,Total Current Assets,1604000,- -,1906000,18254000,18730000,8034000,27414000,47200000,34811000
38,PP&E,- -,- -,435000,- -,- -,- -,- -,5890000,8761000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,355000,- -,139000,983000,4254000,6450000,6351000,22757000,663000
45,Total Non-Current Assets,355000,- -,574000,983000,4254000,6450000,6351000,28647000,9424000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,1959000,- -,2480000,19237000,22984000,14484000,33765000,75847000,44235000
48,Accounts Payable,234000,- -,579000,778000,2019000,1132000,1581000,974000,4136000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,241000,- -
52,Other Current Liabilities,268000,- -,1095000,920000,1345000,2557000,998000,1662000,3670000
53,Total Current Liabilities,502000,- -,1674000,1698000,3364000,3689000,2579000,2877000,7806000
54,Long-Term Debt,- -,- -,193000,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,9517000,- -,844000,51498000,108266000,92505000,251000,193000,199000
58,Total Non-Current Liabilities,9517000,- -,1037000,51498000,108266000,92505000,251000,193000,199000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,10019000,- -,2711000,53196000,111630000,96194000,2830000,3070000,8005000
62,Preferred Stock,- -,- -,- -,44026000,59983000,69347000,- -,- -,- -
63,Common Stock,27000,- -,126000,126000,129000,- -,- -,- -,- -
64,Retained Earnings,-8433000,- -,-25180000,-36572000,-92315000,-86398000,-93303000,-132286000,-174617000
65,Other Comprehensive Income/Loss,-156000,- -,-434000,-561000,-766000,-1177000,-2124000,-3136000,- -
66,Other Total Stockholders Equity,502000,- -,25257000,-40978000,-55677000,5865000,126362000,208199000,- -
67,Total Stockholders Equity,-8060000,- -,-231000,-33959000,-88646000,-81710000,30935000,72777000,36230000
68,Total Liabilities And Stockholders Equity,1959000,- -,2480000,19237000,22984000,14484000,33765000,75847000,44235000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,1959000,- -,2480000,19237000,22984000,14484000,33765000,75847000,44235000
71,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-3884000,- -,-9748000,-11392000,-54488000,5917000,-6905000,-36869000,-42331000
74,Depreciation and Amortization,71000,- -,108000,127000,205000,411000,947000,1012000,1118000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,373000,- -,- -,598000,1375000,995000,976000,4577000,4750000
77,Change in Working Capital,636000,- -,2412000,-237000,-187000,472000,-1011000,-1689000,4347000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,175000,- -,- -,199000,385000,-887000,449000,-607000,2221000
81,Other Working Capital,354000,- -,- -,3000,-104000,488000,11000,-12000,- -
82,Other Non-Cash Items,286000,- -,655000,1171000,40783000,-24473000,-11365000,11373000,-270000
83,Cash Provided by Operating Activities,-2518000,- -,-6573000,-9733000,-12312000,-16678000,-17358000,-21596000,-32386000
84,CAPEX,-48000,- -,-113000,-539000,-1884000,-3074000,-879000,-1176000,-2993000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-65000,- -,11000,-7530000,-6501000,14031000,-22685000,-39592000,39893000
89,Cash Used for Investing Activites,-113000,- -,-102000,-8069000,-8385000,10957000,-23564000,-40768000,36900000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,62757000,- -
92,Common Stock Repurchased,- -,- -,3821000,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,2917000,- -,2367000,26344000,14383000,9388000,37653000,17000,1034000
95,Cash Used/Provided by Financing Activities,2917000,- -,6188000,26344000,14383000,9388000,37653000,62774000,1034000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,286000,- -,-487000,8542000,-6314000,3667000,-3269000,410000,5548000
98,Cash at the End of Period,1263000,- -,-487000,10221000,3907000,7767000,4498000,4908000,10456000
99,Cash at the Beginning of Period,977000,- -,- -,1679000,10221000,4100000,7767000,4498000,4908000
100,Free Cash Flow,-2566000,- -,-6686000,-10272000,-14196000,-19752000,-18237000,-22772000,-35379000
101,SEC Link,- -,undefined,- -,- -,- -,- -,- -,- -,- -
102,false,,,,,,,,,
