,https://roic.ai/company/MODV,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,22739534,59276162,96965644,145708368,191857044,285166619,691670270,801013266,879696657,942980596,1105888574,1122682000,1481171000,1695446000,1578889000,1623882000,1384965000,1509944000,1368675000,1996892000
2,COGS,20145113,45373174,71946198,108938934,149516271,223590447,609923467,690426431,763280597,843824502,1010775855,1020051000,1338793000,1544365000,1452754000,1489044000,1284603000,1401152000,1078795000,1584298000
3,Gross Profit,2594421,13902988,25019446,36769434,42340773,61576172,81746803,110586835,116416060,99156094,95112719,102631000,142378000,151081000,126135000,134838000,100362000,108792000,289880000,412594000
4,Gross Profit Ratio,0.1141,0.2345,0.2580,0.2523,0.2207,0.2159,0.1182,0.1381,0.1323,0.1052,0.0860,0.0914,0.0961,0.0891,0.0799,0.0830,0.0725,0.0721,0.2118,0.2066
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,48411826,44010000,46461000,- -,53382701,48633000,63635000,73616000,69911000,72336000,46098000,67244000,140539000,271266000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2495359,6119990,12116236,18178436,23436425,30874910,48411826,44009666,46460682,48860624,53382701,48633000,63635000,73616000,69911000,72336000,46098000,67244000,140539000,271266000
9,Other Expenses,-3207910,903617,1325420,110821564,152563575,228125090,792588174,702990334,775539318,857139376,1028617299,723367000,986365000,1402384000,1116089000,1208664000,1314902000,1417756000,1104978000,51557000
10,Operating Expenses,-712551,7023607,13441656,129000000,176000000,259000000,841000000,747000000,822000000,906000000,1082000000,772000000,1050000000,1476000000,1186000000,1281000000,1361000000,1485000000,1245517000,322823000
11,COGS and Expenses,19432562,52396781,85387854,129211123,176415855,259454452,671056787,747288204,822393306,906341431,1079181525,1083556000,1431916000,1671450000,1549269000,1587849000,1346514000,1485212000,1245517000,1907121000
12,Interest Income ,- -,77805,175366,268182,1456409,1470025,978877,365853,256033,204809,131835,141000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),837282,1639932,432729,1033019,855288,3071537,19578404,20798250,16267881,10206032,7639559,7035000,14600000,16213000,1583000,1278000,1783000,850000,17599000,49081000
14,Depreciation and Amortization,361328,969552,1427530,2215316,3620799,5280624,12721494,12852107,12652027,13656305,15022969,14872000,29488000,58301000,47725000,26469000,27677000,16816000,26182000,56998000
15,EBITDA,-3341260,6947442,13180686,18980743,20518397,32462816,-135616317,66943022,70211411,50747779,39355308,53122000,71865000,174486000,158272000,85517000,15163000,18059000,157422000,108223000
16,EBITDA ratio,-0.1469,0.1172,0.1359,0.1303,0.1069,0.1138,-0.1961,0.0836,0.0798,0.0538,0.0356,0.0473,0.0485,0.1029,0.1002,0.0527,0.0109,0.0120,0.1150,0.0542
17,Operating Income,-262266,6879381,11577790,16497245,15441189,25712167,-149316688,53725062,57303351,36639165,24200504,38634000,42340000,23996000,8617000,36033000,24276000,24732000,123158000,89771000
18,Operating Income ratio,-0.0115,0.1161,0.1194,0.1132,0.0805,0.0902,-0.2159,0.0671,0.0651,0.0389,0.0219,0.0344,0.0286,0.0142,0.0055,0.0222,0.0175,0.0164,0.0900,0.0450
