,https://roic.ai/company/NVFY,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,43162026,66297498,78356493,98711275,108820112,92648195,106494132,88645204,21983279,11350230,12813223
2,COGS,- -,31048952,51572076,62990736,79319418,90430560,79124451,86072895,72693005,20690015,31242671,23130588
3,Gross Profit,- -,12113074,14725422,15365757,19391857,18389552,13523744,20421237,15952199,1293264,-19892441,-10317365
4,Gross Profit Ratio,- -,0.2806,0.2221,0.1961,0.1965,0.1690,0.1460,0.1918,0.1800,0.0588,-1.7526,-0.8052
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,27735,3308312,4788947,5921091,7823767,8678402,8965566,9485595,7023308,5504079,4664230,5723749
7,Selling and Marketing Exp.,- -,1865086,3158191,3345903,5477132,6161294,5324270,4131772,3980826,1585542,1748105,3754510
8,"Selling, General and Administrative Exp.",27735,5173398,7947138,9266994,13300899,14839696,14289836,13617367,11004134,7089621,6412335,9478259
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,27735,5173398,7947138,9266994,13300899,14839696,14289836,13617367,11004134,7089621,6412335,9478259
11,COGS and Expenses,27735,36222350,59519214,72257730,92620317,105270256,93414287,99690262,83697139,27779636,37655006,32608847
12,Interest Income ,- -,1402,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,76836,188868,292291,158336,387477,283795,- -,- -,- -,- -,8144
14,Depreciation and Amortization,- -,663031,764596,1324881,1700758,1860598,603155,1524863,444383,510777,747814,853169
15,EBITDA,-27735,7565543,7459001,7083975,11394478,4999903,-1067923,8049287,5084090,-7838905,-25979676,-19265073
16,EBITDA ratio,-Infinity,0.1753,0.1125,0.0904,0.1154,0.0459,-0.0115,0.0756,0.0574,-0.3566,-2.2889,-1.5035
17,Operating Income,-27735,6939676,6654609,6060884,5250713,3549856,-766092,6803870,4948065,-5796357,-26304776,-19795624
18,Operating Income ratio,-Infinity,0.1608,0.1004,0.0774,0.0532,0.0326,-0.0083,0.0639,0.0558,-0.2637,-2.3176,-1.5449
19,Total Other Income Expenses (Gains),- -,-114000,-149072,-594081,4284671,-798028,-362564,-279446,-308358,-89281,-96183,-2976
20,Income Before Tax,- -,6825676,6505537,5466803,9535384,2751828,-1128656,6524424,4639707,-5885638,-26400959,-19798600
21,Income Before Tax Ratio,- -,0.1581,0.0981,0.0698,0.0966,0.0253,-0.0122,0.0613,0.0523,-0.2677,-2.3260,-1.5452
22,Income Tax expense (Gain),- -,1460511,1071654,599342,980736,551586,-836620,2759813,-659918,251042,-649165,-163893
23,Net Income,-27735,5365165,5433883,4867461,8554648,2200242,-1118253,3764611,5299625,-8600724,-26078325,-19962493
