,https://roic.ai/company/PCOR,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,186396000,289194000,400291000,514821000
2,COGS,- -,37401000,53166000,71663000,98312000
3,Gross Profit,- -,148995000,236028000,328628000,416509000
4,Gross Profit Ratio,- -,0.7993,0.8162,0.8210,0.8090
5,Research and Development Exp.,- -,55950000,87022000,124661000,237290000
6,General and Administrative Exp.,- -,35365000,58158000,73465000,156635000
7,Selling and Marketing Exp.,- -,112723000,173472000,189032000,308511000
8,"Selling, General and Administrative Exp.",- -,148088000,231630000,262497000,465146000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,- -,204038000,318652000,387158000,702436000
11,COGS and Expenses,- -,241439000,371818000,458821000,800748000
12,Interest Income ,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,1394000,930000,2060000,2153000
14,Depreciation and Amortization,5483000,8254000,14881000,25994000,36376000
15,EBITDA,- -,-46773000,-67225000,-69106000,-250394000
16,EBITDA ratio,- -,-0.2509,-0.2325,-0.1726,-0.4864
17,Operating Income,-55128000,-55043000,-82624000,-58530000,-285927000
18,Operating Income ratio,-Infinity,-0.2953,-0.2857,-0.1462,-0.5554
19,Total Other Income Expenses (Gains),- -,-1378000,-412000,-38630000,-2996000
20,Income Before Tax,- -,-56421000,-83036000,-97160000,-288923000
21,Income Before Tax Ratio,- -,-0.3027,-0.2871,-0.2427,-0.5612
22,Income Tax expense (Gain),- -,250000,71000,-993000,-23758000
23,Net Income,- -,-56671000,-83107000,-96167000,-265165000
24,Net Income ratio,- -,-0.3040,-0.2874,-0.2402,-0.5151
25,EPS,-0.47,-0.51,-0.71,-1.16,-2.02
26,EPS Diluted,-0.47,-0.51,-0.71,-1.16,-2.02
27,Weighted Average Shares Outstanding,117731615,111650157,117731615,111650157,131438987
28,Weighted Average Shares Outstanding Diluted,117731615,111650157,117731615,111650157,131438987
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1611052/000156459022008783/0001564590-22-008783-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,94853000,118452000,379907000,586108000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,94853000,118452000,379907000,586108000
34,Net Receivables,- -,36226000,58244000,77692000,113977000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,19621000,24375000,30370000,52203000
37,Total Current Assets,- -,150700000,201071000,487969000,752288000
38,PP&E,- -,91540000,109667000,120928000,120512000
39,Goodwill,- -,423000,114528000,125966000,540922000
40,Intangible Assets,- -,13355000,51382000,52967000,229039000
41,Intangible Assets,- -,13778000,165910000,178933000,769961000
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,18978000,27016000,32937000,47896000
45,Total Non-Current Assets,- -,124296000,302593000,332798000,938369000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,- -,274996000,503664000,820767000,1690657000
48,Accounts Payable,- -,7754000,9436000,9012000,15490000
49,Short-Term Debt,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,110546000,173521000,213438000,301557000
52,Other Current Liabilities,- -,27508000,41817000,39260000,86657000
53,Total Current Liabilities,- -,145808000,224774000,261710000,403704000
54,Long-Term Debt,- -,- -,- -,- -,88917000
55,Deferred Revenue,- -,1207000,4390000,6373000,4024000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,327667000,528258000,824786000,4723000
58,Total Non-Current Liabilities,- -,328874000,532648000,831159000,97664000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,73111000,83656000,95393000,88917000
61,Total Liabilities,- -,474682000,757422000,1092869000,501368000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,2000,3000,3000,13000
64,Retained Earnings,- -,-217717000,-300824000,-397047000,-662212000
65,Other Comprehensive Income/Loss,- -,-5729000,-9995000,-15347000,-583000
66,Other Total Stockholders Equity,- -,23758000,57058000,140289000,- -
67,Total Stockholders Equity,- -,-199686000,-253758000,-272102000,1189289000
68,Total Liabilities And Stockholders Equity,- -,274996000,503664000,820767000,1690657000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,274996000,503664000,820767000,1690657000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1611052/000156459022008783/0001564590-22-008783-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,- -,-56671000,-83107000,-96167000,-265165000
74,Depreciation and Amortization,5483000,8254000,14881000,25994000,36376000
75,Deferred Income Tax,- -,182000,- -,-1311000,-24493000
76,Stock Based Compensation,3432000,7489000,19238000,43960000,227161000
77,Change in Working Capital,15153000,-22856000,-28595000,249962000,54043000
78,Accounts Receivable,-11760000,-15371000,-19609000,-19570000,-34157000
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,2908000,319000,805000,724000,3954000
81,Other Working Capital,27748000,4892000,-23703000,226259000,68514000
82,Other Non-Cash Items,-48728000,42499000,70579000,-200585000,8808000
83,Cash Provided by Operating Activities,-24660000,-21103000,-7004000,21853000,36730000
84,CAPEX,-9117000,-21832000,-27990000,-18966000,-27631000
85,Acquisitions Net,- -,- -,- -,- -,-509837000
86,Purchases of Investments,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -
88,Other Investing Activites,-3943000,-10216000,-53631000,-26309000,-19548000
89,Cash Used for Investing Activites,-9117000,-23957000,-66685000,-33511000,-541768000
90,Debt Repayment,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,665129000
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,715000,78149000,92757000,272117000,46697000
95,Cash Used/Provided by Financing Activities,715000,78149000,92757000,272117000,711826000
96,Effect of Forex Changes on Cash,1000,-284000,-61000,966000,-829000
97,Net Change In Cash,-33061000,32805000,19007000,261425000,205959000
98,Cash at the End of Period,70016000,102821000,121828000,383253000,589212000
99,Cash at the Beginning of Period,103077000,70016000,102821000,121828000,383253000
