,https://roic.ai/company/FTFT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,198,- -,- -,1703148,6225031,4595962,- -,41648605,59249950,93249629,84021429,102356001,78986296,99060202,86440402,34407422,10463135,888670,955172,370657
2,COGS,- -,- -,- -,1310090,3602453,2639675,- -,23607409,33869358,55233139,56548845,69283010,51433323,69783694,60315601,25233950,8728754,975042,464307,35286
3,Gross Profit,- -,- -,- -,393058,2622578,1956287,- -,18041196,25380592,38016490,27472584,33072991,27552973,29276508,26124801,9173472,1734381,-86372,490865,335371
4,Gross Profit Ratio,- -,- -,- -,0.2308,0.4213,0.4257,- -,0.4332,0.4284,0.4077,0.3270,0.3231,0.3488,0.2955,0.3022,0.2666,0.1658,-0.0972,0.5139,0.9048
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,449695,1102658,1087443,557361,570278,20183,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,8011,22497,2472,- -,- -,- -,- -,2830739,2433205,3449746,5138388,4409055,5296910,7394878,10685490,5010222,10416244,11944924,4913656,10197533
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,1453461,918406,1596819,2728129,2899141,4058784,5699475,5196657,1932148,719452,188579,500949,39685
8,"Selling, General and Administrative Exp.",8011,22497,2472,6025401,2784802,1823102,262745,4284200,3351611,5046565,7866517,7308196,9355694,13094353,15882147,6942370,11135696,12133503,5414605,10237218
9,Other Expenses,- -,- -,- -,10353964,58794,105313,3564,- -,- -,- -,- -,-1908802,-1295949,-661655,-1204649,-16738,-554553,- -,5234205,3356725
10,Operating Expenses,8011,- -,- -,16379365,2843596,1928415,266309,4733895,4454269,6134008,8423878,5969672,8079928,12432698,14677498,6925632,10581143,12133503,10648810,13593943
11,COGS and Expenses,8011,22497,2472,17689455,6446049,4568090,266309,28341304,38323627,61367147,64972723,75252682,59513251,82216392,74993099,32159582,19309897,13108545,11113117,13629229
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,63775,68495,108345,277458,314628,319623,666471,351915,158730,1880,1372,3995,218028
13,Interest Expense (Gain),- -,12277,3557,- -,- -,- -,- -,932048,817759,801496,849743,888574,1983831,4547914,3885018,1659300,3076051,1624683,523676,372169
14,Depreciation and Amortization,- -,- -,- -,48876,584473,595457,529710,1903117,2012212,2393856,3552740,4596276,5169597,5597009,7617752,5426089,674277,- -,4674923,5217
15,EBITDA,-7813,-22497,-2472,-28868215,-646787,-873282,263401,15076607,24044419,32896812,22696938,30526220,23961401,22347922,18718855,3141885,-98567252,-168372133,-20030333,89307697
16,EBITDA ratio,-39.4596,-Infinity,-Infinity,-16.9499,-0.1039,-0.1900,Infinity,0.3620,0.4058,0.3528,0.2701,0.2982,0.3034,0.2256,0.2166,0.0913,-9.4204,-189.4653,-20.9704,240.9443
17,Operating Income,-7813,-22497,-2472,-15986307,-221018,27872,-266309,13053000,20926323,31882482,19048706,25194517,18177096,17442410,10244067,2231102,-99087205,-190516623,-12936291,-15017631
18,Operating Income ratio,-39.4596,-Infinity,-Infinity,-9.3863,-0.0355,0.0061,-Infinity,0.3134,0.3532,0.3419,0.2267,0.2461,0.2301,0.1761,0.1185,0.0648,-9.4701,-214.3840,-13.5434,-40.5162
19,Total Other Income Expenses (Gains),- -,-12277,- -,-10305088,-1010242,-1311824,-2822200,-198423,1503952,-389149,171941,859608,-368259,-4480043,-2329867,-1262971,-2948229,764503,-748723,-15002310
20,Income Before Tax,-7813,-34774,- -,- -,-1231260,-1283952,-3088509,12854577,22430275,31493333,19220647,26054125,17808837,12962367,7914200,968131,-102035434,-189752120,-13685014,-30019941
21,Income Before Tax Ratio,-39.4596,-Infinity,- -,- -,-0.1978,-0.2794,-Infinity,0.3086,0.3786,0.3377,0.2288,0.2545,0.2255,0.1309,0.0916,0.0281,-9.7519,-213.5237,-14.3273,-80.9912
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,2231140,6025675,8520884,5089285,6871238,4639259,4331551,4267350,1601967,266120,237,- -,- -
23,Net Income,-7813,-34774,-6029,-28917091,-1231260,-1468739,-3190721,10010302,15188773,21180576,13205170,18170132,12168714,7871448,2948735,-5545471,-102583700,-169997053,-25228932,88930311
24,Net Income ratio,-39.4596,-Infinity,-Infinity,-16.9786,-0.1978,-0.3196,-Infinity,0.2404,0.2564,0.2271,0.1572,0.1775,0.1541,0.0795,0.0341,-0.1612,-9.8043,-191.2938,-26.4130,239.9262
25,EPS,-14.03,-62.43,-1.94,-11400.32,-197.24,-197.24,-364.53,4.44,6.72,7.36,4.00,5.44,3.68,2.40,0.88,-1.41,-21.11,-7.85,-0.79,2.34
26,EPS Diluted,-14.03,-78.90,-1.94,-11400.32,-197.24,-197.24,-364.53,4.44,6.72,7.36,4.00,5.44,3.68,2.40,0.88,-1.41,-21.11,-7.85,-0.79,1.97
27,Weighted Average Shares Outstanding,557,557,3114,2539,6123,8191,8500,1852528,1916677,2709246,3211300,3263408,3332687,3332687,3353520,3933999,4859954,21636146,31996279,38057065
28,Weighted Average Shares Outstanding Diluted,557,557,3114,2539,6123,8191,8500,2235997,2335344,2888066,3332687,3332687,3332687,3332687,3353520,3933999,5591977,21966612,31996279,43147644
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1066923/000118518508000031/entech10ksb9302007.htm,- -,https://www.sec.gov/Archives/edgar/data/1066923/000141588910000060/0001415889-10-000060-index.html,https://www.sec.gov/Archives/edgar/data/1066923/000141588911000198/0001415889-11-000198-index.html,https://www.sec.gov/Archives/edgar/data/1066923/000141588912000443/0001415889-12-000443-index.html,https://www.sec.gov/Archives/edgar/data/1066923/000141588913000552/0001415889-13-000552-index.html,https://www.sec.gov/Archives/edgar/data/1066923/000121390014001898/f10k2013_skypeoplefruit.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390015002243/f10k2014_skypeoplefruit.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390016018959/f10k2015_skypeoplefruit.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390017003881/f10k2016_skypeoplefruit.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390018004539/f10k2017_futurefintech.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390019017066/f10k2018_futurefintech.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390020013926/f10k2019_futurefintech.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390021021762/0001213900-21-021762-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,12565,11770,158093,113153,83315,271,15274171,14404500,49350385,61154007,77560278,66888954,25130302,50006914,1143585,4586757,253804,539316,9788
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,12565,11770,158093,113153,83315,271,15274171,14404500,49350385,61154007,77560278,66888954,25130302,50006914,1143585,4586757,253804,539316,9788
34,Net Receivables,- -,- -,- -,339626,1114889,691542,120000,11907900,27621753,47302610,36191890,49637378,34754466,66942309,50327379,35742967,53865616,23847407,12443,82
35,Inventory,- -,- -,- -,92298,198490,426854,- -,1844397,4925625,5436117,6126376,7278191,4381900,4118630,3444740,3041300,2097307,63017,3594,- -
36,Other Current Assets,- -,- -,- -,49427,32186,38460,- -,1087076,1536042,537185,557209,162112,9050696,8420284,9216120,61698631,1437657,-1,94441633,5650
37,Total Current Assets,- -,12565,11770,639444,1458718,1240171,120271,30113544,48487920,102626297,104029482,134637959,115076016,104611525,112995153,101626483,61987337,24164227,94996986,15520
38,PP&E,- -,- -,- -,277002,411836,384306,245,20406967,23855648,36337251,44277228,59898460,68429327,102781488,108815165,113377931,61083814,23782382,17855,17
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,6404771,6577834,6541825,6673496,7718363,6522152,6502420,25867932,31854360,33118454,- -,- -,41
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,6404771,6577834,6541825,6673496,7718363,6522152,6502420,25867932,31854360,33118454,- -,5312906,41
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,12250000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,8908,35420,40092,- -,2362049,4740242,1694486,5323162,-7035771,43092048,65538659,22724820,14802256,34390548,- -,3402823,- -
45,Total Non-Current Assets,- -,- -,- -,285910,447256,424398,245,29173787,35173724,44573562,56273886,60581052,118043527,174822567,157407917,160034547,128592816,38782382,20983584,58
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,12565,11770,925354,1905974,1664569,120516,59287331,83661644,147199859,160303368,195219011,233119543,279434092,270403070,261661030,190580153,62946609,115980570,15578
48,Accounts Payable,- -,- -,- -,1902630,696477,625618,198284,663092,2684113,3446797,2972916,14399282,3572968,18381263,18332502,16569988,11277706,11054290,320378,250
49,Short-Term Debt,- -,- -,35000,50000,551435,1127440,2743039,11256871,5420531,10744437,6710367,11661761,33476822,39369044,33506838,29364279,6121637,5828185,957990,1738797
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,1450433,2592493,4377039,1910779,3127245,1749138,1457258,1153194,3590084,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,1009624,573609,178857,530437,355968,469007,369992,696,655938,1160029,702179,- -
52,Other Current Liabilities,- -,18755,23989,- -,1628350,1441956,849464,4761083,10339262,9248973,6611833,5177920,5757853,11542410,18509275,31039748,99910577,99131074,200809128,-1733863
53,Total Current Liabilities,- -,18755,58989,1952630,2876262,3195014,3790787,16681046,19453530,24013816,16473973,31769400,43163611,69761724,70718607,76974711,117965858,117173578,202789675,5184
54,Long-Term Debt,- -,35000,- -,- -,120147,207514,453335,- -,- -,- -,- -,- -,8000000,7959143,- -,- -,22252150,32450867,- -,111
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15625435,16720307,14494003,17512402,9000,1268101,- -
58,Total Non-Current Liabilities,- -,35000,- -,- -,120147,207514,453335,- -,- -,- -,- -,- -,8000000,23584578,16720307,14494003,39764552,32459867,1268101,111
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2080
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18579836,16720307,14494003,17512402,- -,- -,291378
61,Total Liabilities,- -,53755,58989,1952630,2996409,3402528,4244122,16681046,19453530,24013816,16473973,31769400,51163611,93346302,87438914,91468714,157730410,149633445,204057776,7153
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,3448,3448,1457,1457,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,2199,2199,25793,28406,32531,34531,222718,17953,25690,25690,26661,26661,26661,27161,4061,5173,31017,33810,50
64,Retained Earnings,- -,-63180,-69209,-15967599,-17198859,-18667598,-21858319,22468934,30237707,51418283,64623453,82793585,94962299,102833747,105782482,100237011,-2346689,-188085680,-213314612,-0
65,Other Comprehensive Income/Loss,- -,- -,- -,-643826,136598,597,597,4573143,4487706,7823967,14086620,14500860,19354599,19351703,13069031,-70579747,-94142481,-8961549,12989408,-398014
66,Other Total Stockholders Equity,- -,19791,19791,15558356,15943420,16896511,17699585,13791723,26699154,59189374,59189374,59189860,59189860,59189860,59189860,105366887,109090782,105728255,107852827,9176564
67,Total Stockholders Equity,- -,-41190,-47219,-1027276,-1090435,-1737959,-4123606,41059966,61445968,118458771,137926594,156510966,173533419,181401971,178068534,135028212,12606785,-91287957,-92438567,8778600
68,Total Liabilities And Stockholders Equity,- -,12565,11770,925354,1905974,1664569,120516,57741012,80899498,142472587,154400567,188280366,224697030,274748273,265507448,226496926,170337195,58345488,111619209,8785753
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,1546319,2762146,4727272,5902801,6938645,8422513,4685819,4895622,35164104,20242958,4601121,4361361,-8770175
70,Total Liabilities & Equity,- -,12565,11770,925354,1905974,1664569,120516,59287331,83661644,147199859,160303368,195219011,233119543,279434092,270403070,261661030,190580153,62946609,115980570,15578
71,SEC Link,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1066923/000118518508000031/entech10ksb9302007.htm,- -,https://www.sec.gov/Archives/edgar/data/1066923/000141588910000060/0001415889-10-000060-index.html,https://www.sec.gov/Archives/edgar/data/1066923/000141588911000198/0001415889-11-000198-index.html,https://www.sec.gov/Archives/edgar/data/1066923/000141588912000443/0001415889-12-000443-index.html,https://www.sec.gov/Archives/edgar/data/1066923/000141588913000552/0001415889-13-000552-index.html,https://www.sec.gov/Archives/edgar/data/1066923/000121390014001898/f10k2013_skypeoplefruit.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390015002243/f10k2014_skypeoplefruit.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390016018959/f10k2015_skypeoplefruit.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390017003881/f10k2016_skypeoplefruit.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390018004539/f10k2017_futurefintech.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390019017066/f10k2018_futurefintech.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390020013926/f10k2019_futurefintech.htm,https://www.sec.gov/Archives/edgar/data/1066923/000121390021021762/0001213900-21-021762-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , 
73,Net Income,-7813,-34774,-6029,-28917091,-1231260,-1468739,-3190721,10010302,15188773,21180576,13205170,18170132,12168714,7871448,2948735,-5545471,-102583700,-169997053,-25228932,88930311
74,Depreciation and Amortization,- -,- -,- -,48876,584473,595457,529710,1903117,2012212,2393856,3552740,4596276,5169597,5597009,7617752,5426089,674277,- -,4674923,5217
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-174285,83709,-445137,-874977,-915504,-1240248,3566442,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,702000,7131000
77,Change in Working Capital,100,-6190,-41029,-1265967,-104358,-537299,-1715673,475248,15601892,49578091,8943028,15313050,-30956154,-37062604,7426745,-17624774,-80630293,-37030830,-14783338,107803025
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-1798369,-15810828,-17241524,11932885,-13290808,16203666,-33012853,11841355,35449683,9830357,-17082886,-4955,4478
79,Inventory,100,1980,- -,419917,64304,49430,- -,2873565,-3068506,-334713,-419708,-1131943,2829649,213880,426456,190337,-943933,-4246665,-30841,3594
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,-2512196,1912764,654334,-623141,11370240,-11096289,14820249,55414623,8114987,-5220700,-223416,-1731528,1470
81,Other Working Capital,- -,-6190,-47219,-1313186,-1417544,-1954843,-3670516,- -,29034390,78612481,87555509,102868559,71912405,34849801,42276546,24651772,-55978521,-93009351,-107792689,10336
82,Other Non-Cash Items,- -,18273,46263,22149574,162729,1202699,5588788,632107,-29461583,-62463194,451151,-18743462,38970356,28645549,87185060,-15450970,202629774,202147746,18795504,-204094315
83,Cash Provided by Operating Activities,-7713,-22691,-795,-7984608,-588416,-207882,1212104,13020774,3341294,10689329,25977804,19419705,24907376,4176425,104262788,-34435374,23656500,-4880137,-15839843,-224762
84,CAPEX,- -,- -,- -,- -,-43628,-100685,- -,-3283481,-454997,-7697473,-7791997,-8159514,-60008684,-40607798,-279691,-18059813,- -,- -,-48009,-2984
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,5500,268364,-4231842,-5647692,-293424,-5147903,-591518,- -,- -,-20530471,-12306807,- -,- -,-43003,87831
89,Cash Used for Investing Activites,- -,- -,- -,- -,-43628,-95185,268364,-7156059,-6102689,-7990897,-12939900,-8751032,-60008684,-40607798,-20810162,-21036858,- -,- -,-48009,84847
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-14319857,-19006340,-17966987,-8433584,-1138658,-6739021,-16118734,-70900567,-11550036,-23242642,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,7499863,100001,- -,- -,3115072,7790865,27014219,- -,- -,- -,- -,- -,17355246,3337340,155970,- -,10256309
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-40884860,- -,- -,- -,- -
