,https://roic.ai/company/CVET,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,2978328000,3353160000,3579795000,3777994000,3976000000,4339000000,4575000000
2,COGS,2448310000,2733247000,2927770000,3093882000,3227000000,3541000000,3717000000
3,Gross Profit,530018000,619913000,652025000,684112000,749000000,798000000,858000000
4,Gross Profit Ratio,0.1780,0.1849,0.1821,0.1811,0.1884,0.1839,0.1875
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,417867000,488816000,516703000,538469000,808000000,867000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",417867000,488816000,516703000,538469000,808000000,867000000,881000000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,417867000,488816000,516703000,538469000,808000000,867000000,881000000
11,COGS and Expenses,2866177000,3222063000,3444473000,3632351000,4035000000,4408000000,4598000000
12,Interest Income ,- -,- -,- -,- -,7000000,1000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,56000000,47000000,32000000
14,Depreciation and Amortization,50301000,55448000,59053000,64100000,176000000,190000000,200000000
15,EBITDA,134894000,153684000,171426000,201989000,-794000000,211000000,178000000
16,EBITDA ratio,0.0453,0.0458,0.0479,0.0535,-0.1997,0.0486,0.0389
17,Operating Income,103807000,123828000,135322000,137098000,-997000000,-69000000,-23000000
18,Operating Income ratio,0.0349,0.0369,0.0378,0.0363,-0.2508,-0.0159,-0.0050
19,Total Other Income Expenses (Gains),4689000,2966000,3447000,6079000,-32000000,45000000,-31000000
20,Income Before Tax,108496000,126794000,138769000,143177000,-1029000000,-24000000,-54000000
21,Income Before Tax Ratio,0.0364,0.0378,0.0388,0.0379,-0.2588,-0.0055,-0.0118
22,Income Tax expense (Gain),24269000,27938000,48019000,37028000,-7000000,-7000000,- -
23,Net Income,60324000,70298000,64354000,100861000,-1019000000,-19000000,-54000000
24,Net Income ratio,0.0203,0.0210,0.0180,0.0267,-0.2563,-0.0044,-0.0118
25,EPS,0.54,0.63,-0.16,0.91,-9.50,-0.22,-0.39
26,EPS Diluted,0.54,0.63,-0.16,0.91,-9.50,-0.22,-0.39
27,Weighted Average Shares Outstanding,111193212,111193212,111193212,111193212,107000000,118000000,137000000
28,Weighted Average Shares Outstanding Diluted,111193212,111193212,111193212,111193212,107000000,118000000,137000000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1752836/000119312519092756/0001193125-19-092756-index.htm,https://www.sec.gov/Archives/edgar/data/1752836/000175283620000060/0001752836-20-000060-index.htm,https://www.sec.gov/Archives/edgar/data/1752836/000175283621000041/0001752836-21-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1752836/000175283622000018/0001752836-22-000018-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,- -,19714000,16656000,23324000,130000000,290000000,183000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,19714000,16656000,23324000,130000000,290000000,183000000
34,Net Receivables,- -,423688000,503517000,480009000,493000000,574000000,555000000
35,Inventory,- -,473662000,534664000,564163000,636000000,530000000,583000000
36,Other Current Assets,- -,15218000,22089000,19109000,81000000,37000000,30000000
37,Total Current Assets,- -,932282000,1076926000,1086605000,1340000000,1431000000,1351000000
38,PP&E,- -,50892000,64554000,68549000,177000000,233000000,281000000
39,Goodwill,- -,647028000,710718000,749762000,1154000000,1187000000,1247000000
40,Intangible Assets,- -,246424000,252927000,208213000,643000000,555000000,439000000
41,Intangible Assets,- -,893452000,963645000,957975000,1797000000,1742000000,1686000000
42,Investments,- -,20566000,22974000,21678000,47000000,90000000,49000000
43,Tax Assets,- -,21382000,14128000,72998000,- -,- -,- -
44,Other Non-Current Assets,- -,26413000,25743000,25279000,- -,- -,43000000
45,Total Non-Current Assets,- -,1012705000,1091044000,1146479000,2021000000,2065000000,2059000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
