,https://roic.ai/company/HRBR,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,63000,56000,444000,645000,- -,- -,- -,146000,- -,- -,- -,- -,- -,- -,240610000,263605000,185949000,247579000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,244954000,- -,160440000,132990000
3,Gross Profit,- -,- -,63000,56000,444000,645000,- -,- -,- -,146000,- -,- -,- -,- -,- -,- -,-4344000,263605000,25509000,114589000
4,Gross Profit Ratio,- -,- -,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,-0.0181,1.0000,0.1372,0.4628
5,Research and Development Exp.,13083000,10764000,18918000,18710000,23764000,18319000,16070000,10555000,3759000,1867000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,6537000,5140000,2771000,- -,- -,- -,- -,- -,- -,- -,9523000,8372000,4580000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",4787000,7327000,6786000,9409000,9644000,8150000,6537000,5140000,2771000,2102000,- -,- -,- -,- -,- -,- -,9523000,8372000,4580000,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10631000,23235000,-22421000,9420000
10,Operating Expenses,17870000,18091000,25704000,28119000,33408000,26469000,22607000,15695000,6530000,3969000,- -,- -,- -,- -,- -,- -,20154000,31607000,-17841000,9420000
11,COGS and Expenses,17870000,18091000,25704000,28119000,33408000,26469000,22607000,15695000,6530000,3969000,- -,- -,- -,- -,- -,- -,265108000,284467000,142599000,142410000
12,Interest Income ,389000,387000,917000,1622000,2741000,2781000,1048000,138000,16000,6000,- -,- -,- -,- -,- -,- -,1012000,1271000,628000,- -
13,Interest Expense (Gain),- -,338000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13450000,1806000,1736000,847000
14,Depreciation and Amortization,122000,7745000,218000,303000,294000,309000,315000,208000,21000,2000,- -,- -,- -,- -,- -,- -,22145000,25580000,27222000,26552000
15,EBITDA,-17727000,-2717000,-24539000,-29138000,-29937000,-22812000,-22286000,-15418000,-6426000,-3801000,- -,- -,- -,- -,- -,- -,211784000,8494000,71181000,145446000
