,https://roic.ai/company/DENN,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,-629000000,-321300000,-356700000,-283900000,-304600000,-128258000,-122188000,-292620000,-6400000,6400000,-251000000,-240000000,-162600000,-119100000,-160468000,-92600000,-86800000,-72600000,-73600000,-53658000,-33800000,-27800000,-25900000,-27200000,-20300000,-24345000,-65139000,-57463000,-53612000,-47127000,-42848000,-28512000,-28273000
82,Other Non-Cash Items,327800000,214500000,536800000,635200000,2222500000,-612718000,-66201000,151701000,-209320000,-1467600000,343455000,-59183000,-95300000,-180135000,38365000,-60918000,-815000,-75777000,-33034000,-54724000,-65882000,-23246000,-90112000,981000,-9911000,5952000,43342000,5452000,-7708000,-15758000,-120907000,-40447000,-45284000
83,Cash Provided by Operating Activities,140600000,219000000,188700000,223000000,171000000,54557000,14091000,16726000,76000000,25543000,-25492000,-8412000,8160000,8821000,26608000,30069000,57304000,40156000,50295000,20483000,33261000,38255000,59509000,59204000,57042000,74911000,80637000,71162000,78269000,73690000,43327000,-3137000,76173000
84,CAPEX,-156000000,-140000000,-109500000,-135500000,-133100000,-154480000,-123739000,-55026000,-63600000,-65700000,-107945000,-37474000,-41117000,-41689000,-32025000,-36130000,-47165000,-32265000,-30852000,-27880000,-18407000,-27381000,-17642000,-14164000,-16818000,-22076000,-26977000,-19749000,-18811000,-22025000,-13975000,-6962000,-7355000
85,Acquisitions Net,- -,- -,- -,- -,- -,447073000,294580000,-64076000,- -,- -,-13963000,-4461000,- -,- -,- -,- -,- -,-825000,-2208000,- -,- -,- -,- -,-1422000,-3980000,- -,-5803000,-14282000,-12353000,-10416000,-11320000,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,-201713000,-45564000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1700000,-1760000,-1400000,-500000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,24749000,108249000,175794000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3421000,- -,- -,- -,- -,- -,- -,- -,- -,- -,2900000,200000
88,Other Investing Activites,-1299500000,60600000,6200000,-21900000,-28100000,4260000,15524000,9653000,27600000,477947000,127151000,70964000,-33940000,60636000,18076000,3968000,7124000,95448000,80721000,37541000,42170000,18680000,8392000,12085000,-12490000,-21289000,-26932000,-18374000,-14794000,-19901000,118049000,3151000,29314000
89,Cash Used for Investing Activites,-1455500000,-79400000,-103300000,-157400000,-161200000,296853000,186365000,-109449000,-36000000,235283000,67928000,204823000,-75057000,18947000,-13949000,-32162000,-40041000,62358000,47661000,9661000,23763000,-5280000,-7697000,-3501000,-16470000,-21289000,-32735000,-32656000,-27147000,-32017000,104969000,4651000,29014000
90,Debt Repayment,- -,- -,- -,- -,- -,-201664000,-56035000,-44108000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-51395000,-268769000,-46253000,-224217000,-181437000,-51046000,-179594000,-58947000,-356634000,-111681000,-217656000,-172070000,-2118000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35000,- -,90262000,1975000,2012000,2126000,995000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,69571000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3890000,-21569000,-21618000,-25039000,-36058000,-92644000,-51643000,-83050000,-61237000,-94459000,-36008000,- -
93,Dividends Paid,-2700000,- -,- -,-2500000,-14200000,-14175000,-14175000,-14175000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1325000000,-124000000,-89600000,-62000000,10200000,-93025000,- -,46409000,-78300000,-94811000,-32234000,-334979000,46333000,-28782000,-11013000,-79971000,-6563000,-106536000,-104743000,-31662000,-146000,242233000,676000,189957000,155282000,33613000,222933000,73005000,390953000,131288000,162165000,137513000,-76337000
95,Cash Used/Provided by Financing Activities,1322300000,-124000000,-89600000,-64500000,-4000000,-308864000,-70210000,-11874000,-78300000,-94811000,-32234000,-334979000,46333000,-28747000,-11013000,10291000,-4588000,-104524000,-102617000,-30667000,-51541000,-30426000,-67146000,-55878000,-51194000,-53491000,-49305000,-37585000,-48731000,-41630000,-149950000,-994000,-78455000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,1322300000,-124000000,-89600000,-64500000,-4000000,42546000,130246000,-104597000,-78300000,166015000,10202000,-138568000,-20564000,-979000,1646000,8198000,12675000,-2010000,-4661000,-523000,5483000,2549000,-15334000,-175000,-10622000,131000,-1403000,921000,2391000,43000,-1654000,520000,26732000
98,Cash at the End of Period,- -,- -,- -,- -,- -,66720000,196966000,92369000,- -,224768000,174226000,27260000,6696000,5717000,7363000,15561000,28236000,26226000,21565000,21042000,26525000,29074000,13740000,13565000,2943000,3074000,1671000,2592000,4983000,5026000,3372000,3892000,30624000
99,Cash at the Beginning of Period,300000,7800000,23300000,38100000,39300000,24174000,66720000,196966000,92400000,58753000,164024000,165828000,27260000,6696000,5717000,7363000,15561000,28236000,26226000,21565000,21042000,26525000,29074000,13740000,13565000,2943000,3074000,1671000,2592000,4983000,5026000,3372000,3892000
100,Free Cash Flow,-15400000,79000000,79200000,87500000,37900000,-99923000,-109648000,-38300000,12400000,-40157000,-133437000,-45886000,-32957000,-32868000,-5417000,-6061000,10139000,7891000,19443000,-7397000,14854000,10874000,41867000,45040000,40224000,52835000,53660000,51413000,59458000,51665000,29352000,-10099000,68818000
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/852772/000095016896000543/0000950168-96-000543-index.html,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/852772/000119312504050544/0001193125-04-050544-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000119312505049666/0001193125-05-049666-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000119312506052261/0001193125-06-052261-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277207000037/0000852772-07-000037-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277208000050/0000852772-08-000050-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277209000028/0000852772-09-000028-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277210000021/0000852772-10-000021-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277211000025/0000852772-11-000025-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277212000011/0000852772-12-000011-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277213000020/0000852772-13-000020-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277214000020/0000852772-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277215000019/0000852772-15-000019-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277216000103/0000852772-16-000103-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277217000024/0000852772-17-000024-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277218000032/0000852772-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277219000021/0000852772-19-000021-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277220000033/0000852772-20-000033-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277221000035/0000852772-21-000035-index.htm,https://www.sec.gov/Archives/edgar/data/852772/000085277222000042/0000852772-22-000042-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
