,https://roic.ai/company/FSP,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,-299000,-860000,-818000,-894000,-669000,100013000,96381000,115762000,121222000,118915000,121910000,114595000,126842000,162802000,213636000,249683000,243867000,249888000,272588000,268870000,269065000,245848000,209358000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60354000,82716000,98889000,100550000,105475000,117053000,116560000,120182000,115330000,101942000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102448000,130920000,150794000,143317000,144413000,155535000,152310000,148883000,130518000,107416000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6293,0.6128,0.6039,0.5877,0.5779,0.5706,0.5665,0.5533,0.5309,0.5131
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,2589000,3073000,5229000,5094000,5711000,5686000,7452000,8518000,7466000,8268000,8891000,9286000,6913000,- -,- -,- -,- -,- -,13471000,13070000,14473000,14997000,15898000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2151000,1801000,1477000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,2589000,3073000,5229000,5094000,5711000,5686000,7452000,8518000,7466000,10419000,10692000,10763000,6913000,9916000,11911000,12983000,13291000,14126000,13471000,13070000,14473000,14997000,15898000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,37548000,60482000,84534000,81581000,85308000,88237000,115087000,54872000,78839000,95915000,91359000,93052000,101258000,94230000,90909000,88558000,78544000
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,45000000,69000000,92000000,92000000,96000000,99000000,122000000,64788000,90750000,108898000,104650000,107178000,114729000,107300000,105382000,103555000,94442000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125142000,173466000,207787000,205200000,212653000,231782000,223860000,225564000,218885000,196384000
12,Interest Income ,- -,- -,- -,- -,- -,367000,868000,1588000,2998000,2377000,2484000,97000,25000,22000,51000,16000,3000,1000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,1036000,1527000,2997000,2449000,7684000,4921000,6570000,7283000,12666000,16068000,21054000,27433000,25432000,26548000,32387000,38374000,36757000,36026000,32273000
14,Depreciation and Amortization,- -,3231000,4613000,4797000,4947000,9668000,13241000,22247000,32089000,35511000,30444000,36561000,40989000,50214000,57500000,81267000,97916000,93426000,95243000,103743000,97171000,93787000,91581000,81007000
15,EBITDA,- -,4370000,13527000,30165000,32958000,58784000,64256000,100782000,146306000,104927000,66834000,70424000,70582000,106671000,81536000,122628000,138995000,154305000,130587000,120586000,148974000,137288000,160472000,206635000
16,EBITDA ratio,- -,-14.6154,-15.7291,-36.8765,-36.8658,-87.8685,0.6425,1.0457,1.2639,0.8656,0.5620,0.5777,0.6159,0.8410,0.5008,0.5740,0.5567,0.6327,0.5226,0.4424,0.5541,0.5102,0.6527,0.9870
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13984000,-22396000,-28250000,-3220000,-28439000,-56350000,-31581000,-36757000,5902000,- -
20,Income Before Tax,- -,- -,- -,- -,28011000,41523000,49488000,40542000,44838000,36753000,31469000,26869000,18113000,18247000,23676000,17774000,13646000,35447000,8796000,-15544000,13429000,6744000,32865000,92934000
21,Income Before Tax Ratio,- -,- -,- -,- -,-31.3322,-62.0673,0.4948,0.4206,0.3873,0.3032,0.2646,0.2204,0.1581,0.1439,0.1454,0.0832,0.0547,0.1454,0.0352,-0.0570,0.0499,0.0251,0.1337,0.4439
22,Income Tax expense (Gain),- -,- -,- -,- -,699000,1700000,1725000,422000,839000,647000,-490000,-579000,217000,267000,335000,480000,498000,433000,418000,400000,360000,269000,250000,638000
23,Net Income,-1675000,1139000,8914000,25368000,27312000,46380000,47763000,75116000,110929000,61085000,31959000,27872000,22093000,43524000,7633000,19827000,13148000,35014000,8378000,-15944000,13069000,6475000,32615000,92717000
24,Net Income ratio,-Infinity,-3.8094,-10.3651,-31.0122,-30.5503,-69.3274,0.4776,0.7794,0.9583,0.5039,0.2688,0.2286,0.1928,0.3431,0.0469,0.0928,0.0527,0.1436,0.0335,-0.0585,0.0486,0.0241,0.1327,0.4429
25,EPS,-0.03,0.09,0.47,1.03,1.11,1.18,0.96,1.32,1.65,0.86,0.45,0.38,0.28,0.53,0.09,0.21,0.13,0.35,0.08,-0.15,0.12,0.06,0.30,0.87
26,EPS Diluted,-0.03,0.09,0.47,1.03,1.11,1.18,0.96,1.32,1.65,0.86,0.45,0.38,0.28,0.53,0.09,0.21,0.13,0.35,0.08,-0.15,0.12,0.06,0.30,0.87
27,Weighted Average Shares Outstanding,49630000,11999907,18973558,24511578,24606000,39214000,49628000,56847000,67159000,70651000,70481000,73001000,79826000,81857000,82937000,93855000,100187000,100187000,102843000,107231000,107231000,107233000,107303000,106667000
28,Weighted Average Shares Outstanding Diluted,50128500,11999907,18973558,24511578,24606000,39214000,49628000,56847000,67159000,70651000,70481000,73001000,79826000,81857000,82937000,93855000,100187000,100187000,102843000,107231000,107231000,107233000,107303000,106667000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031316/000117152003000067/0001171520-03-000067-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000117152004000089/0001171520-04-000089-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000117152005000123/0001171520-05-000123-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1031316/000117152009000106/0001171520-09-000106-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000117152010000136/0001171520-10-000136-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000117152011000151/0001171520-11-000151-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000110465912011348/0001104659-12-011348-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000110465913011834/0001104659-13-011834-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000110465914011061/a13-24724_110k.htm,https://www.sec.gov/Archives/edgar/data/1031316/000110465915011300/a14-25721_110k.htm,https://www.sec.gov/Archives/edgar/data/1031316/000155837016003242/0001558370-16-003242-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837017000607/0001558370-17-000607-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837018000638/0001558370-18-000638-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837019000594/0001558370-19-000594-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837020000679/0001558370-20-000679-index.html,https://www.sec.gov/Archives/edgar/data/1031316/000155837021001073/0001558370-21-001073-index.htm,https://www.sec.gov/Archives/edgar/data/1031316/000155837022001193/0001558370-22-001193-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,13718000,24357000,22316000,58793000,52752000,69715000,69973000,46988000,29244000,27404000,68213000,23813000,21267000,19623000,7519000,18163000,9335000,9773000,11177000,9790000,2650000,34308000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,13718000,24357000,22316000,58793000,52752000,69715000,69973000,46988000,29244000,27404000,68213000,23813000,21267000,19623000,7519000,18163000,9335000,9773000,11177000,9790000,2650000,34308000
34,Net Receivables,- -,- -,1238000,1434000,3384000,4968000,5716000,7212000,7160000,8859000,10145000,12536000,20674000,30005000,131086000,147109000,145395000,170041000,135823000,128037000,128604000,91732000,96445000,74978000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18752000,-28545000,1681000,11149000,11034000,7860000,9133000,8433000,10400000,7246000,7252000,10474000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70135000,25273000,154034000,177881000,163948000,196064000,154291000,146243000,150181000,108768000,106347000,119760000
38,PP&E,- -,- -,181374000,177090000,173510000,457894000,440129000,552908000,803865000,790628000,844339000,922217000,868111000,1006689000,544000,709000,609000,484000,313000,289000,197000,183000,163000,198000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111982000,183454000,138714000,108046000,125491000,86520000,59595000,40704000,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111982000,183454000,138714000,108046000,125491000,86520000,59595000,40704000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,83046000,92910000,89327000,87598000,81960000,80494000,78611000,77019000,75165000,70164000,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211162000,289101000,1178659000,1601496000,1554508000,1539755000,1732873000,1687296000,1688129000,1692999000,1686674000,1244215000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1168600000,1383388000,1373145000,1866153000,1772442000,1725304000,1933842000,1844269000,1747921000,1733886000,1686837000,1244413000
46,Other Assets,95886000,190486000,219923000,204117000,201936000,528529000,573111000,677173000,955317000,1003466000,1025433000,1155766000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,95886000,190486000,219923000,204117000,201936000,528529000,573111000,677173000,955317000,1003466000,1025433000,1155766000,1238735000,1408661000,1527179000,2044034000,1936390000,1921368000,2088133000,1990512000,1898102000,1842654000,1793184000,1364173000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,72058000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,4117000,59439000,- -,- -,- -,67468000,109008000,209968000,449000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31122000,44137000,42561000,49489000,57259000,61039000,59183000,66658000,- -,89493000
53,Total Current Liabilities,- -,- -,- -,- -,- -,4117000,59439000,- -,- -,- -,67468000,109008000,209968000,449000000,31122000,44137000,42561000,49489000,57259000,61039000,59183000,66658000,72058000,89493000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,84750000,75000000,75000000,74850000,- -,616750000,926500000,888000000,910000000,1045217000,1041593000,988128000,964748000,920001000,474787000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2489000,4027000,4248000,4829000,5355000,5383000,6319000,9346000,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135118000,449000000,12069000,19204000,21934000,21394000,18258000,11205000,6838000,15506000,33034000,16690000
