,https://roic.ai/company/FKYS,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1341458,1569018,20600000,22340000,24890000,27540000,29190000,28150000,28340000,29640000,30160000,32370000,36100000,41690000,42030000,43910000,41460000,40860000,38840000,38921000,39408000,39030000,38439000,41135000,45456000,38313000,43132000
2,COGS,- -,- -,9380000,10330000,11890000,14000000,14470000,11340000,10200000,10010000,11620000,14970000,17790000,18120000,15570000,12740000,9410000,6510000,4950000,4452000,4966000,5282000,6548000,8620000,10243000,- -,- -
3,Gross Profit,- -,- -,11220000,12010000,13000000,13540000,14720000,16810000,18140000,19630000,18540000,17400000,18310000,23570000,26460000,31170000,32050000,34350000,33890000,34469000,34442000,33748000,31891000,32515000,35213000,39567000,- -
4,Gross Profit Ratio,- -,- -,0.5447,0.5376,0.5223,0.4916,0.5043,0.5972,0.6401,0.6623,0.6147,0.5375,0.5072,0.5654,0.6296,0.7099,0.7730,0.8407,0.8726,0.8856,0.8740,0.8647,0.8297,0.7904,0.7747,1.0327,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2262650,2448234,5260000,5820000,6640000,7220000,7790000,8360000,9240000,11180000,10330000,10020000,10800000,14620000,17240000,19850000,19600000,22000000,21220000,21641000,23299000,22431000,21788000,22845000,23872000,15021000,15771000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,354000,407000
8,"Selling, General and Administrative Exp.",2262650,2448234,5260000,5820000,6640000,7220000,7790000,8360000,9240000,11180000,10330000,10020000,10800000,14620000,17240000,19850000,19600000,22000000,21220000,21641000,23299000,22431000,21788000,22845000,23872000,15375000,16178000
9,Other Expenses,- -,- -,9380000,10330000,11890000,14000000,14470000,11340000,10200000,10010000,11620000,14970000,17790000,18120000,15570000,12740000,9410000,6510000,4950000,4452000,4966000,5282000,6548000,8620000,10243000,10778000,- -
