,https://roic.ai/company/ELST,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,570000,980000,910000,1120000,1230000,1440000,1200000,1535071,1190304,1337303,1485381,1239390,1310524,1303811,1932648,2064628,2297945,2417700,2617810,3002521,2108700,1867076,2228798,1791741,2113816,2190258,1867420,1550584,1489889,1425128,1395030,1408548,1225372,1512028
2,COGS,260000,370000,370000,430000,510000,600000,470000,899623,1293461,894290,1077997,990605,731927,694394,869262,938361,984193,1112683,1018798,1155323,951095,777382,869601,797973,921488,971798,850624,734032,677166,643414,675598,664265,608654,744246
3,Gross Profit,310000,610000,540000,690000,720000,840000,730000,635448,-103157,443013,407384,248785,578597,609417,1063386,1126267,1313752,1305017,1599012,1847198,1157605,1089694,1359197,993768,1192328,1218460,1016796,816552,812723,781714,719432,744283,616718,767782
4,Gross Profit Ratio,0.5439,0.6224,0.5934,0.6161,0.5854,0.5833,0.6083,0.4140,-0.0867,0.3313,0.2743,0.2007,0.4415,0.4674,0.5502,0.5455,0.5717,0.5398,0.6108,0.6152,0.5490,0.5836,0.6098,0.5546,0.5641,0.5563,0.5445,0.5266,0.5455,0.5485,0.5157,0.5284,0.5033,0.5078
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,20000,30000,70000,50000,80000,80000,60000,- -,- -,- -,- -,- -,505207,515773,608463,1006674,1089396,1140174,1282761,1467051,1802006,1357010,1425090,1254621,1252759,1204452,1263001,1215815,1256967,1026283,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,50619,54969,51935,37149,10970,30810,20774,18277,- -,- -,- -,- -,- -,24767,16035,15615,13218,16581,17055,16091,12171,9552,9832,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",20000,30000,70000,50000,80000,80000,60000,50619,54969,51935,37149,10970,536017,536547,626740,1006674,1089396,1140174,1282761,1467051,1826773,1373045,1440705,1267839,1269340,1221507,1279092,1227986,1266519,1036115,- -,- -,- -,- -
9,Other Expenses,450000,390000,390000,370000,360000,370000,420000,789174,810193,761429,848267,618978,134757,144827,161891,- -,- -,- -,1000,- -,-380461,-281026,-255674,-72788,238579,229146,254448,-73352,210731,202088,853628,957438,839173,957654
10,Operating Expenses,470000,420000,460000,420000,440000,450000,480000,839793,865162,813364,885416,629948,670774,681374,788631,1006674,1089396,1140174,1283761,1467051,1446312,1092019,1185031,1195051,1507919,1450653,1533540,1154634,1477250,1238203,853628,957438,839173,957654
11,COGS and Expenses,730000,790000,830000,850000,950000,1050000,950000,1739416,2158623,1707654,1963413,1620553,1402701,1375768,1657893,1945035,2073589,2252857,2302559,2622374,2397407,1869401,2054632,1993024,2429407,2422451,2384164,1888666,2154416,1881617,1529226,1621703,1447827,1701900
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,59718,24369,12857,9664,7420,8158,10517,11239,11923,11411,18097,22198,10736,2488
13,Interest Expense (Gain),-10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,30000,30000,20000,20000,20000,20000,20000,27216,32139,35178,34209,35822,43065,46012,45273,53611,69627,73882,60834,54433,50068,40142,32365,21956,15484,13540,17824,28714,26290,19939,11076,7970,6953,5169
15,EBITDA,-150000,220000,120000,340000,340000,460000,320000,431353,266595,282938,276988,101381,72475,52084,372890,227512,329753,248639,403848,517569,-177747,62741,219388,-165497,66006,121737,-136088,-298129,-190106,-183824,-105023,-182987,-195766,98158
16,EBITDA ratio,-0.2632,0.2245,0.1319,0.3036,0.2764,0.3194,0.2667,0.2810,0.2240,0.2116,0.1865,0.0818,0.0553,0.0399,0.1929,0.1102,0.1435,0.1028,0.1543,0.1724,-0.0843,0.0336,0.0984,-0.0924,0.0312,0.0556,-0.0729,-0.1923,-0.1276,-0.1290,-0.0753,-0.1299,-0.1598,0.0649
17,Operating Income,-160000,180000,90000,270000,280000,400000,250000,373342,91326,176165,163283,-23673,-92177,-71957,274755,119593,224356,164843,315251,380147,-288707,-2325,174166,-201283,43102,100039,-164429,-338082,-228319,-215174,-134196,-213155,-222455,-189872
