,https://roic.ai/company/ESOA,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,28517688,106766096,218287753,143426097,157738736,108820315,93273139,116800046,155481145,140495726,135482771,174541155,119194440,122465826
2,COGS,- -,- -,23830404,106535805,193916388,136584903,156056529,98804399,84761921,105935841,141283142,132711810,123833517,161861357,105693209,109544804
3,Gross Profit,- -,- -,4687284,230291,24371365,6841194,1682207,10015916,8511218,10864205,14198003,7783916,11649254,12679798,13501231,12921022
4,Gross Profit Ratio,- -,- -,0.1644,0.0022,0.1116,0.0477,0.0107,0.0920,0.0913,0.0930,0.0913,0.0554,0.0860,0.0726,0.1133,0.1055
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",18754,337221,1350246,7405706,12733279,13269129,12083793,8047951,6355609,6584334,7293323,7401769,7728182,8857386,9831578,13813644
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,- -,- -,1350246,7405706,12733279,13269129,12083793,8047951,6355609,6584334,7293323,7401769,7728182,8857386,9831578,13813644
11,COGS and Expenses,48754,385773,25180650,113941511,206649667,149854032,168140322,106852350,91117530,112520175,148576465,140113579,131561699,170718743,115524787,123358448
12,Interest Income ,- -,- -,- -,57670,56436,2569,3034,1368,1191,1278,- -,- -,132342,58023,53332,286645
13,Interest Expense (Gain),- -,- -,- -,1623488,1841455,1821319,1931897,1739689,841975,761079,875254,833424,916675,1064222,486246,557320
