,https://roic.ai/company/AR,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,125000000,691000000,736000000,1313000000,2721000000,3955000000,1745000000,3656000000,4140000000,4409000000,3083905000,5790759000
2,COGS,13000000,54000000,118000000,278000000,682000000,1073000000,1499000000,1645000000,2288000000,2967000000,3598348000,3535886000
3,Gross Profit,112000000,637000000,618000000,1035000000,2039000000,2882000000,246000000,2011000000,1852000000,1442000000,-514443000,2254873000
4,Gross Profit Ratio,0.8960,0.9219,0.8397,0.7883,0.7494,0.7287,0.1410,0.5501,0.4473,0.3271,-0.1668,0.3894
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,21952000,33342000,45284000,425438000,216533000,233697000,239324000,251196000,240344000,178696000,134482000,145006000
7,Selling and Marketing Exp.,- -,- -,- -,- -,103435000,299062000,499343000,366281000,686055000,549814000,469404000,811698000
8,"Selling, General and Administrative Exp.",21952000,33342000,45284000,425438000,319968000,532759000,738667000,617477000,926399000,728510000,603886000,956704000
9,Other Expenses,2361000,4110000,14776000,23337000,-24440000,-132197000,-383714000,-246897000,-451124000,-277695000,-323372000,-754796000
10,Operating Expenses,24313000,37452000,60060000,448775000,295528000,400562000,354953000,370580000,475275000,450815000,280514000,201908000
11,COGS and Expenses,56115000,147006000,279633000,960999000,1352096000,1884022000,2164342000,2474407000,3049725000,3783191000,3878862000,3737794000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),56463000,74404000,97510000,136617000,160051000,234400000,253552000,268701000,286743000,228111000,199872000,181868000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,865291000,745829000
15,EBITDA,286402000,652701000,-66261000,303827000,1279723000,1751290000,-1091824000,588650000,-240114000,-185999000,-600216000,666721000
16,EBITDA ratio,2.2912,0.9446,-0.0900,0.2314,0.4703,0.4428,-0.6257,0.1610,-0.0580,-0.0422,-0.1946,0.1151
17,Operating Income,60295000,530983000,444015000,341207000,1299734000,1790286000,-975801000,740093000,71905000,-987045000,-953447000,23860000
18,Operating Income ratio,0.4824,0.7684,0.6033,0.2599,0.4777,0.4527,-0.5592,0.2024,0.0174,-0.2239,-0.3092,0.0041
19,Total Other Income Expenses (Gains),-59295000,-74983000,-97015000,-179207000,-180734000,-234286000,-270199000,-250093000,-246905000,620045000,-704446000,-252046000
20,Income Before Tax,1000000,456000000,347000000,162000000,1119000000,1556000000,-1246000000,490000000,-175000000,-367000000,-1657893000,-228186000
21,Income Before Tax Ratio,0.0080,0.6599,0.4715,0.1234,0.4112,0.3934,-0.7140,0.1340,-0.0423,-0.0832,-0.5376,-0.0394
22,Income Tax expense (Gain),939000,185297000,121229000,186210000,445672000,575890000,-496376000,-295051000,-128857000,-74110000,-397482000,-74077000
23,Net Income,229000000,393000000,-285000000,-19000000,674000000,941000000,-849000000,615000000,-398000000,-340000000,-1267897000,-186899000
24,Net Income ratio,1.8320,0.5687,-0.3872,-0.0145,0.2477,0.2379,-0.4865,0.1682,-0.0961,-0.0771,-0.4111,-0.0323
25,EPS,0.88,1.51,-1.10,-0.07,2.57,3.43,-2.88,1.95,-1.26,-1.11,-4.65,-0.69
26,EPS Diluted,0.88,1.51,-1.10,-0.07,2.57,3.43,-2.88,1.94,-1.26,-1.11,-4.65,-0.69
27,Weighted Average Shares Outstanding,260100000,260100000,260100000,270428571,262053868,274122567,294945000,315426000,316036000,306400000,272433000,272433000
28,Weighted Average Shares Outstanding Diluted,260100000,260100000,260100000,270428571,262068106,274143341,294945000,316283000,316036000,306400000,272433000,272433000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1433270/000104746914001424/a2218464z10-k.htm,https://www.sec.gov/Archives/edgar/data/1433270/000155837015000166/ar-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/1433270/000155837016003450/0001558370-16-003450-index.html,https://www.sec.gov/Archives/edgar/data/1433270/000155837017001159/0001558370-17-001159-index.html,https://www.sec.gov/Archives/edgar/data/1433270/000155837018000647/0001558370-18-000647-index.html,https://www.sec.gov/Archives/edgar/data/1433270/000155837019000629/0001558370-19-000629-index.html,https://www.sec.gov/Archives/edgar/data/1433270/000155837020000726/0001558370-20-000726-index.html,- -,https://www.sec.gov/Archives/edgar/data/1433270/000155837022001283/0001558370-22-001283-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,3343000,18989000,17487000,245979000,23473000,31610000,28441000,- -,31610000,736,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,3343000,18989000,17487000,245979000,23473000,31610000,28441000,- -,31610000,736,- -
34,Net Receivables,- -,68103000,72520000,130102000,307761000,207646000,291642000,335018000,525900000,489305000,453771000,670440000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,262196000,183097000,185975000,698420000,1017117000,79335000,469628000,280713000,401970000,120367264,15679000
37,Total Current Assets,- -,333642000,274606000,333564000,1252160000,1248236000,402587000,833087000,806613000,922885000,574139000,686119000
38,PP&E,- -,2880414000,2937473000,5559656000,9352452000,10732242000,12026747000,13235553000,13869915000,12865239000,12260541000,12946957000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,303302000,433642000,1055177000,255082000,232399000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,574744000,406714000,720361000,968883000,2174746000,1826216000,889548000,409294000,354268000,61083000,31053000
