,https://roic.ai/company/PFBX,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,31140000,36720000,38820000,6241295,11219509,27765992,30527682,28781096,28180467,28963992,29037910,32031161,42418052,40286087,38842544,37035029,35188213,31714692,30102543,29877000,26602000,23796000,23092000,23156000,22306000,22984000,24978000,25932000
2,COGS,- -,- -,9520000,12370000,14410000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,21620000,24350000,24410000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7251000,25932000
4,Gross Profit Ratio,- -,- -,0.6943,0.6631,0.6288,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2903,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,13170000,14540000,15270000,7874492,8947361,9945753,10469450,11447070,10923858,10989269,11334384,11398469,13033108,14284532,14051655,14250002,13581728,14083505,13928516,13692000,14397000,14047000,13335000,12662000,12494000,12431000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,489000,596000,552000,505000,544000,538000,557000,529000,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,13170000,14540000,15270000,7874492,8947361,9945753,10469450,11447070,10923858,10989269,11334384,11398469,13033108,14284532,14051655,14250002,13581728,14083505,14417516,14288000,14949000,14552000,13879000,13200000,13051000,12960000,12302000,- -
9,Other Expenses,- -,- -,9520000,12370000,14410000,- -,- -,- -,- -,- -,- -,- -,- -,20601531,28966892,35715468,29948345,25749998,25418272,20916495,17582484,22712000,21051000,17448000,11121000,10800000,11949000,13040000,-2300000,- -
