,https://roic.ai/company/METC,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,- -,- -,5215659,61035804,227574000,230213000,168915000,283394000
2,COGS,- -,- -,4396719,60520662,176555000,162470000,145503000,195412000
3,Gross Profit,- -,- -,818940,515142,51019000,67743000,23412000,87982000
4,Gross Profit Ratio,- -,- -,0.1570,0.0084,0.2242,0.2943,0.1386,0.3105
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,758812,1324000,7451444,12591109,14006000,18179000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",758812,1324000,7451444,12591109,14006000,18179000,- -,21629000
9,Other Expenses,- -,- -,897280,3816899,12917000,20032000,42505000,- -
10,Operating Expenses,- -,- -,8348724,16408008,26923000,38211000,42505000,21629000
11,COGS and Expenses,1765524,2333000,12745443,76928670,203478000,200681000,188008000,243861000
12,Interest Income ,- -,- -,138752,295185,36000,- -,- -,- -
13,Interest Expense (Gain),622,2000,124117,22841,1463000,1193000,1224000,-2556000
14,Depreciation and Amortization,- -,- -,251684,3154072,12423000,19521000,20912000,26205000
15,EBITDA,-1765524,-2333000,-7139348,-12239636,39073000,50811000,13745000,68055000
16,EBITDA ratio,-Infinity,-Infinity,-1.3688,-0.2005,0.1717,0.2207,0.0814,0.2401
17,Operating Income,-1765524,-2333000,-7529784,-15892866,24096000,29532000,-19093000,39533000
18,Operating Income ratio,-Infinity,-Infinity,-1.4437,-0.2604,0.1059,0.1283,-0.1130,0.1395
19,Total Other Income Expenses (Gains),-622,-2000,14635,476317,1091000,565000,10702000,4873000
20,Income Before Tax,-1766146,-2335000,-7515149,-15416549,25187000,30097000,-8391000,44406000
21,Income Before Tax Ratio,-Infinity,-Infinity,-1.4409,-0.2526,0.1107,0.1307,-0.0497,0.1567
22,Income Tax expense (Gain),- -,- -,- -,- -,113000,5163000,-3484000,4647000
23,Net Income,-1766146,-2335000,-7515149,-15416549,25074000,24934000,-4907000,39759000
24,Net Income ratio,-Infinity,-Infinity,-1.4409,-0.2526,0.1102,0.1083,-0.0291,0.1403
25,EPS,-0.05,-0.06,-0.19,-0.41,0.63,0.61,-0.12,0.90
26,EPS Diluted,-0.05,-0.06,-0.19,-0.41,0.62,0.61,-0.12,0.89
27,Weighted Average Shares Outstanding,39062576,39062576,39062576,37601339,40039000,40838000,42460000,42460000
28,Weighted Average Shares Outstanding Diluted,39629629,39629629,39062576,37601339,40263000,40838000,42460000,42460000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1687187/000143774917005443/0001437749-17-005443-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000143774918005179/0001437749-18-005179-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000143774919005299/0001437749-19-005299-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000155837020001079/0001558370-20-001079-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000155837021001215/0001558370-21-001215-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000155837022004987/0001558370-22-004987-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,994000,5196914,5934043,6951000,5532000,5300000,21891000
32,Short-Term Investments,- -,- -,55237747,5199861,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,994000,60434661,11133904,6951000,5532000,5300000,21891000
34,Net Receivables,- -,- -,914741,7165487,10729000,19256000,20299000,44453000
35,Inventory,- -,- -,1518638,10057787,14185000,15261000,11947000,15791000
36,Other Current Assets,105000,261000,388921,1104437,3154000,4274000,4953000,4626000
37,Total Current Assets,105000,1255000,63256961,29461615,35019000,44323000,42499000,86761000
38,PP&E,10381000,16008000,46433726,115450841,149205000,178202000,180455000,236205000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,1385000,- -,5199077,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,3089000,4319328,3185575,4020000,4288000,5669000,6067000
45,Total Non-Current Assets,11766000,19097000,55952131,118636416,153225000,182490000,186124000,242272000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11871000,20352000,119209092,148098031,188244000,226813000,228623000,329033000
48,Accounts Payable,- -,640000,8955884,19532531,16393000,10663000,11742000,15346000
49,Short-Term Debt,- -,- -,- -,- -,5000000,3333000,4872000,3461000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,274000,6400972,2892038,8452000,12415000,12499000,27853000
53,Total Current Liabilities,- -,914000,15356856,22424569,29845000,26411000,29113000,46660000
54,Long-Term Debt,11053000,10683000,10629275,- -,4474000,9614000,12578000,3339000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,109000,5265000,1762000,6406000
57,Other Non-Current Liabilities,1791000,2095000,9434838,12276176,12707000,15440000,16075000,61554000
58,Total Non-Current Liabilities,12844000,12778000,20064113,12276176,17290000,30319000,30415000,71299000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,12844000,13692000,35420969,34700745,47135000,56730000,59528000,117959000
62,Preferred Stock,- -,- -,88773933,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,395594,401000,410000,427000,441000
64,Retained Earnings,- -,- -,- -,-35291571,-10218000,14716000,9809000,47067000
65,Other Comprehensive Income/Loss,- -,- -,-251684,-3405756,-15809000,-35330000,-56242000,- -
66,Other Total Stockholders Equity,- -,6660000,84039807,151699019,166735000,190287000,215101000,163566000
67,Total Stockholders Equity,-973000,6660000,83788123,113397286,141109000,170083000,169095000,211074000
68,Total Liabilities And Stockholders Equity,11871000,20352000,119209092,148098031,188244000,226813000,228623000,329033000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,11871000,20352000,119209092,148098031,188244000,226813000,228623000,329033000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1687187/000143774917005443/0001437749-17-005443-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000143774918005179/0001437749-18-005179-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000143774919005299/0001437749-19-005299-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000155837020001079/0001558370-20-001079-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000155837021001215/0001558370-21-001215-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000155837022004987/0001558370-22-004987-index.htm
72,CASH FLOW STATEMENT, , , , , , , , 
73,Net Income,-1766146,-2335000,-7515149,-15416549,25074000,24934000,-4907000,39759000
74,Depreciation and Amortization,- -,- -,251684,3154072,12423000,19521000,20912000,26205000
75,Deferred Income Tax,- -,- -,- -,- -,109000,5156000,-3503000,4644000
76,Stock Based Compensation,- -,- -,298843,2820213,2638000,4060000,4140000,5260000
77,Change in Working Capital,-4265,236000,47559105,-40863059,-1863046,12738000,-4526000,26715000
78,Accounts Receivable,- -,- -,- -,-6250746,-3563000,-8527000,-1043000,-24154000
79,Inventory,- -,- -,-1518638,-8539149,-4127000,-1076000,3314000,-3844000
80,Accounts Payable,- -,92000,1863794,15535054,-1521000,-7313000,2753000,-1820000
81,Other Working Capital,105000,341000,47900105,7037046,5174000,17912000,13386000,40101000
82,Other Non-Cash Items,68212,184000,-44455853,41552296,-2342954,-24027000,1196000,-49243000
83,Cash Provided by Operating Activities,-1702199,-1915000,-3861370,-8753027,36038000,42382000,13312000,53340000
84,CAPEX,-4184530,-4849000,-16723117,-75038733,-48137000,-45722000,-24753000,-29466000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-64782707,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,1385000,4345883,55236963,5200000,- -,- -,- -
88,Other Investing Activites,- -,-4849000,-302574,- -,- -,- -,- -,-30147000
89,Cash Used for Investing Activites,-4184530,-3464000,-77462515,-19801770,-42937000,-45722000,-24753000,-59613000
90,Debt Repayment,- -,-1385000,-917459,-11129275,-21950000,-70335000,-45598000,-2356000
91,Common Stock Issued,1379714,9968000,500000,47709000,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,-221000,- -
93,Dividends Paid,- -,- -,- -,-5405064,- -,- -,- -,-2501000
94,Other Financing Activites,4507015,-2210000,85944631,-1882735,29866000,73160000,57105000,27226000
95,Cash Used/Provided by Financing Activities,5886729,6373000,85527172,29291926,7916000,2825000,11286000,22369000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,4203287,737129,1017000,-515000,-155000,16096000
98,Cash at the End of Period,- -,994000,5196914,5934043,6951000,6865000,6710000,22806000
99,Cash at the Beginning of Period,- -,- -,993627,5196914,5934000,7380000,6865000,6710000
100,Free Cash Flow,-5886729,-6764000,-20584487,-83791760,-12099000,-3340000,-11441000,23874000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1687187/000143774917005443/0001437749-17-005443-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000143774918005179/0001437749-18-005179-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000143774919005299/0001437749-19-005299-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000155837020001079/0001558370-20-001079-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000155837021001215/0001558370-21-001215-index.htm,https://www.sec.gov/Archives/edgar/data/1687187/000155837022004987/0001558370-22-004987-index.htm
102,false,,,,,,,,
