,https://roic.ai/company/RBCN,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,4023000,8560000,16043000,16315000,20752000,34110000,37838000,19808000,77362000,134000000,67243000,41513000,45685000,23818000,19630000,5044000,3878000,3526000,4467000,4061000
2,COGS,5537000,5834000,- -,18508000,18885000,22045000,25746000,23427000,36205000,64365000,67283000,63434000,75372000,46961000,45638000,10552000,3862000,2444000,3226000,2798000
3,Gross Profit,-1514000,2726000,- -,-2193000,1867000,12065000,12092000,-3619000,41157000,69635000,-40000,-21921000,-29687000,-23143000,-26008000,-5508000,16000,1082000,1241000,1263000
4,Gross Profit Ratio,-0.3763,0.3185,- -,-0.1344,0.0900,0.3537,0.3196,-0.1827,0.5320,0.5197,-0.0006,-0.5281,-0.6498,-0.9717,-1.3249,-1.0920,0.0041,0.3069,0.2778,0.3110
5,Research and Development Exp.,630000,1797000,- -,861000,679000,769000,862000,801000,1079000,1806000,2274000,2263000,1861000,2210000,2550000,962000,122000,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,7659000,4811000,9883000,11336000,9018000,8629000,9863000,9589000,7695000,4510000,2250000,2548000,2145000,2130000
7,Selling and Marketing Exp.,774000,975000,- -,- -,- -,- -,- -,1137000,1267000,1658000,1685000,1521000,1468000,1363000,1444000,775000,376000,361000,325000,210000
8,"Selling, General and Administrative Exp.",774000,975000,- -,5954000,4360000,6832000,7659000,5948000,11150000,12994000,10703000,10150000,11331000,10952000,9139000,5285000,2626000,2909000,2470000,2340000
9,Other Expenses,2965000,2981000,- -,383000,975000,139000,2215000,- -,234000,- -,19000,- -,- -,- -,- -,- -,- -,- -,325000,- -
10,Operating Expenses,4369000,5753000,- -,7198000,6014000,7740000,10736000,6749000,12463000,14800000,12996000,12413000,13192000,13162000,11689000,6247000,2748000,2909000,2795000,2340000
11,COGS and Expenses,9906000,11587000,- -,25706000,24899000,29785000,36482000,30176000,48668000,79165000,80279000,75847000,88564000,60123000,57327000,16799000,6610000,5353000,6021000,5138000
12,Interest Income ,- -,- -,- -,14000,5000,373000,2060000,693000,358000,252000,93000,51000,86000,71000,73000,116000,361000,460000,108000,5000
13,Interest Expense (Gain),- -,- -,- -,2749000,1315000,1458000,2000,2000,- -,- -,- -,95000,95000,109000,99000,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,3293000,3108000,3366000,4452000,5342000,6066000,9724000,12027000,12660000,13637000,11404000,6100000,1173000,355000,169000,167000,140000
15,EBITDA,-6052000,-3727000,-5361000,-1680000,-3217000,2045000,8813000,-4286000,35106000,64357000,-559000,-22756000,-30183000,-66343000,-56903000,-16590000,1342000,-956000,-909000,-319000
16,EBITDA ratio,-1.5043,-0.4354,-0.3342,-0.1030,-0.1550,0.0600,0.2329,-0.2164,0.4538,0.4803,-0.0083,-0.5482,-0.6607,-2.7854,-2.8988,-3.2891,0.3461,-0.2711,-0.2035,-0.0786
17,Operating Income,-5883000,-3027000,16043000,-9391000,-4147000,4325000,2356000,-10368000,28694000,54751000,-13036000,-34884000,-43613000,-75949000,-62717000,-17924000,635000,-1250000,530000,-464000
18,Operating Income ratio,-1.4623,-0.3536,1.0000,-0.5756,-0.1998,0.1268,0.0623,-0.5234,0.3709,0.4086,-0.1939,-0.8403,-0.9546,-3.1887,-3.1950,-3.5535,0.1637,-0.3545,0.1186,-0.1143
19,Total Other Income Expenses (Gains),- -,-700000,- -,-383000,-2937000,-7104000,2003000,738000,346000,-118000,450000,-627000,-302000,-1907000,-385000,161000,352000,125000,-1580000,5000
20,Income Before Tax,- -,-3727000,- -,- -,- -,-2779000,4359000,-9630000,29040000,54633000,-12586000,-35511000,-43915000,-77856000,-63102000,-17763000,987000,-1125000,-1050000,-459000
21,Income Before Tax Ratio,- -,-0.4354,- -,- -,- -,-0.0815,0.1152,-0.4862,0.3754,0.4077,-0.1872,-0.8554,-0.9613,-3.2688,-3.2146,-3.5216,0.2545,-0.3191,-0.2351,-0.1130
