,https://roic.ai/company/ASMB,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,9018750,14804000,15963000,79105000,6254000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79105,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,5978723,2942992,1850667,25277682,19514163,15029078,10716737,18357937,33092977,44225021,72741000,85757000,106823000,68524000
6,General and Administrative Exp.,1185587,397238,2915590,8724391,5341333,4575701,13239715,11297693,12185484,17020607,34798000,32919000,37058000,28780000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",1185587,397238,2915590,8724391,5341333,4575701,13239715,11297693,12185484,17020607,34798000,32919000,37058000,28780000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41638000
10,Operating Expenses,7164310,3340230,4766257,34002073,24855496,19604779,23956452,29655630,45278461,61245628,107539000,118676000,143881000,138942000
11,COGS and Expenses,7164310,3340230,4766257,34002073,24855496,19604779,23956452,29655630,45278461,61245628,107539000,118676000,143881000,- -
12,Interest Income ,13091,140,5730,76334,65066,201020,167653,1228830,1539088,983209,3083000,4300000,2624000,- -
13,Interest Expense (Gain),1635211,1199315,10530099,116664,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,4650,7511,12525,3746,4618,6216,10974,64989,80251,219225,643000,494000,691000,- -
15,EBITDA,-7159660,-3332719,-4753732,-33998327,-24850878,-19598563,-23945478,-29590641,-45198210,-51639572,-89009000,-97914000,-61461000,-132386000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.7258,-6.0125,-6.1338,-0.7770,-21.1682
17,Operating Income,-7164310,-3340230,-4766257,-34002073,-24855496,-19604779,-23956452,-29655630,-45278461,-52226878,-92735000,-102713000,-64776000,-132688000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.7909,-6.2642,-6.4344,-0.8189,-21.2165
19,Total Other Income Expenses (Gains),- -,- -,- -,-302327,65066,201020,167653,1201797,399227,368081,3083000,4305000,2624000,302000
20,Income Before Tax,- -,- -,- -,- -,-24790430,-19403759,-23788799,-28453833,-44879234,-51858797,-89652000,-98408000,-62152000,-132386000
21,Income Before Tax Ratio,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-5.7501,-6.0559,-6.1648,-0.7857,-21.1682
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-617672,-9050249,1099000,-774000,- -,-2531000
23,Net Income,-8786430,-4539405,-15290625,-34344730,-24790430,-19403759,-23788799,-28453833,-44261562,-42808548,-90751000,-97634000,-62152000,-129855000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.7466,-6.1302,-6.1163,-0.7857,-20.7635
25,EPS,-104.15,-51.00,-123.35,-17.85,-9.70,-5.00,-3.40,-1.81,-2.57,-2.41,-3.98,-3.72,-1.75,-3.67
