,https://roic.ai/company/VREX,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,669800000,685200000,632300000,620100000,698100000,773400000,780600000,738300000,818100000
2,COGS,401700000,406600000,381700000,371700000,444600000,519500000,523900000,548100000,546600000
3,Gross Profit,268100000,278600000,250600000,248400000,253500000,253900000,256700000,190200000,271500000
4,Gross Profit Ratio,0.4003,0.4066,0.3963,0.4006,0.3631,0.3283,0.3288,0.2576,0.3319
5,Research and Development Exp.,35900000,40000000,50400000,53500000,67300000,83000000,78100000,78900000,71900000
6,General and Administrative Exp.,- -,- -,- -,85800000,102500000,126400000,128100000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,85800000,102500000,126400000,128100000,- -,125500000
9,Other Expenses,63400000,62600000,72700000,- -,-0,-0,4800000,142200000,- -
10,Operating Expenses,99300000,102600000,123100000,139300000,169800000,209400000,211000000,221100000,197400000
11,COGS and Expenses,501000000,509200000,504800000,511000000,614400000,728900000,734900000,769200000,744000000
12,Interest Income ,200000,300000,500000,300000,200000,200000,100000,100000,100000
13,Interest Expense (Gain),400000,900000,1200000,1900000,12300000,21700000,21100000,31400000,42100000
14,Depreciation and Amortization,10100000,10100000,12300000,15300000,27400000,42200000,39200000,39500000,37300000
15,EBITDA,181800000,185200000,140300000,121700000,114100000,88800000,81500000,-2200000,107500000
16,EBITDA ratio,0.2714,0.2703,0.2219,0.1963,0.1634,0.1148,0.1044,-0.0030,0.1314
17,Operating Income,168800000,176000000,127500000,109100000,83700000,44500000,45700000,-33700000,74100000
18,Operating Income ratio,0.2520,0.2569,0.2016,0.1759,0.1199,0.0575,0.0585,-0.0456,0.0906
19,Total Other Income Expenses (Gains),2500000,-1800000,100000,-4100000,-8900000,-18800000,-24200000,-38900000,-45500000
20,Income Before Tax,171300000,174200000,127600000,105000000,74800000,25700000,21500000,-72600000,28600000
21,Income Before Tax Ratio,0.2557,0.2542,0.2018,0.1693,0.1071,0.0332,0.0275,-0.0983,0.0350
22,Income Tax expense (Gain),61700000,64100000,46800000,36000000,22800000,-2600000,5700000,-15200000,10700000
23,Net Income,109600000,110100000,80000000,68500000,51600000,27500000,15500000,-57900000,17400000
24,Net Income ratio,0.1636,0.1607,0.1265,0.1105,0.0739,0.0356,0.0199,-0.0784,0.0213
25,EPS,2.87,2.88,2.09,1.61,1.37,0.73,0.41,-1.47,0.44
26,EPS Diluted,2.85,2.87,2.08,1.60,1.36,0.72,0.40,-1.47,0.43
27,Weighted Average Shares Outstanding,38200000,38200000,38200000,38200000,37600000,37900000,38200000,38800000,39300000
28,Weighted Average Shares Outstanding Diluted,38400000,38400000,38400000,38400000,38000000,38400000,38600000,38800000,40300000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1681622/000168162217000023/0001681622-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/1681622/000168162218000045/0001681622-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/1681622/000168162219000083/0001681622-19-000083-index.html,https://www.sec.gov/Archives/edgar/data/1681622/000168162220000116/0001681622-20-000116-index.htm,https://www.sec.gov/Archives/edgar/data/1681622/000168162221000103/0001681622-21-000103-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,500000,20600000,36500000,83300000,51900000,29900000,100600000,144600000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,500000,20600000,36500000,83300000,51900000,29900000,100600000,144600000
34,Net Receivables,- -,128700000,117800000,122200000,163600000,154000000,141000000,123800000,155300000
35,Inventory,- -,139600000,174900000,197400000,234500000,235100000,248200000,271900000,224800000
36,Other Current Assets,- -,1800000,2800000,3800000,13900000,17100000,19300000,25700000,29500000
37,Total Current Assets,- -,270600000,316100000,359900000,495300000,458100000,438400000,522000000,554200000
38,PP&E,- -,63000000,96200000,108900000,148300000,144900000,142300000,172900000,164500000
39,Goodwill,- -,36000000,74700000,74700000,241900000,243600000,290800000,293100000,292200000
40,Intangible Assets,- -,4700000,24000000,20700000,91300000,73800000,86300000,67500000,50700000
41,Intangible Assets,- -,40700000,98700000,95400000,333200000,317400000,377100000,360600000,342900000
42,Investments,- -,49700000,58700000,49300000,52300000,51000000,53600000,51300000,49300000
43,Tax Assets,- -,9100000,10500000,5500000,29500000,23200000,8200000,500000,4000000
44,Other Non-Current Assets,- -,- -,3400000,3400000,-18500000,-6700000,19300000,32200000,32600000
45,Total Non-Current Assets,- -,162500000,267500000,262500000,544800000,529800000,600500000,617500000,593300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,433100000,583600000,622400000,1040100000,987900000,1038900000,1139500000,1147500000
48,Accounts Payable,- -,41800000,49700000,41900000,58900000,66300000,58200000,72900000,58800000
49,Short-Term Debt,- -,- -,- -,- -,20000000,25000000,30700000,8600000,9000000
50,Tax Payable,- -,- -,1200000,200000,13200000,1400000,10700000,5600000,8000000
51,Deferred Revenue,- -,3900000,9300000,12000000,10500000,13200000,10500000,8600000,9100000
52,Other Current Liabilities,- -,23100000,19600000,23900000,62400000,47500000,75700000,70500000,89700000
53,Total Current Liabilities,- -,68800000,78600000,77800000,151800000,152000000,175100000,160600000,166600000
54,Long-Term Debt,- -,- -,- -,- -,463900000,364800000,364400000,452800000,450400000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,3800000,3000000,29500000,23200000,8200000,2300000,2200000
57,Other Non-Current Liabilities,- -,5000000,5600000,15600000,15900000,21700000,46300000,58000000,31800000
58,Total Non-Current Liabilities,- -,5000000,9400000,18600000,509300000,409700000,418900000,513100000,484400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,29200000,24900000
61,Total Liabilities,- -,73800000,88000000,96400000,661100000,561700000,594000000,673700000,651000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,400000,400000,400000,400000,400000
64,Retained Earnings,- -,- -,- -,- -,35100000,62400000,74400000,16100000,33500000
65,Other Comprehensive Income/Loss,- -,- -,-100000,- -,800000,5800000,-1700000,800000,- -
66,Other Total Stockholders Equity,- -,470300000,615400000,662600000,342700000,357600000,371800000,434400000,449400000
67,Total Stockholders Equity,- -,359300000,484600000,526000000,379000000,426200000,444900000,451700000,483300000
68,Total Liabilities And Stockholders Equity,- -,433100000,572600000,622400000,1040100000,987900000,1038900000,1125400000,1134300000
69,Minority Interest,- -,- -,11000000,- -,- -,- -,- -,14100000,13200000
70,Total Liabilities & Equity,- -,433100000,583600000,622400000,1040100000,987900000,1038900000,1139500000,1147500000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1681622/000168162217000023/0001681622-17-000023-index.html,https://www.sec.gov/Archives/edgar/data/1681622/000168162218000045/0001681622-18-000045-index.html,https://www.sec.gov/Archives/edgar/data/1681622/000168162219000083/0001681622-19-000083-index.html,https://www.sec.gov/Archives/edgar/data/1681622/000168162220000116/0001681622-20-000116-index.htm,https://www.sec.gov/Archives/edgar/data/1681622/000168162221000103/0001681622-21-000103-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,109600000,110100000,80000000,68500000,51600000,27500000,15500000,-57900000,17400000
74,Depreciation and Amortization,10100000,10100000,12300000,15300000,27400000,42200000,39200000,39500000,37300000
75,Deferred Income Tax,-1600000,-1500000,-800000,4200000,-8900000,-7700000,-12900000,-3100000,-3000000
76,Stock Based Compensation,9800000,8000000,9600000,9500000,8400000,10000000,11700000,13400000,13900000
77,Change in Working Capital,-31000000,- -,35700000,44600000,61400000,-37400000,-42800000,98100000,8200000
78,Accounts Receivable,-11800000,-9000000,19300000,-4600000,-23100000,9000000,14800000,17700000,-32900000
79,Inventory,-32400000,-4300000,-25900000,-23500000,-4200000,-2400000,-11100000,-42700000,42800000
80,Accounts Payable,11800000,4400000,-4300000,-1900000,4900000,5200000,-9000000,14300000,-13600000
81,Other Working Capital,201800000,201800000,237500000,282100000,343500000,306100000,263300000,361400000,600000
82,Other Non-Cash Items,-5700000,-8100000,-51600000,-67900000,-65300000,50700000,61200000,-76800000,18800000
83,Cash Provided by Operating Activities,91200000,118600000,85200000,74200000,74600000,85300000,71900000,13200000,92600000
84,CAPEX,-8300000,-23200000,-34300000,-28900000,-20200000,-20400000,-19800000,-23500000,-15100000
85,Acquisitions Net,- -,-5400000,-67900000,-1200000,-271800000,-4800000,-73400000,-3400000,-1400000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,8600000,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,100000,-100000,- -,-600000,- -,- -,300000
89,Cash Used for Investing Activites,-8300000,-28600000,-102100000,-21600000,-292000000,-25800000,-93200000,-26900000,-16200000
