,https://roic.ai/company/MC,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,268024000,385871000,411386000,518750000,551863000,613373000,684615000,885840000,746534000,943276000,1540611000
2,COGS,200368000,274941000,264944000,377219000,311224000,360893000,401384000,513863000,488439000,560803000,913909000
3,Gross Profit,67656000,110930000,146442000,141531000,240639000,252480000,283231000,371977000,258095000,382473000,626702000
4,Gross Profit Ratio,0.2524,0.2875,0.3560,0.2728,0.4360,0.4116,0.4137,0.4199,0.3457,0.4055,0.4068
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,54793000,54574000,59155000,73994000,78566000,73865000,92862000,116274000,112524000,93437000,99131000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",54793000,54574000,59155000,73994000,78566000,73865000,92862000,116274000,112524000,93437000,99131000
9,Other Expenses,23733000,18311000,17178000,19793000,24570000,17526000,26087000,28922000,31028000,23327000,31654000
10,Operating Expenses,78526000,72885000,76333000,93787000,103136000,91391000,118949000,145196000,143552000,116764000,130785000
11,COGS and Expenses,278894000,347826000,341277000,471006000,414360000,452284000,520333000,659059000,631991000,677567000,1044694000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,2085000,2507000,2296000,2268000,2635000,3183000,3544000,4625000,4965000,4708000,7242000
15,EBITDA,-2803000,40227000,16663000,12996000,59586000,66379000,256771000,175753000,121873000,235214000,485790000
16,EBITDA ratio,-0.0105,0.1042,0.0405,0.0251,0.1080,0.1082,0.3751,0.1984,0.1633,0.2494,0.3153
17,Operating Income,-10870000,38045000,70109000,47744000,137503000,161089000,164282000,226781000,114543000,265709000,495917000
18,Operating Income ratio,-0.0406,0.0986,0.1704,0.0920,0.2492,0.2626,0.2400,0.2560,0.1534,0.2817,0.3219
19,Total Other Income Expenses (Gains),5982000,-325000,2910000,-1449000,6561000,5585000,186069000,11671000,32962000,4404000,40396000
20,Income Before Tax,-4888000,37720000,73019000,46295000,144064000,166674000,350351000,238452000,147505000,270113000,536313000
21,Income Before Tax Ratio,-0.0182,0.0978,0.1775,0.0892,0.2611,0.2717,0.5117,0.2692,0.1976,0.2864,0.3481
22,Income Tax expense (Gain),3642000,2498000,7147000,13740000,23847000,24809000,223827000,30448000,11813000,51675000,113335000
23,Net Income,-8530000,35222000,7220000,-3012000,33104000,38387000,29400000,140680000,105095000,178831000,365213000
24,Net Income ratio,-0.0318,0.0913,0.0176,-0.0058,0.0600,0.0626,0.0429,0.1588,0.1408,0.1896,0.2371
25,EPS,-1.11,4.57,0.94,-0.19,1.69,1.83,0.96,3.26,2.09,3.16,5.79
26,EPS Diluted,-1.11,4.57,0.94,-0.19,1.58,1.58,0.78,2.78,1.89,2.95,5.34
27,Weighted Average Shares Outstanding,7699851,7699851,7699851,15911819,20021652,20933757,30597058,43216358,50373874,56566645,63125497
28,Weighted Average Shares Outstanding Diluted,7699851,7699851,7699851,15911819,21362571,24242302,37675511,50690528,55513149,60723365,68435579
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1596967/000104746915001351/a2223245z10-k.htm,https://www.sec.gov/Archives/edgar/data/1596967/000104746916011116/0001047469-16-011116-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000155837017001153/0001558370-17-001153-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000155837018001283/0001558370-18-001283-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000156459019004907/0001564590-19-004907-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000156459020006910/0001564590-20-006910-index.html,https://www.sec.gov/Archives/edgar/data/1596967/000156459021008170/0001564590-21-008170-index.htm,https://www.sec.gov/Archives/edgar/data/1596967/000095017022001785/0000950170-22-001785-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,185623000,88524000,197944000,248022000,318926000,213191000,261100000,167812000,202477000,520213000
32,Short-Term Investments,- -,139138000,68141000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,324761000,156665000,197944000,248022000,318926000,213191000,261100000,167812000,202477000,520213000
34,Net Receivables,- -,47462000,35343000,27894000,39270000,30451000,61593000,68611000,55796000,101213000,69568000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,-138364000,-67349000,833000,819000,659000,703000,671000,760000,807000,801000
37,Total Current Assets,- -,233859000,124659000,226671000,288111000,350036000,275487000,330382000,224368000,304497000,590582000
38,PP&E,- -,5786000,5156000,7338000,8698000,8397000,10458000,12731000,204755000,227046000,223246000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,211000,42000,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,211000,42000,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,149509000,80622000,57413000,56083000,54256000,154956000,143924000,213231000,211826000,263341000
43,Tax Assets,- -,819000,5138000,160137000,165505000,167791000,234000000,402859000,400496000,424345000,448123000
44,Other Non-Current Assets,- -,12484000,17169000,12690000,21064000,18320000,24167000,24479000,28849000,28730000,30389000
45,Total Non-Current Assets,- -,168809000,108127000,237578000,251350000,248764000,423581000,583993000,847331000,891947000,965099000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,402668000,232786000,464249000,539461000,598800000,699068000,914375000,1071699000,1196444000,1555681000
48,Accounts Payable,- -,13924000,14262000,19888000,21203000,14326000,18323000,19784000,16107000,25026000,69883000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
