,https://roic.ai/company/STN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,116100000,131500000,185500000,211900000,265568000,356942000,428456000,459942000,520879000,524551692,816133504,954619128,1351951000,1519865000,1513062000,1378547000,1882900000,2236410000,2529918000,2877245000,4300130000,5140100000,4283800000,4827300000,4730100000,4576800000
2,COGS,36800000,35200000,36600000,42000000,44305000,58170000,63308000,68546000,71728000,234552855,412883271,483831562,722616000,820563000,824726000,615136000,1027359000,1233957000,1391525000,1584650000,2623829000,3312200000,2468600000,2818900000,2799600000,2613500000
3,Gross Profit,79300000,96300000,148900000,169900000,221263000,298772000,365148000,391396000,449151000,289998837,403250233,470787566,629335000,699302000,688336000,763411000,855541000,1002453000,1138393000,1292595000,1676301000,1827900000,1815200000,2008400000,1930500000,1963300000
4,Gross Profit Ratio,0.6830,0.7323,0.8027,0.8018,0.8332,0.8370,0.8522,0.8510,0.8623,0.5529,0.4941,0.4932,0.4655,0.4601,0.4549,0.5538,0.4544,0.4482,0.4500,0.4492,0.3898,0.3556,0.4237,0.4161,0.4081,0.4290
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1423600000
9,Other Expenses,71200000,87000000,135500000,153000000,92330000,270068000,328626000,351768000,404491000,227563670,313800093,374085808,502271000,563514000,552935000,701492000,681054000,799762000,909098000,1072304000,1461930000,1598600000,1553300000,1674500000,1581700000,221800000
